county,juris,joinkey
Alameda,Alameda,ALA1
Alameda,Alameda,ALA2
Alameda,Alameda,Non-PDA
Alameda,Albany,ALB1
Alameda,Albany,Non-PDA
Alameda,Berkeley,BER1
Alameda,Berkeley,BER2
Alameda,Berkeley,BER3
Alameda,Berkeley,BER4
Alameda,Berkeley,BER5
Alameda,Berkeley,BER6
Alameda,Berkeley,Non-PDA
Alameda,Dublin,DUB1
Alameda,Dublin,DUB2
Alameda,Dublin,DUB3
Alameda,Dublin,Non-PDA
Alameda,Emeryville,EME1
Alameda,Emeryville,Non-PDA
Alameda,Fremont,FRE1
Alameda,Fremont,FRE2
Alameda,Fremont,FRE3
Alameda,Fremont,FRE4
Alameda,Fremont,Non-PDA
Alameda,Hayward,HAY1
Alameda,Hayward,HAY2
Alameda,Hayward,HAY3_a
Alameda,Hayward,HAY3_b
Alameda,Hayward,HAY4
Alameda,Hayward,Non-PDA
Alameda,Livermore,LIV1
Alameda,Livermore,LIV2
Alameda,Livermore,LIV3
Alameda,Livermore,Non-PDA
Alameda,Newark,NEW1
Alameda,Newark,NEW2
Alameda,Newark,Non-PDA
Alameda,Oakland,OKD1
Alameda,Oakland,OKD1_a
Alameda,Oakland,OKD1_b
Alameda,Oakland,OKD2
Alameda,Oakland,OKD3
Alameda,Oakland,OKD4
Alameda,Oakland,OKD5
Alameda,Oakland,OKD6
Alameda,Oakland,OKD7
Alameda,Oakland,OKD8
Alameda,Oakland,Non-PDA
Alameda,Piedmont,Total
Alameda,Pleasanton,PLE1
Alameda,Pleasanton,Non-PDA
Alameda,San Leandro,SLE1
Alameda,San Leandro,SLE2
Alameda,San Leandro,SLE3
Alameda,San Leandro,Non-PDA
Alameda,Union City,UNI1
Alameda,Union City,Non-PDA
Alameda,Alameda County,ALC1
Alameda,Alameda County,ALC2
Alameda,Alameda County,ALC3
Alameda,Alameda County,ALC4
Alameda,Alameda County,Non-PDA
Contra Costa,Antioch,ANT1
Contra Costa,Antioch,ANT2
Contra Costa,Antioch,Non-PDA
Contra Costa,Brentwood,Total
Contra Costa,Clayton,Total
Contra Costa,Concord,CON1_a
Contra Costa,Concord,CON1_b
Contra Costa,Concord,CON2
Contra Costa,Concord,Non-PDA
Contra Costa,Danville,DAN1
Contra Costa,Danville,Non-PDA
Contra Costa,El Cerrito,ELC1_a
Contra Costa,El Cerrito,ELC1_b
Contra Costa,El Cerrito,Non-PDA
Contra Costa,Hercules,HER1
Contra Costa,Hercules,HER2
Contra Costa,Hercules,WCC1_g
Contra Costa,Hercules,Non-PDA
Contra Costa,Lafayette,LAF1
Contra Costa,Lafayette,Non-PDA
Contra Costa,Martinez,MAR1
Contra Costa,Martinez,Non-PDA
Contra Costa,Moraga,MOR1
Contra Costa,Moraga,Non-PDA
Contra Costa,Oakley,OAK1
