parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
240100,-121.620701376,37.585163877,H,0.4356,0.0,Alameda County,0.0,0.0,Alameda,5180517.66131,Vacant,,,0.01,00001NANANANA,,False,True,,94550,422.0
201586,-122.021568178,37.711554741,MH,4.0,0.0,Alameda County,0.0,0.0,Alameda,67674.5756851,Vacant,,,,00001NANANANA,,False,True,,94552,422.0
240124,-121.585743656,37.5673802095,H,0.4356,0.0,Alameda County,0.0,0.0,Alameda,4336233.97606,Vacant,,,0.01,00001NANANANA,,False,True,,94550,422.0
367303,-121.923022206,37.6644843635,MH,87.12,0.0,Alameda County,0.0,0.0,Alameda,276402.826323,Vacant,,,2.0,00001NANANANA,,False,False,,94588,491.0
240123,-121.576426404,37.5716491412,H,0.4356,0.0,Alameda County,0.0,0.0,Alameda,26718383.6175,Vacant,,,0.01,00001NANANANA,,False,True,,94550,422.0
188379,-122.100328845,37.707413885,M,17.0,0.0,Alameda County,0.0,0.0,Alameda,64269.5489865,Vacant,,,,00001NANANANA,,False,True,,94546,434.0
244503,-121.690435165,37.7247828822,H,26.136,0.0,Alameda County,0.0,0.0,Alameda,950286.528631,Vacant,,,0.6,00001NANANANA,,False,False,,94551,428.0
240063,-121.653856288,37.5974037047,H,0.4356,3114.0,Alameda County,3114.0,0.0,Alameda,13872221.6254,Residential,,1990.0,0.01,00001NANANANA,,False,True,HS,94550,422.0
239861,-121.600190227,37.6415394003,H,0.4356,0.0,Alameda County,0.0,0.0,Alameda,14125064.215,Vacant,,,0.01,00001NANANANA,,False,True,,94550,422.0
260442,-122.039499239,37.6832139278,M,4.0,0.0,Alameda County,0.0,0.0,Alameda,82281.9703348,Vacant,,,1.66666666667,00001NANANANA,,False,False,,94552,422.0
