parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
150421,-122.270619453,37.7826920173,S,87.12,0.0,Alameda,0.0,0.0,Alameda,814417.689856,Vacant,,,2.0,00562NAbrt2NANA,brt2,True,False,,94501,562.0
150873,-122.236360651,37.727114701,M,87.12,93964.0,Alameda,93964.0,0.0,Alameda,1071866.9916,Retail,,1984.0,2.0,00562NANANANA,,True,False,RS,94502,503.0
150812,-122.236883083,37.7289038691,M,21.8,0.0,Alameda,0.0,0.0,Alameda,21740.3716544,Vacant,,,,00562NAb3NANA,b3,False,True,,94502,503.0
141701,-122.264427994,37.7727084198,S,21.8,3254.0,Alameda,0.0,4.0,Alameda,5483.59659881,Residential,,1947.0,,00562NAbrt2NANA,brt2,False,True,HM,94501,562.0
145686,-122.240579532,37.7418017487,M,,0.0,Alameda,0.0,0.0,Alameda,49197.7256655,Vacant,,,,00562NAb3NANA,b3,False,False,,94502,503.0
147429,-122.252025237,37.7573602177,S,130.68,136912.0,Alameda,136912.0,0.0,Alameda,1767379.14021,Retail,,1973.0,3.0,00562NAb3NANA,b3,True,True,RS,94501,562.0
149293,-122.243015689,37.7446803941,M,8.7,1292.0,Alameda,1292.0,0.0,Alameda,4007.65292423,Residential,,1986.0,,00562NAb3NANA,b3,False,True,HS,94502,503.0
145099,-122.247904495,37.7386731317,M,8.7,0.0,Alameda,0.0,0.0,Alameda,214353.511801,Vacant,,,,00562NAb3NANA,b3,False,True,,94502,503.0
139733,-122.251278599,37.7683194508,S,21.8,5123.0,Alameda,0.0,9.0,Alameda,9799.7520786,Residential,,1926.0,,00562NAbrt2NANA,brt2,False,True,HM,94501,562.0
139510,-122.250772226,37.7628107436,S,21.8,2326.0,Alameda,0.0,3.0,Alameda,7450.21260212,Residential,,1921.0,,00562NAbrt2NANA,brt2,False,True,HM,94501,562.0
141609,-122.263458544,37.777529172,S,21.8,2281.5,Alameda,0.0,3.0,Alameda,3204.88224621,Residential,,1909.0,,00562NAbrt2NANA,brt2,False,True,HM,94501,562.0
142225,-122.266879706,37.7756905581,S,21.8,2636.0,Alameda,0.0,2.0,Alameda,5341.30179894,Residential,,1919.0,,00562NAbrt2NANA,brt2,False,True,HS,94501,562.0
144087,-122.283613219,37.7755884261,S,8.7,1587.33333333,Alameda,0.0,2.0,Alameda,4009.13234518,Residential,,1929.0,,00562NAbrt2NANA,brt2,False,True,HM,94501,562.0
148922,-122.239581313,37.7407815739,M,8.7,2331.0,Alameda,2331.0,0.0,Alameda,4327.69581223,Residential,,1984.0,,00562NAb3NANA,b3,False,True,HS,94502,503.0
149069,-122.248912218,37.7380323071,M,8.7,2364.0,Alameda,2364.0,0.0,Alameda,2446.07001705,Residential,,1990.0,,00562NAb3NANA,b3,False,True,HS,94502,503.0
150377,-122.249607476,37.7428193344,M,8.7,2172.0,Alameda,2172.0,0.0,Alameda,3882.26978146,Residential,,1985.0,,00562NAb3NANA,b3,False,True,HS,94502,503.0
150760,-122.236866364,37.7295337475,M,21.8,1632.0,Alameda,1632.0,0.0,Alameda,2850.08497636,Residential,,1986.0,,00562NAb3NANA,b3,False,True,HS,94502,503.0
144959,-122.246744841,37.7378301676,M,21.8,3202.0,Alameda,0.0,2.0,Alameda,1462.43674716,Residential,,1974.0,,00562NAb3NANA,b3,False,True,HM,94502,503.0
138396,-122.238684391,37.7667035522,S,21.8,0.0,Alameda,0.0,0.0,Alameda,1165.42731887,Vacant,ala2,,,00562ALA2brt2NANA,brt2,False,True,,94501,562.0
145282,-122.23018228,37.7290262748,M,,0.0,Alameda,0.0,0.0,Alameda,27342.7560471,Vacant,,,,00562NANANANA,,False,False,,94502,503.0
145592,-122.242187961,37.7443323336,M,8.7,2705.0,Alameda,2705.0,0.0,Alameda,5206.83250102,Residential,,1986.0,,00562NAb3NANA,b3,False,True,HS,94502,503.0
