parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
601233,-121.757885914,37.9999255592,MH,54.45,0.0,Antioch,0.0,0.0,Contra Costa,13646.9025255,Vacant,,,1.25,02252NANANANA,,True,False,,94509,208.0
608612,-121.759580057,38.0026403313,MH,54.45,0.0,Antioch,0.0,0.0,Contra Costa,8033.6198084,Vacant,,,1.25,02252NANANANA,,True,False,,94509,208.0
610059,-121.75954252,38.0029740839,MH,54.45,0.0,Antioch,0.0,0.0,Contra Costa,18437.9573748,Vacant,,,1.25,02252NANANANA,,True,False,,94509,208.0
563883,-121.856931762,37.9851007334,M,6.0,0.0,Antioch,0.0,0.0,Contra Costa,9522.03677255,Vacant,,,,02252NANANANA,,False,True,,94509,208.0
567367,-121.757023986,37.9874603593,MH,4.0,0.0,Antioch,0.0,0.0,Contra Costa,7878.05285601,Vacant,,,,02252NANANANA,,False,True,,94531,190.0
605433,-121.759591892,38.0017045556,MH,54.45,0.0,Antioch,0.0,0.0,Contra Costa,8677.60328049,Vacant,,,1.25,02252NANANANA,,True,False,,94509,208.0
561288,-121.755476569,37.9853329832,MH,4.0,0.0,Antioch,0.0,0.0,Contra Costa,8902.14432467,Parking,,1992.0,,02252NANANANA,,False,True,PA2,94531,190.0
612230,-121.758047992,38.0039103559,MH,20.0,0.0,Antioch,0.0,0.0,Contra Costa,9757.14599957,Vacant,,,0.55,02252NANANANA,,True,False,,94509,208.0
567150,-121.825089814,37.9866250743,M,6.0,0.0,Antioch,0.0,0.0,Contra Costa,9343.81923656,Vacant,,,,02252NAb3NANA,b3,False,True,,94509,208.0
505165,-121.73819178,37.9633114367,MH,20.0,0.0,Antioch,0.0,0.0,Contra Costa,262264.221088,Vacant,,,0.5,02252NANANANA,,True,False,,94531,190.0
604856,-121.759095877,38.0014678305,MH,54.45,0.0,Antioch,0.0,0.0,Contra Costa,9328.86114863,Vacant,,,1.25,02252NANANANA,,True,False,,94509,208.0
564941,-121.856578488,37.9854694808,M,6.0,0.0,Antioch,0.0,0.0,Contra Costa,9083.95939604,Vacant,,,,02252NANANANA,,False,True,,94509,208.0
610824,-121.828456785,38.0020819791,S,20.0,126651.0,Antioch,0.0,111.0,Contra Costa,28786.4583666,Residential,,1978.0,,02252NAb3NANA,b3,False,True,HM,94509,208.0
612234,-121.758350795,38.0039086516,MH,20.0,0.0,Antioch,0.0,0.0,Contra Costa,11081.7755254,Vacant,,,0.55,02252NANANANA,,True,False,,94509,208.0
597824,-121.764686737,37.998390014,MH,6.0,0.0,Antioch,0.0,0.0,Contra Costa,11417.5938659,Vacant,,,,02252NANANANA,,False,True,,94509,208.0
534343,-121.847850492,37.9741089652,MH,2.0,0.0,Antioch,0.0,0.0,Contra Costa,66799.8679868,Vacant,,,,02252NANANANA,,False,True,,94509,208.0
563861,-121.825306632,37.9854858435,M,6.0,0.0,Antioch,0.0,0.0,Contra Costa,8051.73128173,Vacant,,,,02252NAb3NANA,b3,False,True,,94509,208.0
