parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1206141,-122.205504718,37.4526169589,M,1.0,1945.37009674,Atherton,0.0,1.0,San Mateo,51016.8828109,Residential,,1966.0,0.18,03092NANANANA,,False,True,HS,94027,1653.0
1206226,-122.199497013,37.45643516,M,1.0,1920.0,Atherton,0.0,1.0,San Mateo,165115.501963,Residential,,1929.0,0.18,03092NAbrt2NANA,brt2,False,True,HS,94027,1653.0
1212412,-122.218047227,37.4321791554,M,1.0,1945.37009674,Atherton,0.0,1.0,San Mateo,45081.0516671,Residential,,1966.0,0.18,03092NANANANA,,False,True,HS,94027,1653.0
1185810,-122.211580799,37.4665034194,M,1.0,2250.0,Atherton,0.0,1.0,San Mateo,44228.5753,Residential,,1961.0,0.18,03092NAbrt2NANA,brt2,False,True,HS,94027,1653.0
1187841,-122.196005992,37.4682911018,M,1.0,1945.37009674,Atherton,0.0,1.0,San Mateo,43571.4509795,Residential,,1959.0,0.18,03092NAbrt2NANA,brt2,False,True,HS,94027,1653.0
1189202,-122.175978543,37.465274394,M,1.0,3096.0,Atherton,0.0,1.0,San Mateo,45206.8254504,Residential,,1953.0,0.18,03092NANANANA,,False,True,HS,94027,1653.0
1205614,-122.21678011,37.4523653719,M,1.0,5570.0,Atherton,0.0,1.0,San Mateo,66324.8644649,Residential,,1911.0,0.18,03092NANANANA,,False,True,HS,94027,1653.0
1205650,-122.218273506,37.4494529469,M,1.0,1945.37009674,Atherton,0.0,1.0,San Mateo,44136.2477681,Residential,,1966.0,0.18,03092NANANANA,,False,True,HS,94027,1653.0
1205800,-122.210751648,37.4535289354,M,1.0,0.0,Atherton,0.0,0.0,San Mateo,60990.986464,Vacant,,,0.18,03092NANANANA,,False,True,,94027,1653.0
1206042,-122.210120268,37.44626245,M,1.0,3810.0,Atherton,0.0,1.0,San Mateo,44625.1704987,Residential,,1958.0,0.18,03092NANANANA,,False,True,HS,94027,1653.0
1206227,-122.201316814,37.4558055829,M,1.0,4950.0,Atherton,0.0,1.0,San Mateo,46360.9514418,Residential,,1950.0,0.18,03092NAbrt2NANA,brt2,False,True,HS,94027,1653.0
1211067,-122.219038675,37.4326526605,M,1.0,3720.0,Atherton,0.0,1.0,San Mateo,57471.0762501,Residential,,1981.0,0.18,03092NANANANA,,False,True,HS,94027,1653.0
1205784,-122.213297184,37.4525832305,M,1.0,1945.37009674,Atherton,0.0,1.0,San Mateo,43673.526698,Residential,,1966.0,0.18,03092NANANANA,,False,True,HS,94027,1653.0
1211078,-122.224232053,37.4307879548,M,1.0,0.0,Atherton,0.0,0.0,San Mateo,18103.7371628,Vacant,,,0.18,03092NANANANA,,False,True,,94027,1653.0
1185629,-122.216307579,37.4560368442,M,1.0,3710.0,Atherton,0.0,1.0,San Mateo,50199.2303086,Residential,,1937.0,0.18,03092NANANANA,,False,True,HS,94027,1653.0
1187828,-122.19710134,37.4695108936,M,1.0,3490.0,Atherton,0.0,1.0,San Mateo,43562.4158793,Residential,,1960.0,0.18,03092NANANANA,,False,True,HS,94027,1653.0
1189359,-122.184084056,37.4617223604,M,1.0,880.0,Atherton,0.0,1.0,San Mateo,80759.2680782,Residential,,1916.0,0.18,03092NAb3NANA,b3,False,True,HS,94027,1653.0
1227089,-122.224676301,37.4323852179,M,98.736,0.0,Atherton,0.0,0.0,San Mateo,69757.6077768,Vacant,,,2.26666666667,03092NANANANA,,False,False,,94027,1653.0
