parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1145105,-122.320323484,37.5155263865,M,1.5,0.0,Belmont,0.0,0.0,San Mateo,6326.10754233,Vacant,,,0.533,05108NANANANA,,False,True,,94002,893.0
1148544,-122.282174071,37.5254882176,M,,0.0,Belmont,0.0,0.0,San Mateo,2893.29606329,Vacant,bel1,,,05108BEL1cr3NANA,cr3,False,False,,94002,893.0
1139356,-122.274880104,37.522881251,M,30.0,15562.9607739,Belmont,0.0,8.0,San Mateo,10129.0922151,Residential,bel1,1969.0,1.4,05108BEL1cr3NANA,cr3,False,True,HM,94002,893.0
1139368,-122.274403263,37.5221516789,M,65.34,0.0,Belmont,0.0,0.0,San Mateo,7277.94248569,Residential,bel1,1970.0,1.5,05108BEL1cr3NANA,cr3,True,False,MR,94002,893.0
1139388,-122.273438806,37.5233915034,M,34.848,1445.0,Belmont,1445.0,0.0,San Mateo,18028.7045748,Retail,bel1,1970.0,0.8,05108BEL1cr3NANA,cr3,True,False,RS,94002,893.0
1139496,-122.272330857,37.5215596513,M,7.0,2560.0,Belmont,0.0,2.0,San Mateo,5013.29357861,Residential,bel1,1949.0,0.533,05108BEL1cr3NANA,cr3,False,True,HS,94002,893.0
1139369,-122.274290569,37.5223983991,M,65.34,111734.0,Belmont,0.0,7.0,San Mateo,18697.3839696,Residential,bel1,1952.0,1.5,05108BEL1cr3NANA,cr3,True,False,HM,94002,893.0
1150155,-122.285810938,37.5112865494,M,7.0,2440.0,Belmont,0.0,2.0,San Mateo,7309.23400861,Residential,,1954.0,0.533,05108NANANANA,,False,True,HS,94002,893.0
1151368,-122.293804732,37.5046887787,MH,1.5,0.0,Belmont,0.0,0.0,San Mateo,1291929.78943,Vacant,,,0.533,05108NANANANA,,False,True,,94002,893.0
1148041,-122.28972363,37.5253874267,M,7.0,0.0,Belmont,0.0,0.0,San Mateo,5615.96365936,Vacant,bel1,,0.533,05108BEL1b2NANA,b2,False,True,,94002,893.0
1149813,-122.296420638,37.5111068023,MH,,0.0,Belmont,0.0,0.0,San Mateo,10302.3768079,Vacant,,,,05108NANANANA,,False,False,,94002,893.0
1139179,-122.277777248,37.5280993653,M,7.0,5836.11029021,Belmont,0.0,3.0,San Mateo,5071.59543931,Residential,bel1,1969.0,0.533,05108BEL1b2NANA,b2,False,True,HS,94002,893.0
1145605,-122.312275596,37.5167892907,M,1.5,0.0,Belmont,0.0,0.0,San Mateo,5124.52164417,Vacant,,,0.533,05108NANANANA,,False,True,,94002,893.0
1139620,-122.268907362,37.523434171,M,20.0,11232.0,Belmont,0.0,8.0,San Mateo,5298.27061456,Residential,,1969.0,0.6,05108NAcr3NANA,cr3,False,True,HM,94002,893.0
1139631,-122.270638499,37.5246255321,M,20.0,11672.2205804,Belmont,0.0,6.0,San Mateo,4491.97587075,Residential,,1969.0,0.6,05108NAcr3NANA,cr3,False,True,HM,94002,893.0
1146054,-122.31126145,37.5197957416,M,1.5,0.0,Belmont,0.0,0.0,San Mateo,7523.57112202,Vacant,,,0.533,05108NANANANA,,False,True,,94002,893.0
1149643,-122.287759754,37.518449266,M,7.0,0.0,Belmont,0.0,0.0,San Mateo,8289.98239032,Vacant,,,0.533,05108NANANANA,,False,True,,94002,893.0
1144969,-122.321162415,37.5171545314,M,1.5,0.0,Belmont,0.0,0.0,San Mateo,6188.05950207,Vacant,,,0.533,05108NANANANA,,False,True,,94002,893.0
1138982,-122.278656613,37.5283285399,M,7.0,2020.0,Belmont,0.0,2.0,San Mateo,5946.81428356,Residential,bel1,1955.0,0.533,05108BEL1b2NANA,b2,False,True,HS,94002,893.0
1139014,-122.281909744,37.5274953677,M,65.34,9254.0,Belmont,9254.0,0.0,San Mateo,8493.98662847,Industrial,bel1,1964.0,1.5,05108BEL1b2NANA,b2,True,False,IL,94002,893.0
1139223,-122.278389222,37.5279678906,M,7.0,3060.0,Belmont,0.0,2.0,San Mateo,5956.70456933,Residential,bel1,1955.0,0.533,05108BEL1b2NANA,b2,False,True,HS,94002,893.0
1139237,-122.275970586,37.5280777339,M,7.0,3890.74019347,Belmont,0.0,2.0,San Mateo,5039.7432949,Residential,,1969.0,0.533,05108NAb2NANA,b2,False,True,HS,94002,893.0
1139662,-122.269349757,37.5285570884,M,30.0,0.0,Belmont,0.0,0.0,San Mateo,18270.1373593,Vacant,,,0.8,05108NAb3ubzNA,b3,True,True,,94002,893.0
1144953,-122.320201124,37.5183484511,M,1.5,0.0,Belmont,0.0,0.0,San Mateo,5144.33959307,Vacant,,,0.533,05108NANANANA,,False,True,,94002,893.0
1149236,-122.292708235,37.5157188575,M,7.0,3890.74019347,Belmont,0.0,2.0,San Mateo,5705.90990597,Residential,,1958.0,0.533,05108NANANANA,,False,True,HS,94002,893.0
1144910,-122.324197337,37.5193082941,M,1.5,0.0,Belmont,0.0,0.0,San Mateo,33148.0103519,Vacant,,,0.533,05108NANANANA,,False,True,,94002,893.0
1144968,-122.321234916,37.5170110801,M,1.5,0.0,Belmont,0.0,0.0,San Mateo,7630.71252853,Vacant,,,0.533,05108NANANANA,,False,True,,94002,893.0
