parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
786420,-122.462880952,37.8678176282,MH,,0.0,Belvedere,0.0,0.0,Marin,5631.28719458,Vacant,,,,05164NANANANA,,False,False,,94920,1003.0
785630,-122.470996614,37.8809859864,MH,6.0,0.0,Belvedere,0.0,0.0,Marin,617.474934436,Vacant,,,0.5,05164NANANANA,,False,True,,94920,1003.0
786365,-122.464031491,37.8705657804,MH,3.0,4126.0,Belvedere,0.0,2.0,Marin,5931.4073026,Residential,,1928.0,0.33,05164NANANANA,,False,True,HS,94920,1003.0
785986,-122.459083531,37.8726102517,MH,21.78,0.0,Belvedere,0.0,0.0,Marin,186.814100136,Vacant,,,0.5,05164NANANANA,,False,True,,94920,1003.0
785911,-122.46234807,37.8730674909,MH,20.0,6088.27275127,Belvedere,0.0,3.0,Marin,17277.8043629,Residential,,1953.0,1.86666666667,05164NANANANA,,False,True,HS,94920,1003.0
786050,-122.471343958,37.877110293,MH,,0.0,Belvedere,0.0,0.0,Marin,14834.7364268,Vacant,,,,05164NANANANA,,False,False,,94920,1003.0
785915,-122.463426098,37.8728712292,MH,,0.0,Belvedere,0.0,0.0,Marin,8850.94293649,Vacant,,,,05164NANANANA,,False,False,,94920,1003.0
785874,-122.461611525,37.8760448305,MH,6.0,0.0,Belvedere,0.0,0.0,Marin,6661.65284989,Office,,1939.0,0.5,05164NANANANA,,False,True,OF,94920,1003.0
785884,-122.460316705,37.8749331285,MH,13.068,0.0,Belvedere,0.0,0.0,Marin,11139.1864674,Office,,1951.0,0.3,05164NANANANA,,False,True,OF,94920,1003.0
785723,-122.46647717,37.8759555997,MH,6.0,0.0,Belvedere,0.0,0.0,Marin,7105.73470415,Office,,1952.0,0.5,05164NANANANA,,False,True,OF,94920,1003.0
