parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1772594,-122.128472651,38.0802460978,M,30.492,0.0,Benicia,0.0,0.0,Solano,461.878093823,Vacant,ben2,,0.7,05290BEN2NANANA,,True,False,,94510,314.0
1784456,-122.158601109,38.0741862324,MH,,0.0,Benicia,0.0,0.0,Solano,3132.63968417,Vacant,,,,05290NANANANA,,False,False,,94510,314.0
1786773,-122.140480149,38.0557699311,M,7.0,0.0,Benicia,0.0,0.0,Solano,766.271283728,Vacant,,,,05290NANANANA,,False,True,,94510,314.0
1783036,-122.165184942,38.0622488853,M,7.0,0.0,Benicia,0.0,0.0,Solano,1770.98233123,Vacant,,,,05290NANANANA,,False,True,,94510,314.0
1787105,-122.1689207,38.0571041242,M,7.0,0.0,Benicia,0.0,0.0,Solano,1651.40351722,Vacant,,,,05290NANANANA,,False,True,,94510,314.0
1782977,-122.151402367,38.0605271278,MH,14.0,0.0,Benicia,0.0,0.0,Solano,11269.8114129,Vacant,,,,05290NANANANA,,False,True,,94510,314.0
1786327,-122.149274279,38.0517063996,M,52.272,7000.0,Benicia,7000.0,0.0,Solano,11205.0504269,Retail,,1930.0,1.2,05290NANANANA,,True,False,RS,94510,314.0
1771585,-122.12516313,38.0785596924,M,30.492,0.0,Benicia,0.0,0.0,Solano,31161.791264,Industrial,ben2,1979.0,0.7,05290BEN2NANANA,,True,False,IL,94510,314.0
1783058,-122.164610527,38.0630637945,M,7.0,0.0,Benicia,0.0,6.0,Solano,8979.26519466,Parking,,1977.0,,05290NANANANA,,False,True,PA2,94510,314.0
1784672,-122.167440161,38.0690265463,MH,7.0,0.0,Benicia,0.0,0.0,Solano,3563.32205707,Vacant,,,,05290NANANANA,,False,True,,94510,314.0
1771685,-122.131035701,38.0650579282,M,30.492,0.0,Benicia,0.0,0.0,Solano,3047.8751328,Vacant,ben2,,0.7,05290BEN2NANANA,,True,False,,94510,314.0
1772011,-122.140194181,38.0455307176,M,87.12,0.0,Benicia,0.0,0.0,Solano,20221.5190112,Industrial,,1979.0,2.0,05290NANANANA,,False,True,IL,94510,314.0
1786378,-122.146677466,38.0505395268,M,52.272,3200.0,Benicia,3200.0,0.0,Solano,20545.7339929,Retail,,1979.0,1.2,05290NANANANA,,True,False,RS,94510,314.0
1780521,-122.18261203,38.0662192917,M,,0.0,Benicia,0.0,0.0,Solano,1497.04358775,Vacant,,,,05290NANANANA,,False,False,,94510,314.0
1780616,-122.176061569,38.0638896516,M,7.0,0.0,Benicia,0.0,0.0,Solano,1113.09811685,Vacant,,,,05290NANANANA,,False,True,,94510,314.0
1781516,-122.168823147,38.0769350227,MH,7.0,0.0,Benicia,0.0,0.0,Solano,4422.52658905,Vacant,,,,05290NANANANA,,False,True,,94510,314.0
1771989,-122.131849355,38.071773495,M,30.492,0.0,Benicia,0.0,0.0,Solano,27209.5867615,Parking,ben2,1979.0,0.7,05290BEN2NANANA,,True,False,PA2,94510,314.0
1772644,-122.127407458,38.0799099826,M,30.492,22000.0,Benicia,22000.0,0.0,Solano,2883.59565984,Industrial,ben2,1985.0,0.7,05290BEN2NANANA,,True,False,IL,94510,314.0
1783237,-122.153964578,38.0555945748,M,7.0,0.0,Benicia,0.0,4.0,Solano,13427.6730176,Parking,,1977.0,,05290NANANANA,,False,True,PA2,94510,314.0
1785672,-122.164305574,38.0640034679,M,21.0,1702.0,Benicia,0.0,2.0,Solano,858.325820392,Residential,,1984.0,,05290NANANANA,,False,True,HM,94510,314.0
1782632,-122.170427237,38.0667601311,MH,21.0,0.0,Benicia,0.0,0.0,Solano,149206.6804,Vacant,,,,05290NANANANA,,False,True,,94510,314.0
1786203,-122.146323181,38.052529897,M,21.0,0.0,Benicia,0.0,2.0,Solano,3659.65325275,Parking,,1969.0,,05290NANANANA,,False,True,PA2,94510,314.0
1787742,-122.159290885,38.0492384306,M,104.544,7120.0,Benicia,7120.0,0.0,Solano,5554.61377956,Retail,ben1,1942.0,2.4,05290BEN1NANANA,,True,True,RS,94510,314.0
1781293,-122.17632044,38.0761970594,MH,7.0,0.0,Benicia,0.0,0.0,Solano,616.937535161,Parking,,1977.0,,05290NANANANA,,False,True,PA2,94510,314.0
1787303,-122.159248864,38.051744103,M,87.12,0.0,Benicia,0.0,0.0,Solano,272.117284361,Vacant,ben1,,2.0,05290BEN1NANANA,,True,True,,94510,314.0
1783935,-122.159362787,38.0661805584,MH,14.0,0.0,Benicia,0.0,0.0,Solano,6963.66650035,Vacant,,,,05290NANANANA,,False,True,,94510,314.0
1772041,-122.116030012,38.0766345982,M,30.492,15000.0,Benicia,15000.0,0.0,Solano,39322.9793204,Industrial,ben2,1979.0,0.7,05290BEN2NANANA,,True,False,IL,94510,314.0
1785325,-122.164086584,38.0582154007,M,14.0,0.0,Benicia,0.0,0.0,Solano,256.458133835,Vacant,,,,05290NANANANA,,False,True,,94510,314.0
1772591,-122.128745481,38.0803223319,M,30.492,0.0,Benicia,0.0,0.0,Solano,39.0222251442,Vacant,ben2,,0.7,05290BEN2NANANA,,True,False,,94510,314.0
1771502,-122.139878421,38.0876508553,MH,30.492,0.0,Benicia,0.0,0.0,Solano,148624.931293,Vacant,,,0.7,05290NANANANA,,True,False,,94510,314.0
1785323,-122.164181559,38.0580794303,M,14.0,0.0,Benicia,0.0,0.0,Solano,211.507102833,Vacant,,,,05290NANANANA,,False,True,,94510,314.0
1787156,-122.165453648,38.0558237296,M,52.272,3371.0,Benicia,3371.0,0.0,Solano,19875.9348673,Retail,,1968.0,1.2,05290NANANANA,,True,False,RS,94510,314.0
1787241,-122.160014769,38.053329408,M,7.0,2748.0,Benicia,0.0,3.0,Solano,6794.72426588,Residential,,1950.0,,05290NANANANA,,False,True,HM,94510,314.0
1787317,-122.159451712,38.0516255877,M,87.12,2144.0,Benicia,0.0,2.0,Solano,8473.12071424,Residential,ben1,1928.0,2.0,05290BEN1NANANA,,True,True,HS,94510,314.0
1787693,-122.159157044,38.0507987812,M,87.12,8468.34812106,Benicia,0.0,5.0,Solano,8848.26834259,Residential,ben1,1973.0,2.0,05290BEN1NANANA,,True,True,HM,94510,314.0
