parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
113350,-122.289580206,37.8687110857,S,26.4,3840.0,Berkeley,0.0,9.0,Alameda,6297.86805605,Residential,,1930.0,1.2,06000NAbart2NANA,bart2,False,True,HM,94702,740.0
114943,-122.285410149,37.8705355601,S,26.4,2352.0,Berkeley,0.0,4.0,Alameda,5274.91012677,Residential,,1942.0,1.5,06000NAbart2NANA,bart2,False,True,HM,94702,740.0
121273,-122.275684174,37.882259411,S,18.66857143,2633.0,Berkeley,0.0,4.0,Alameda,5364.49802535,Residential,,1917.0,1.5,06000NAb2NANA,b2,False,True,HM,94703,645.0
103905,-122.268788036,37.8496845056,S,26.4,2558.0,Berkeley,0.0,3.0,Alameda,4502.27050364,Residential,okd8,1912.0,1.5,06000OKD8bart2NANA,bart2,False,True,HM,94703,645.0
103892,-122.270507977,37.8494609328,S,40.0,0.0,Berkeley,0.0,0.0,Alameda,3740.2336035,Vacant,ber1,,4.0,06000BER1bart2NANA,bart2,True,True,,94703,645.0
107339,-122.271036189,37.8568443288,S,26.4,3012.0,Berkeley,0.0,2.0,Alameda,9505.31780951,Residential,,1907.0,1.5,06000NAbart2NANA,bart2,False,True,HM,94703,645.0
117285,-122.259445358,37.8782093176,S,26.4,3197.0,Berkeley,0.0,4.0,Alameda,6562.32459865,Residential,,1938.0,1.2,06000NAb2NANA,b2,False,True,HM,94709,636.0
110266,-122.26439974,37.863701713,S,26.4,3072.99999999,Berkeley,0.0,3.0,Alameda,6610.74445811,Residential,,1911.0,1.5,06000NAbart2NANA,bart2,False,True,HM,94704,664.0
97670,-122.244215407,37.8596105115,S,,0.0,Berkeley,0.0,0.0,Alameda,5210.60189007,Vacant,,,,06000NANANANA,,False,False,,94705,693.0
111699,-122.274851955,37.8641009819,S,18.66857143,0.0,Berkeley,0.0,2.0,Alameda,6957.45522787,Parking,,1914.0,1.5,06000NAbrt2NANA,brt2,False,True,PA2,94703,645.0
104338,-122.273746677,37.8509905219,S,26.4,3068.0,Berkeley,0.0,5.0,Alameda,4142.53117063,Residential,,1920.0,1.5,06000NAbart2NANA,bart2,False,True,HM,94703,645.0
103990,-122.273255942,37.848258918,S,40.0,11693.0,Berkeley,11693.0,0.0,Alameda,10484.7466063,Office,ber1,1937.0,4.0,06000BER1bart2NANA,bart2,True,True,OF,94703,645.0
105152,-122.252779713,37.8574473437,S,26.4,7120.0,Berkeley,7120.0,0.0,Alameda,8049.02655483,Retail,,1925.0,1.0,06000NAbrt2NANA,brt2,True,True,RS,94705,693.0
