parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
475955,-121.685762596,37.9537516486,M,14.52,0.0,Brentwood,0.0,0.0,Contra Costa,9178.71789288,Vacant,,,2.0,08142NANANANA,,False,True,,94513,233.0
499961,-121.718428097,37.9622640973,M,3.6,0.0,Brentwood,0.0,0.0,Contra Costa,7990.95247277,Vacant,,,2.0,08142NANANANA,,False,True,,94513,233.0
425453,-121.686229506,37.9326174707,M,43.56,0.0,Brentwood,0.0,0.0,Contra Costa,161.127169382,Vacant,,,1.0,08142NAb3NANA,b3,True,True,,94513,233.0
404103,-121.680076215,37.9215686703,M,5.0,0.0,Brentwood,0.0,0.0,Contra Costa,422134.082987,Residential,,1987.0,0.25,08142NANANANA,,True,True,HS,94513,233.0
451509,-121.684817841,37.9440487538,M,14.52,0.0,Brentwood,0.0,0.0,Contra Costa,6856.39703458,Vacant,,,2.0,08142NANANANA,,False,True,,94513,233.0
479487,-121.695371417,37.954842582,M,116.16,0.0,Brentwood,0.0,0.0,Contra Costa,101477.928333,Vacant,,,2.66666666667,08142NAb3NANA,b3,True,False,,94513,233.0
720241,-121.732801001,37.8974505704,MH,,0.0,Brentwood,0.0,0.0,Contra Costa,14295.6718976,Vacant,,,,08142NANANANA,,True,True,,94513,233.0
450616,-121.684812117,37.9436825447,M,14.52,0.0,Brentwood,0.0,0.0,Contra Costa,6881.63414532,Vacant,,,2.0,08142NANANANA,,False,True,,94513,233.0
466629,-121.710840737,37.9500742886,M,4.3,0.0,Brentwood,0.0,0.0,Contra Costa,8526.74714031,Vacant,,,2.0,08142NANANANA,,False,True,,94513,233.0
723620,-121.730083,37.9019187342,MH,,0.0,Brentwood,0.0,0.0,Contra Costa,10016.3103038,Vacant,,,,08142NANANANA,,True,True,,94513,233.0
459564,-121.69018523,37.9522125162,M,14.52,0.0,Brentwood,0.0,0.0,Contra Costa,10966.9679835,Vacant,,,2.0,08142NAb3NANA,b3,False,True,,94513,233.0
413030,-121.689100121,37.9264785824,M,43.56,0.0,Brentwood,0.0,0.0,Contra Costa,1518.29661374,Vacant,,,1.0,08142NAb2NANA,b2,True,True,,94513,233.0
437431,-121.70342064,37.9375056347,M,130.68,0.0,Brentwood,0.0,0.0,Contra Costa,2996.76040759,Vacant,,,3.0,08142NAb2NANA,b2,False,True,,94513,233.0
739020,-121.734191447,37.9124043552,MH,10.89,0.0,Brentwood,0.0,0.0,Contra Costa,197720.831079,Vacant,,,0.75,08142NANANANA,,True,True,,94513,233.0
