parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1050666,-122.397500558,37.6902751674,M,87.12,0.0,Brisbane,0.0,0.0,San Mateo,519524.83941,Vacant,sfo9_a,,2.0,08310SFO9_ab3NANA,b3,False,False,,94005,596.0
1057102,-122.396561597,37.6834064799,M,121.968,0.0,Brisbane,0.0,0.0,San Mateo,2050.16229494,Vacant,,,2.8,08310NAb3NANA,b3,True,False,,94005,596.0
1051175,-122.410421912,37.6907819114,M,,0.0,Brisbane,0.0,0.0,San Mateo,357499.498659,Vacant,,,,08310NAb3NANA,b3,False,False,,94005,596.0
1051187,-122.415363634,37.6918743107,M,,0.0,Brisbane,0.0,0.0,San Mateo,328946.644469,Vacant,,,,08310NANANANA,,False,False,,94005,596.0
1050676,-122.406922406,37.6896481249,M,,0.0,Brisbane,0.0,0.0,San Mateo,40.8358007011,Vacant,,,,08310NAb3NANA,b3,False,False,,94005,596.0
1050750,-122.41102366,37.6865974263,M,87.12,0.0,Brisbane,0.0,0.0,San Mateo,1641.6997875,Vacant,,,2.0,08310NANANANA,,False,False,,94005,596.0
1050645,-122.398792804,37.68645688,M,,0.0,Brisbane,0.0,0.0,San Mateo,12621.261343,Vacant,sfo9_a,,,08310SFO9_aNANANA,,False,False,,94005,596.0
1056670,-122.399301783,37.6829845282,M,14.0,1440.0,Brisbane,0.0,2.0,San Mateo,2500.03987043,Residential,,1956.0,,08310NAb3NANA,b3,False,True,HS,94005,596.0
1057107,-122.395945671,37.6811256323,M,2.0,0.0,Brisbane,0.0,0.0,San Mateo,95411.6689357,Vacant,,,,08310NAb3NANA,b3,False,True,,94005,596.0
1057425,-122.402140671,37.6786603911,M,14.0,3890.74019347,Brisbane,0.0,2.0,San Mateo,9316.96983782,Residential,,1984.0,,08310NAb3NANA,b3,False,True,HS,94005,596.0
1057694,-122.393753506,37.6758855374,M,2.0,0.0,Brisbane,0.0,0.0,San Mateo,57167.800936,Vacant,,,,08310NAb3NANA,b3,False,True,,94005,596.0
1057709,-122.393770607,37.6748245403,M,2.0,0.0,Brisbane,0.0,0.0,San Mateo,46945.6345518,Vacant,,,,08310NAb3NANA,b3,False,True,,94005,596.0
1057099,-122.395875689,37.6824305848,M,121.968,0.0,Brisbane,0.0,0.0,San Mateo,22594.4118797,Vacant,,,2.8,08310NAb3NANA,b3,True,False,,94005,596.0
1050875,-122.406406421,37.7022621338,M,87.12,0.0,Brisbane,0.0,0.0,San Mateo,889384.344563,Vacant,sfo9_a,,2.0,08310SFO9_alrt1NANA,lrt1,False,False,,94005,596.0
1056721,-122.403469203,37.6836953781,M,14.0,0.0,Brisbane,0.0,0.0,San Mateo,2375.04279446,Parking,,1969.0,,08310NANANANA,,False,True,PA2,94005,596.0
1050710,-122.402837008,37.6855961283,M,87.12,0.0,Brisbane,0.0,0.0,San Mateo,1005.11485952,Vacant,sfo9_a,,2.0,08310SFO9_ab3NANA,b3,False,False,,94005,596.0
1050693,-122.405130482,37.6876776888,M,87.12,36480.0,Brisbane,36480.0,0.0,San Mateo,84440.3543303,Industrial,,1967.0,2.0,08310NAb3NANA,b3,False,False,IW,94005,596.0
1050702,-122.404028927,37.6873945863,M,87.12,20868.0,Brisbane,20868.0,0.0,San Mateo,44096.9033683,Industrial,,1917.0,2.0,08310NAb3NANA,b3,False,False,IW,94005,596.0
1051182,-122.407373746,37.6928754649,M,,0.0,Brisbane,0.0,0.0,San Mateo,221325.098761,Vacant,,,,08310NAb3NANA,b3,False,False,,94005,596.0
1056351,-122.390231344,37.6846048591,M,,0.0,Brisbane,0.0,0.0,San Mateo,5257.08832828,Vacant,sfo9_a,,,08310SFO9_aNANANA,,False,False,,94005,596.0
1056429,-122.407350987,37.68303116,M,14.0,2120.0,Brisbane,0.0,2.0,San Mateo,5183.9031049,Residential,,1965.0,,08310NANANANA,,False,True,HS,94005,596.0
1056687,-122.405269377,37.6834233421,M,14.0,3040.0,Brisbane,0.0,2.0,San Mateo,2500.06397804,Residential,,1976.0,,08310NANANANA,,False,True,HS,94005,596.0
1056631,-122.398928211,37.6844406517,M,14.0,3890.74019347,Brisbane,0.0,2.0,San Mateo,5603.03858601,Residential,,1984.0,,08310NANANANA,,False,True,HS,94005,596.0
1056956,-122.403904691,37.6815357136,M,14.0,5251.0,Brisbane,2051.0,2.0,San Mateo,2634.74320729,Residential,,1940.0,,08310NANANANA,,False,True,HS,94005,596.0
1056817,-122.399823745,37.6831964978,M,14.0,1580.0,Brisbane,0.0,2.0,San Mateo,3056.23392536,Residential,,1944.0,,08310NAb3NANA,b3,False,True,HS,94005,596.0
1056901,-122.406063517,37.6816445103,M,14.0,0.0,Brisbane,0.0,0.0,San Mateo,7366.03683298,Vacant,,,,08310NANANANA,,False,True,,94005,596.0
1056933,-122.402694136,37.6817530785,M,14.0,3890.74019347,Brisbane,0.0,2.0,San Mateo,4772.66150645,Residential,,1984.0,,08310NAb3NANA,b3,False,True,HS,94005,596.0
1057083,-122.397552436,37.6817665397,M,14.0,3890.74019347,Brisbane,0.0,2.0,San Mateo,3998.9193265,Residential,,1984.0,,08310NAb3NANA,b3,False,True,HS,94005,596.0
1057224,-122.403493551,37.6804682088,M,14.0,7781.48038695,Brisbane,0.0,4.0,San Mateo,2871.42487628,Residential,,1984.0,,08310NAb3NANA,b3,False,True,HS,94005,596.0
1057240,-122.404282808,37.6802692663,M,14.0,3300.0,Brisbane,0.0,3.0,San Mateo,3623.27771507,Residential,,1954.0,,08310NANANANA,,False,True,HS,94005,596.0
1057403,-122.401919453,37.6796350297,M,14.0,3890.74019347,Brisbane,0.0,2.0,San Mateo,5641.09684117,Residential,,1984.0,,08310NAb3NANA,b3,False,True,HS,94005,596.0
1057545,-122.403955617,37.6763120756,M,2.0,0.0,Brisbane,0.0,0.0,San Mateo,58793.0490886,Vacant,,,,08310NAb3NANA,b3,False,True,,94005,596.0
1057296,-122.407458339,37.6792263386,M,14.0,0.0,Brisbane,0.0,0.0,San Mateo,9625.45528725,Vacant,,,,08310NANANANA,,False,True,,94005,596.0
1057511,-122.403720808,37.6785482045,M,14.0,0.0,Brisbane,0.0,0.0,San Mateo,2124.19289209,Vacant,,,,08310NAb3NANA,b3,False,True,,94005,596.0
1057599,-122.398573575,37.6787569683,M,14.0,5836.11029021,Brisbane,0.0,3.0,San Mateo,5037.66081048,Residential,,1984.0,,08310NAb3NANA,b3,False,True,HS,94005,596.0
1057620,-122.400687315,37.6757465463,M,2.0,0.0,Brisbane,0.0,0.0,San Mateo,47295.6311086,Vacant,,,,08310NAb3NANA,b3,False,True,,94005,596.0
1057708,-122.394581421,37.6751075433,M,2.0,0.0,Brisbane,0.0,0.0,San Mateo,46035.8700204,Vacant,,,,08310NAb3NANA,b3,False,True,,94005,596.0
1050655,-122.403012867,37.6927877667,M,87.12,0.0,Brisbane,0.0,0.0,San Mateo,367538.084364,Vacant,sfo9_a,,2.0,08310SFO9_ab3NANA,b3,False,False,,94005,596.0
1050699,-122.404249115,37.6867048887,M,87.12,39800.0,Brisbane,39800.0,0.0,San Mateo,75174.1703946,Industrial,,1960.0,2.0,08310NAb3NANA,b3,False,False,IW,94005,596.0
1050823,-122.408008598,37.7002428561,M,87.12,3890.74019347,Brisbane,0.0,2.0,San Mateo,9431.70012199,Residential,,1984.0,2.0,08310NAb2NANA,b2,False,False,HS,94005,596.0
1050827,-122.407057925,37.7005615567,M,87.12,21000.0,Brisbane,21000.0,0.0,San Mateo,44964.0638246,Industrial,sfo9_a,1965.0,2.0,08310SFO9_ab2NANA,b2,False,False,IW,94005,596.0
1056702,-122.404364674,37.6825005697,M,14.0,3890.74019347,Brisbane,0.0,2.0,San Mateo,5000.02656202,Residential,,1984.0,,08310NANANANA,,False,True,HS,94005,596.0
1056528,-122.404102117,37.6839160507,M,14.0,3890.74019347,Brisbane,0.0,2.0,San Mateo,2375.05375442,Residential,,1984.0,,08310NANANANA,,False,True,HS,94005,596.0
1056517,-122.405019527,37.6844045668,M,14.0,2160.0,Brisbane,0.0,3.0,San Mateo,3329.96932058,Residential,,1947.0,,08310NANANANA,,False,True,HS,94005,596.0
1056464,-122.407446688,37.6841546612,M,14.0,3890.74019347,Brisbane,0.0,2.0,San Mateo,3645.43598529,Residential,,1984.0,,08310NANANANA,,False,True,HS,94005,596.0
1056903,-122.406082527,37.6818898397,M,14.0,1940.0,Brisbane,0.0,2.0,San Mateo,4197.47728498,Residential,,1940.0,,08310NANANANA,,False,True,HS,94005,596.0
1057093,-122.395086101,37.6810314393,M,121.968,0.0,Brisbane,0.0,0.0,San Mateo,20762.162456,Vacant,,,2.8,08310NAb3NANA,b3,True,False,,94005,596.0
1057305,-122.40660818,37.6789425943,M,14.0,0.0,Brisbane,0.0,0.0,San Mateo,4430.01366261,Vacant,,,,08310NANANANA,,False,True,,94005,596.0
1057379,-122.403244558,37.6788253428,M,14.0,0.0,Brisbane,0.0,0.0,San Mateo,5483.94779248,Vacant,,,,08310NAb3NANA,b3,False,True,,94005,596.0
1057415,-122.401979676,37.6792532828,M,14.0,3170.0,Brisbane,0.0,2.0,San Mateo,5687.46982418,Residential,,1943.0,,08310NAb3NANA,b3,False,True,HS,94005,596.0
1057668,-122.395381316,37.6779664725,M,2.0,3590.0,Brisbane,0.0,2.0,San Mateo,10038.172605,Residential,,1957.0,,08310NAb3NANA,b3,False,True,HS,94005,596.0
1057660,-122.397196095,37.6782416204,M,2.0,0.0,Brisbane,0.0,0.0,San Mateo,5169.3955584,Vacant,,,,08310NAb3NANA,b3,False,True,,94005,596.0
1057688,-122.39369362,37.6765465429,M,2.0,0.0,Brisbane,0.0,0.0,San Mateo,58034.4623747,Vacant,,,,08310NAb3NANA,b3,False,True,,94005,596.0
1057470,-122.398316444,37.6793200703,M,14.0,0.0,Brisbane,0.0,0.0,San Mateo,3160.98058327,Vacant,,,,08310NAb3NANA,b3,False,True,,94005,596.0
1050755,-122.420606167,37.6921940877,M,87.12,50000.0,Brisbane,50000.0,0.0,San Mateo,103559.768661,Industrial,,1968.0,2.0,08310NANANANA,,False,False,IW,94005,596.0
1051160,-122.4204734,37.6946504318,M,,0.0,Brisbane,0.0,0.0,San Mateo,1124.26902964,Vacant,,,,08310NANANANA,,False,False,,94005,596.0
1051161,-122.420571157,37.6940910463,M,,0.0,Brisbane,0.0,0.0,San Mateo,1700.91227432,Vacant,,,,08310NANANANA,,False,False,,94005,596.0
1051125,-122.419575643,37.696082429,M,6.23,3890.74019347,Brisbane,0.0,2.0,San Mateo,7328.0875693,Residential,,1984.0,,08310NANANANA,,False,True,HS,94005,596.0
1056586,-122.399978319,37.684408722,M,14.0,3890.74019347,Brisbane,0.0,2.0,San Mateo,1608.36458065,Residential,,1984.0,,08310NANANANA,,False,True,HS,94005,596.0
1057542,-122.404261196,37.6756698789,M,2.0,0.0,Brisbane,0.0,0.0,San Mateo,11409.822046,Vacant,,,,08310NAb3NANA,b3,False,True,,94005,596.0
1050740,-122.414139146,37.6910293402,M,87.12,88100.0,Brisbane,88100.0,0.0,San Mateo,170971.994077,Industrial,,1970.0,2.0,08310NANANANA,,False,False,IW,94005,596.0
1050743,-122.411574873,37.6903042346,M,,0.0,Brisbane,0.0,0.0,San Mateo,16044.0783463,Vacant,,,,08310NAb3NANA,b3,False,False,,94005,596.0
1056350,-122.390654427,37.6845697382,M,,0.0,Brisbane,0.0,0.0,San Mateo,47131.6342308,Vacant,sfo9_a,,,08310SFO9_aNANANA,,False,False,,94005,596.0
1056467,-122.407691637,37.6841297322,M,14.0,2790.0,Brisbane,0.0,3.0,San Mateo,4880.37836363,Residential,,1943.0,,08310NANANANA,,False,True,HS,94005,596.0
1056518,-122.40506428,37.6845014481,M,14.0,1440.0,Brisbane,0.0,2.0,San Mateo,5012.24413279,Residential,,1947.0,,08310NANANANA,,False,True,HS,94005,596.0
1056532,-122.404749126,37.6838532769,M,14.0,3890.74019347,Brisbane,0.0,2.0,San Mateo,5119.52087729,Residential,,1984.0,,08310NANANANA,,False,True,HS,94005,596.0
1056646,-122.39839582,37.6841053464,M,14.0,0.0,Brisbane,0.0,0.0,San Mateo,5700.77350372,Vacant,,,,08310NAb3NANA,b3,False,True,,94005,596.0
1056899,-122.406134219,37.6812930202,M,14.0,7781.48038695,Brisbane,0.0,4.0,San Mateo,6603.50072458,Residential,,1984.0,,08310NANANANA,,False,True,HS,94005,596.0
1056783,-122.402484431,37.6827014048,M,14.0,2000.0,Brisbane,0.0,2.0,San Mateo,3290.33219803,Residential,,1959.0,,08310NANANANA,,False,True,HS,94005,596.0
1056611,-122.400104522,37.6839977141,M,14.0,0.0,Brisbane,0.0,0.0,San Mateo,2437.1500357,Vacant,,,,08310NANANANA,,False,True,,94005,596.0
1057088,-122.397427184,37.6825696054,M,14.0,3200.0,Brisbane,0.0,2.0,San Mateo,8116.74988458,Residential,,1937.0,,08310NAb3NANA,b3,False,True,HS,94005,596.0
1057097,-122.395516542,37.6819826459,M,121.968,0.0,Brisbane,0.0,0.0,San Mateo,20824.9592632,Vacant,,,2.8,08310NAb3NANA,b3,True,False,,94005,596.0
1057273,-122.406311262,37.6803880698,M,,0.0,Brisbane,0.0,0.0,San Mateo,10993.8732245,Vacant,,,,08310NANANANA,,False,False,,94005,596.0
1057318,-122.405085322,37.6791655175,M,,0.0,Brisbane,0.0,0.0,San Mateo,38346.8679313,Vacant,,,,08310NANANANA,,False,False,,94005,596.0
1057459,-122.399581574,37.6791129067,M,14.0,2520.0,Brisbane,0.0,2.0,San Mateo,5000.04852318,Residential,,1964.0,,08310NAb3NANA,b3,False,True,HS,94005,596.0
1057446,-122.400549244,37.6799536746,M,14.0,2040.0,Brisbane,0.0,3.0,San Mateo,2420.08062845,Residential,,1949.0,,08310NAb3NANA,b3,False,True,HS,94005,596.0
1057455,-122.400057024,37.6793772403,M,14.0,3890.74019347,Brisbane,0.0,2.0,San Mateo,2978.67798489,Residential,,1984.0,,08310NAb3NANA,b3,False,True,HS,94005,596.0
1057642,-122.397174387,37.6794175358,M,14.0,0.0,Brisbane,0.0,0.0,San Mateo,19069.0949317,Vacant,,,,08310NAb3NANA,b3,False,True,,94005,596.0
1050714,-122.401592502,37.6874174838,M,87.12,15880.0,Brisbane,15880.0,0.0,San Mateo,56908.4995483,Office,,1965.0,2.0,08310NAb3NANA,b3,False,False,OF,94005,596.0
1056443,-122.406347517,37.6826793582,M,14.0,3890.74019347,Brisbane,0.0,2.0,San Mateo,4845.03596575,Residential,,1984.0,,08310NANANANA,,False,True,HS,94005,596.0
1050698,-122.403419219,37.6871428745,M,87.12,20160.0,Brisbane,20160.0,0.0,San Mateo,43303.961919,Industrial,,1960.0,2.0,08310NAb3NANA,b3,False,False,IW,94005,596.0
1050753,-122.419128926,37.6920920704,M,87.12,22160.0,Brisbane,22160.0,0.0,San Mateo,55175.534187,Industrial,,1974.0,2.0,08310NANANANA,,False,False,IW,94005,596.0
1056944,-122.40435689,37.6814481886,M,14.0,3890.74019347,Brisbane,0.0,2.0,San Mateo,2496.7436008,Residential,,1984.0,,08310NANANANA,,False,True,HS,94005,596.0
1056627,-122.399232248,37.6839331931,M,14.0,2380.0,Brisbane,0.0,2.0,San Mateo,6246.31994707,Residential,,1948.0,,08310NAb3NANA,b3,False,True,HS,94005,596.0
1056630,-122.399080184,37.6843476191,M,14.0,0.0,Brisbane,0.0,0.0,San Mateo,5614.24947551,Vacant,,,,08310NANANANA,,False,True,,94005,596.0
1056648,-122.398724278,37.6840428675,M,14.0,1540.0,Brisbane,0.0,2.0,San Mateo,9485.56272301,Residential,,1928.0,,08310NAb3NANA,b3,False,True,HS,94005,596.0
1056724,-122.403706545,37.6837781319,M,14.0,1760.0,Brisbane,0.0,2.0,San Mateo,2375.0072847,Residential,,1938.0,,08310NANANANA,,False,True,HS,94005,596.0
1056879,-122.405214258,37.6814501023,M,14.0,3890.74019347,Brisbane,0.0,2.0,San Mateo,3618.56051741,Residential,,1984.0,,08310NANANANA,,False,True,HS,94005,596.0
