parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1108160,-122.367057566,37.582916044,M,8.0,3460.0,Burlingame,0.0,2.0,San Mateo,6000.10918047,Residential,bur1,1930.0,2.0,09066BUR1cr3NANA,cr3,False,True,HS,94010,1061.0
1105645,-122.385325712,37.5951133359,M,130.68,10104.0,Burlingame,10104.0,0.0,San Mateo,41549.6580852,Retail,bur1,1973.0,3.0,09066BUR1bart1NANA,bart1,True,False,RS,94010,1061.0
1106550,-122.373770702,37.5969122715,S,21.78,0.0,Burlingame,0.0,0.0,San Mateo,110566.615974,Industrial,,1966.0,0.5,09066NANANANA,,False,False,IL,94010,1061.0
1106554,-122.375102572,37.5959921756,S,21.78,26880.0,Burlingame,26880.0,0.0,San Mateo,44665.8927161,Industrial,,1957.0,0.5,09066NAb3NANA,b3,False,False,IW,94010,1061.0
1108796,-122.359749786,37.58297433,M,20.0,7970.0,Burlingame,0.0,5.0,San Mateo,3447.89922757,Residential,bur1,1919.0,2.0,09066BUR1cr3NANA,cr3,False,True,HM,94010,1061.0
1108997,-122.370154399,37.5985033842,S,21.78,38400.0,Burlingame,38400.0,0.0,San Mateo,68691.0698843,Industrial,,1981.0,0.5,09066NANANANA,,False,False,IW,94010,1061.0
1107898,-122.368155792,37.5859550775,S,50.0,13617.5906772,Burlingame,0.0,7.0,San Mateo,4800.07904504,Residential,bur1,1942.0,3.66666666667,09066BUR1cr3NANA,cr3,False,True,HS,94010,1061.0
1105625,-122.386712921,37.5917918907,M,50.0,11672.2205804,Burlingame,0.0,6.0,San Mateo,24429.6471862,Residential,,1960.0,3.66666666667,09066NAbrt2NANA,brt2,False,True,HM,94010,1061.0
1108988,-122.370615235,37.5982585232,S,21.78,25920.0,Burlingame,25920.0,0.0,San Mateo,76861.1940889,Industrial,,1966.0,0.5,09066NANANANA,,False,False,IW,94010,1061.0
1109757,-122.382118578,37.5851978831,S,8.0,9900.0,Burlingame,0.0,9.0,San Mateo,6139.79404928,Residential,,1950.0,2.0,09066NANANANA,,False,True,HS,94010,1061.0
1111574,-122.351117651,37.5763685648,S,50.0,13617.5906772,Burlingame,0.0,7.0,San Mateo,19779.1597138,Residential,bur1,1984.0,3.66666666667,09066BUR1cr3NANA,cr3,False,True,HM,94010,1061.0
