parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
853150,-122.5732587,38.5704259789,MH,0.5,0.0,Calistoga,0.0,0.0,Napa,398112.878557,Vacant,,,2.0,09892NANANANA,,False,True,,94515,459.0
853162,-122.570967178,38.5682624099,MH,1.0,0.0,Calistoga,0.0,0.0,Napa,42027.3970274,Parking,,1957.0,,09892NANANANA,,False,True,PA2,94515,459.0
853180,-122.574105019,38.5714177116,M,0.5,0.0,Calistoga,0.0,0.0,Napa,317952.935706,Parking,,1939.0,2.0,09892NANANANA,,False,True,PA2,94515,459.0
852494,-122.581561559,38.5840921532,M,10.0,3540.38743961,Calistoga,0.0,2.0,Napa,4913.35992378,Residential,,1974.0,2.0,09892NANANANA,,False,True,HS,94515,459.0
852838,-122.581392241,38.5784536953,M,20.0,0.0,Calistoga,0.0,0.0,Napa,1829.60608854,Parking,,1939.0,0.8,09892NANANANA,,False,True,PA2,94515,459.0
853323,-122.599620859,38.5853051603,M,0.5,0.0,Calistoga,0.0,0.0,Napa,43751.7177163,Parking,,1939.0,2.0,09892NANANANA,,False,True,PA2,94515,459.0
852767,-122.57801626,38.5791281203,M,20.0,0.0,Calistoga,0.0,0.0,Napa,6158.18081319,Parking,,1939.0,2.0,09892NANANANA,,True,True,PA2,94515,459.0
853481,-122.590385993,38.5885208681,M,10.0,0.0,Calistoga,0.0,0.0,Napa,10751.9508312,Parking,,1939.0,2.0,09892NANANANA,,False,True,PA2,94515,459.0
853036,-122.572320586,38.574428163,M,26.136,0.0,Calistoga,0.0,0.0,Napa,6937.25206881,Parking,,1939.0,0.6,09892NANANANA,,True,False,PA2,94515,459.0
852398,-122.577776648,38.5814895694,M,20.0,0.0,Calistoga,0.0,0.0,Napa,2623.33058886,Parking,,1939.0,2.0,09892NANANANA,,True,True,PA2,94515,459.0
852945,-122.580240144,38.5766085676,M,20.0,1937.0,Calistoga,1937.0,0.0,Napa,7554.99896015,Retail,,1939.0,2.0,09892NANANANA,,True,True,RS,94515,459.0
852430,-122.584198948,38.5836767026,M,10.0,4557.5,Calistoga,0.0,5.0,Napa,9651.14976111,Residential,,1953.0,2.0,09892NANANANA,,False,True,HS,94515,459.0
852220,-122.582011359,38.5864239301,M,10.0,0.0,Calistoga,0.0,0.0,Napa,6064.16889171,Parking,,1939.0,2.0,09892NANANANA,,False,True,PA2,94515,459.0
852254,-122.574676864,38.5841509566,M,20.0,0.0,Calistoga,0.0,0.0,Napa,17680.4330446,Parking,,1939.0,0.8,09892NANANANA,,False,True,PA2,94515,459.0
853583,-122.583638016,38.5826540422,M,20.0,0.0,Calistoga,0.0,0.0,Napa,589.543394663,Vacant,,,0.8,09892NANANANA,,False,True,,94515,459.0
852152,-122.581971618,38.588069676,M,10.0,0.0,Calistoga,0.0,0.0,Napa,9538.97085737,Residential,,1939.0,2.0,09892NANANANA,,False,True,HS,94515,459.0
852348,-122.580177997,38.5818279496,M,20.0,4355.0,Calistoga,0.0,5.0,Napa,6737.28030615,Residential,,1925.0,0.8,09892NANANANA,,False,True,HS,94515,459.0
852728,-122.581405516,38.5799284428,M,20.0,15931.7434783,Calistoga,0.0,9.0,Napa,14406.0771885,Residential,,1974.0,0.8,09892NANANANA,,False,True,HM,94515,459.0
852862,-122.578518893,38.5778137015,M,20.0,0.0,Calistoga,0.0,0.0,Napa,41625.031375,Parking,,1939.0,2.0,09892NANANANA,,True,True,PA2,94515,459.0
852891,-122.577685524,38.5779820775,M,20.0,2903.0,Calistoga,2903.0,0.0,Napa,9509.08579108,Retail,,1939.0,0.8,09892NANANANA,,True,True,RS,94515,459.0
852897,-122.577008314,38.5772529724,M,20.0,0.0,Calistoga,0.0,0.0,Napa,15564.8156596,Residential,,1939.0,0.8,09892NANANANA,,False,True,HS,94515,459.0
852921,-122.582503749,38.5765389114,M,20.0,8850.96859903,Calistoga,0.0,5.0,Napa,19986.3829533,Residential,,1974.0,0.8,09892NANANANA,,False,True,HS,94515,459.0
852941,-122.581870321,38.5759482265,M,20.0,0.0,Calistoga,0.0,0.0,Napa,7590.66661976,Parking,,1939.0,0.8,09892NANANANA,,False,True,PA2,94515,459.0
852951,-122.580770616,38.5755292491,M,20.0,0.0,Calistoga,0.0,0.0,Napa,8907.81302483,Parking,,1939.0,2.0,09892NANANANA,,True,True,PA2,94515,459.0
853000,-122.571244126,38.5734907623,M,0.5,4090.0,Calistoga,0.0,2.0,Napa,166482.537882,Residential,,1923.0,2.0,09892NANANANA,,False,True,HS,94515,459.0
853010,-122.574571901,38.5770257472,M,20.0,1176.0,Calistoga,0.0,3.0,Napa,8401.42599932,Residential,,1969.0,0.8,09892NANANANA,,False,True,HM,94515,459.0
853016,-122.574028992,38.5762272648,M,26.136,2880.0,Calistoga,0.0,6.0,Napa,14078.7462897,Residential,,1925.0,0.6,09892NANANANA,,True,False,HS,94515,459.0
853189,-122.577937572,38.5800172306,M,20.0,0.0,Calistoga,0.0,0.0,Napa,4062.54411166,Vacant,,,2.0,09892NANANANA,,True,True,,94515,459.0
853175,-122.573776806,38.5698730072,MH,,0.0,Calistoga,0.0,0.0,Napa,47745.3840295,Parking,,1957.0,,09892NANANANA,,False,False,PA2,94515,459.0
853021,-122.573261014,38.5737422027,M,26.136,0.0,Calistoga,0.0,0.0,Napa,7771.3338659,Parking,,1939.0,0.6,09892NANANANA,,True,False,PA2,94515,459.0
852782,-122.576302493,38.5784945405,M,20.0,8850.96859903,Calistoga,0.0,5.0,Napa,4982.14102361,Residential,,1974.0,0.8,09892NANANANA,,False,True,HS,94515,459.0
852097,-122.58588481,38.5887153724,M,10.0,5541.0,Calistoga,0.0,3.0,Napa,7946.05015969,Residential,,1988.0,2.0,09892NANANANA,,False,True,HS,94515,459.0
