parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1489758,-121.985877953,37.2662163268,M,13.0,1739.0,Campbell,0.0,2.0,Santa Clara,1607.66222086,Residential,,1980.0,2.33333333333,10345NAb3NANA,b3,False,True,HM,95032,793.0
1494203,-121.961346861,37.2727569335,M,20.0,3150.0,Campbell,0.0,2.0,Santa Clara,7908.09891131,Residential,,1965.0,2.33333333333,10345NAlrt3NANA,lrt3,False,True,HM,95008,663.0
1409394,-121.945162127,37.3065732543,S,6.0,6663.0,Campbell,0.0,3.0,Santa Clara,8570.91663999,Residential,,1960.0,2.33333333333,10345NAb3NANA,b3,False,True,HS,95128,641.0
1504035,-121.946452607,37.2607688144,M,27.0,1188.0,Campbell,0.0,2.0,Santa Clara,770.933358876,Residential,,1990.0,2.66666666667,10345NAb2NANA,b2,False,True,HM,95008,663.0
1489783,-121.991498299,37.2642098587,M,1.0,0.0,Campbell,0.0,0.0,Santa Clara,809.917821536,Vacant,,,0.7,10345NAb3NANA,b3,False,True,,95032,793.0
1434725,-121.959713707,37.2972070209,S,20.0,1242.0,Campbell,0.0,2.0,Santa Clara,1449.92861249,Residential,,1980.0,2.33333333333,10345NANANANA,,False,True,HM,95008,663.0
1511897,-121.950570454,37.2573130898,M,,1318.0,Campbell,0.0,2.0,Santa Clara,520.243913357,Residential,,1986.0,,10345NAb3NANA,b3,False,False,HM,95008,663.0
2053229,-121.947062007,37.2656868118,M,13.0,0.0,Campbell,0.0,0.0,Santa Clara,190790.820371,Residential,,1983.0,2.33333333333,10345NAb2NANA,b2,False,True,HM,95008,663.0
1434969,-121.951864342,37.2913554442,S,20.0,21640.0,Campbell,0.0,5.0,Santa Clara,17884.307849,Residential,,1961.0,2.33333333333,10345NAb3NANA,b3,False,True,HM,95008,663.0
1435144,-121.958865821,37.2882715657,S,6.0,4516.0,Campbell,0.0,2.0,Santa Clara,16695.3201422,Residential,,1958.0,2.33333333333,10345NANANANA,,False,True,HS,95008,663.0
