parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
398769,-121.922648463,37.9230590624,H,,0.0,Clayton,0.0,0.0,Contra Costa,18469.0057289,Vacant,,,,13882NANANANA,,False,False,,94517,356.0
412136,-121.922691748,37.9230635558,H,,0.0,Clayton,0.0,0.0,Contra Costa,48021.0330542,Vacant,,,,13882NANANANA,,False,False,,94517,356.0
410325,-121.921499059,37.9223638504,H,,0.0,Clayton,0.0,0.0,Contra Costa,14000.8229375,Vacant,,,,13882NANANANA,,False,False,,94517,356.0
411517,-121.922328557,37.9228342334,H,,0.0,Clayton,0.0,0.0,Contra Costa,19115.15991,Vacant,,,,13882NANANANA,,False,False,,94517,356.0
413849,-121.91317089,37.9236243013,H,3.0,3352.0,Clayton,0.0,2.0,Contra Costa,255450.84435,Residential,,1976.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
427520,-121.928325993,37.9303206526,MH,7.5,20398.0,Clayton,0.0,14.0,Contra Costa,25359.0462055,Residential,,1978.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
484030,-121.930416133,37.953913934,MH,15.0,0.0,Clayton,0.0,0.0,Contra Costa,4260.65989003,Vacant,,,0.5,13882NANANANA,,False,True,,94517,356.0
484322,-121.954375239,37.9528701757,MH,101.64,68085.0,Clayton,68085.0,0.0,Contra Costa,199970.079329,Retail,,1990.0,2.33333333333,13882NANANANA,,False,False,RS,94517,356.0
424427,-121.928723467,37.929345036,MH,3.0,5388.0,Clayton,0.0,2.0,Contra Costa,10893.7068258,Residential,,1977.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
411948,-121.914558537,37.9233740147,H,3.0,4854.0,Clayton,0.0,2.0,Contra Costa,9080.15272225,Residential,,1991.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
412899,-121.920674608,37.9237472985,H,3.0,3562.0,Clayton,0.0,2.0,Contra Costa,10063.5707714,Residential,,1977.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
413517,-121.91649305,37.9242193434,H,3.0,7284.0,Clayton,0.0,3.0,Contra Costa,10064.3781944,Residential,,1990.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
414866,-121.917910864,37.925185512,H,3.0,5286.0,Clayton,0.0,2.0,Contra Costa,9690.54589375,Residential,,1991.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
417064,-121.930458432,37.9247264128,MH,,0.0,Clayton,0.0,0.0,Contra Costa,173890.220612,Vacant,,,,13882NANANANA,,False,False,,94517,356.0
428719,-121.929280225,37.9310066026,MH,7.5,0.0,Clayton,0.0,0.0,Contra Costa,29059.0585792,Vacant,,,2.33333333333,13882NANANANA,,False,True,,94517,356.0
467886,-121.933842613,37.9471776175,MH,7.5,0.0,Clayton,0.0,0.0,Contra Costa,23801.480718,Vacant,,,2.33333333333,13882NANANANA,,False,True,,94517,356.0
483495,-121.952593942,37.9533887787,MH,,0.0,Clayton,0.0,0.0,Contra Costa,10862.9513565,Vacant,,,,13882NANANANA,,False,False,,94517,356.0
483785,-121.931330835,37.9538969906,MH,15.0,0.0,Clayton,0.0,0.0,Contra Costa,3084.94420393,Vacant,,,0.5,13882NANANANA,,False,True,,94517,356.0
423664,-121.927874531,37.9290652352,MH,3.0,4686.0,Clayton,0.0,2.0,Contra Costa,13562.3720006,Residential,,1977.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
480708,-121.932429052,37.9529468309,MH,15.0,0.0,Clayton,0.0,0.0,Contra Costa,11483.8957178,Vacant,,,0.5,13882NANANANA,,False,True,,94517,356.0
475327,-121.939324069,37.9471116796,MH,,1200.0,Clayton,1200.0,0.0,Contra Costa,1025438.42018,Office,,1970.0,,13882NANANANA,,False,False,OF,94517,356.0
482075,-121.952196432,37.9527899362,MH,5.0,0.0,Clayton,0.0,0.0,Contra Costa,28512.0602943,Vacant,,,2.33333333333,13882NANANANA,,False,True,,94517,356.0
412966,-121.920992215,37.9238014564,H,3.0,3536.0,Clayton,0.0,2.0,Contra Costa,8112.63732521,Residential,,1977.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
441967,-121.933860617,37.9368767729,MH,,2336.0,Clayton,0.0,1.0,Contra Costa,47163.5379478,Residential,,1977.0,,13882NANANANA,,False,False,HS,94517,356.0
443774,-121.93583103,37.9378975872,MH,1.0,2479.0,Clayton,0.0,1.0,Contra Costa,44293.1834404,Residential,,1974.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
450530,-121.93923349,37.9405862738,MH,3.0,1182.0,Clayton,0.0,1.0,Contra Costa,45439.3022355,Residential,,1921.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
451064,-121.937178966,37.9408519833,MH,,0.0,Clayton,0.0,0.0,Contra Costa,18875.2081318,Vacant,,,,13882NANANANA,,False,False,,94517,356.0
455674,-121.928832647,37.9424542673,MH,,0.0,Clayton,0.0,0.0,Contra Costa,272112.211878,Vacant,,,,13882NANANANA,,False,False,,94517,356.0
481232,-121.931720599,37.9531432023,MH,15.0,0.0,Clayton,0.0,0.0,Contra Costa,25968.7942734,Vacant,,,0.5,13882NANANANA,,False,True,,94517,356.0
411228,-121.932098087,37.9222085957,MH,3.0,4800.0,Clayton,0.0,1.0,Contra Costa,100266.646695,Residential,,1978.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
413950,-121.921634552,37.9243659865,H,3.0,4020.0,Clayton,0.0,2.0,Contra Costa,13763.3272126,Residential,,1977.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
410919,-121.921254794,37.9226414361,H,,0.0,Clayton,0.0,0.0,Contra Costa,14874.5533677,Vacant,,,,13882NANANANA,,False,False,,94517,356.0
416392,-121.920501916,37.9255801759,H,3.0,4848.0,Clayton,0.0,2.0,Contra Costa,12907.4670634,Residential,,1977.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
398682,-121.921185201,37.9239937965,H,3.0,4064.0,Clayton,0.0,2.0,Contra Costa,9264.96266716,Residential,,1977.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
398691,-121.92180377,37.923691266,H,,0.0,Clayton,0.0,0.0,Contra Costa,25289.4128642,Vacant,,,,13882NANANANA,,False,False,,94517,356.0
432114,-121.937089364,37.932392111,MH,3.0,4978.0,Clayton,0.0,2.0,Contra Costa,14860.7857526,Residential,,1975.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
434055,-121.93171843,37.9329777935,MH,3.0,0.0,Clayton,0.0,0.0,Contra Costa,49844.1408609,Vacant,,,2.33333333333,13882NANANANA,,False,True,,94517,356.0
462013,-121.933828195,37.945869066,MH,7.5,0.0,Clayton,0.0,0.0,Contra Costa,5949.28103845,Vacant,,,2.33333333333,13882NANANANA,,False,True,,94517,356.0
430310,-121.936122056,37.9347190277,MH,3.0,4282.0,Clayton,0.0,2.0,Contra Costa,12284.2833498,Residential,,1977.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
411248,-121.921620831,37.9228340577,H,,0.0,Clayton,0.0,0.0,Contra Costa,13261.2789971,Vacant,,,,13882NANANANA,,False,False,,94517,356.0
412547,-121.922497112,37.9234342321,H,,0.0,Clayton,0.0,0.0,Contra Costa,23111.8592161,Vacant,,,,13882NANANANA,,False,False,,94517,356.0
447696,-121.932902895,37.9396556877,MH,,0.0,Clayton,0.0,0.0,Contra Costa,637.832905168,Vacant,,,,13882NANANANA,,False,False,,94517,356.0
450405,-121.938105391,37.9400519339,MH,1.0,1279.0,Clayton,0.0,1.0,Contra Costa,172529.664216,Residential,,1953.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
478429,-121.915821009,37.9511692196,MH,,0.0,Clayton,0.0,0.0,Contra Costa,381400.964188,Vacant,,,,13882NANANANA,,False,False,,94517,356.0
433628,-121.929552064,37.9330504006,MH,7.5,16536.0,Clayton,0.0,12.0,Contra Costa,21142.8141258,Residential,,1974.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
412749,-121.921389047,37.9233769562,H,,0.0,Clayton,0.0,0.0,Contra Costa,25121.8522853,Vacant,,,,13882NANANANA,,False,False,,94517,356.0
439839,-121.936663214,37.9359116024,MH,1.0,5931.0,Clayton,0.0,1.0,Contra Costa,63148.2166333,Residential,,1978.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
442056,-121.938582534,37.9370132067,MH,1.0,2825.0,Clayton,0.0,1.0,Contra Costa,61972.9118472,Residential,,1978.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
481999,-121.931136289,37.9534740184,MH,15.0,0.0,Clayton,0.0,0.0,Contra Costa,14629.4873557,Vacant,,,0.5,13882NANANANA,,False,True,,94517,356.0
411613,-121.912851678,37.922895255,H,3.0,0.0,Clayton,0.0,0.0,Contra Costa,96284.6606521,Residential,,1986.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
452344,-121.942978816,37.9414918847,MH,3.0,0.0,Clayton,0.0,0.0,Contra Costa,14117.5548106,Residential,,1952.0,2.33333333333,13882NANANANA,,False,True,HM,94517,356.0
428628,-121.929257422,37.9310939483,MH,7.5,34968.0,Clayton,0.0,24.0,Contra Costa,44043.1922303,Residential,,1978.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
430932,-121.929480005,37.9317947182,MH,7.5,27560.0,Clayton,0.0,20.0,Contra Costa,37524.0717093,Residential,,1974.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
411779,-121.920682098,37.9229435319,H,,0.0,Clayton,0.0,0.0,Contra Costa,21414.0980881,Vacant,,,,13882NANANANA,,False,False,,94517,356.0
413416,-121.917965104,37.9240975234,H,3.0,4780.0,Clayton,0.0,2.0,Contra Costa,9028.73439007,Residential,,1989.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
413895,-121.918302382,37.9244133642,H,3.0,7170.0,Clayton,0.0,3.0,Contra Costa,8240.69014883,Residential,,1990.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
426587,-121.928195275,37.9303920489,MH,7.5,0.0,Clayton,0.0,0.0,Contra Costa,9755.58024204,Vacant,,,2.33333333333,13882NANANANA,,False,True,,94517,356.0
436622,-121.931547828,37.9339791073,MH,3.0,0.0,Clayton,0.0,0.0,Contra Costa,14467.9627853,Vacant,,,2.33333333333,13882NANANANA,,False,True,,94517,356.0
430025,-121.923075664,37.9309319273,MH,,0.0,Clayton,0.0,0.0,Contra Costa,29042.6864038,Vacant,,,,13882NANANANA,,False,False,,94517,356.0
442647,-121.934001109,37.9372362451,MH,,2526.0,Clayton,0.0,1.0,Contra Costa,61094.3187141,Residential,,1978.0,,13882NANANANA,,False,False,HS,94517,356.0
450975,-121.935474649,37.9408851673,MH,32.67,7138.0,Clayton,7138.0,0.0,Contra Costa,18231.8238472,Office,,1950.0,0.75,13882NANANANA,,True,True,OF,94517,356.0
474416,-121.940121063,37.9503298832,MH,7.5,0.0,Clayton,0.0,0.0,Contra Costa,9054.00079574,Vacant,,,2.33333333333,13882NANANANA,,False,True,,94517,356.0
480314,-121.952938468,37.9526638833,MH,5.0,0.0,Clayton,0.0,0.0,Contra Costa,1050.04673392,Vacant,,,2.33333333333,13882NANANANA,,False,True,,94517,356.0
481278,-121.930371161,37.9525677493,MH,,0.0,Clayton,0.0,0.0,Contra Costa,268482.282971,Vacant,,,,13882NANANANA,,False,False,,94517,356.0
483864,-121.9299653,37.9538500715,MH,15.0,0.0,Clayton,0.0,0.0,Contra Costa,5695.58341876,Vacant,,,0.5,13882NANANANA,,False,True,,94517,356.0
486492,-121.933760649,37.9546704999,MH,15.0,0.0,Clayton,0.0,0.0,Contra Costa,6701.0416676,Vacant,,,0.5,13882NANANANA,,False,True,,94517,356.0
440317,-121.939070999,37.9360965446,MH,1.0,3256.0,Clayton,0.0,1.0,Contra Costa,57020.6413628,Residential,,1984.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
442653,-121.934575321,37.937364355,MH,1.0,5088.0,Clayton,0.0,1.0,Contra Costa,43899.1051996,Residential,,1978.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
485089,-121.941841368,37.9541037843,MH,5.0,4106.0,Clayton,0.0,2.0,Contra Costa,10817.8959388,Residential,,1991.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
488392,-121.952578718,37.9544649715,MH,20.0,14875.0,Clayton,14875.0,0.0,Contra Costa,160430.187209,Office,,1970.0,0.5,13882NANANANA,,False,True,OF,94517,356.0
434462,-121.929860935,37.9326112746,MH,7.5,11024.0,Clayton,0.0,8.0,Contra Costa,49917.0309905,Residential,,1974.0,2.33333333333,13882NANANANA,,False,True,HM,94517,356.0
450926,-121.93469236,37.9408824423,MH,,0.0,Clayton,0.0,0.0,Contra Costa,8870.13301714,Retail,,1978.0,,13882NANANANA,,False,False,RS,94517,356.0
427499,-121.929253197,37.9305155318,MH,7.5,0.0,Clayton,0.0,0.0,Contra Costa,18730.3680017,Vacant,,,2.33333333333,13882NANANANA,,False,True,,94517,356.0
450630,-121.935729868,37.9408192149,MH,32.67,7174.0,Clayton,7174.0,0.0,Contra Costa,6604.82582083,Office,,1968.0,0.75,13882NANANANA,,True,True,OF,94517,356.0
450974,-121.935127472,37.940887761,MH,32.67,5340.0,Clayton,5340.0,0.0,Contra Costa,18719.7331319,Retail,,1967.0,0.75,13882NANANANA,,True,True,RS,94517,356.0
452653,-121.924967169,37.9398514106,MH,,0.0,Clayton,0.0,0.0,Contra Costa,476149.490973,Vacant,,,,13882NANANANA,,False,False,,94517,356.0
454783,-121.947516015,37.9420896608,MH,3.0,1986.0,Clayton,0.0,1.0,Contra Costa,104308.415584,Residential,,1962.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
461218,-121.948706086,37.9453481006,MH,3.0,3152.0,Clayton,0.0,2.0,Contra Costa,12034.9468039,Residential,,1961.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
469209,-121.947931823,37.9482311923,MH,3.0,5090.0,Clayton,0.0,2.0,Contra Costa,13436.791874,Residential,,1979.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
476998,-121.9488946,37.9507884968,MH,1.0,2670.0,Clayton,0.0,1.0,Contra Costa,55080.2531462,Residential,,1963.0,2.33333333333,13882NANANANA,,False,True,HS,94517,356.0
