parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1983239,-123.025249434,38.7899382807,VH,8.0,0.0,Cloverdale,0.0,0.0,Sonoma,311381.87346,Vacant,,,0.4,14190NANANANA,,False,True,,95425,307.0
1983501,-123.019890288,38.8164696619,VH,4.0,0.0,Cloverdale,0.0,0.0,Sonoma,76906.3329059,Vacant,,,0.4,14190NANANANA,,False,True,,95425,307.0
1984851,-123.018821355,38.7927494445,VH,10.0,0.0,Cloverdale,0.0,0.0,Sonoma,2080.97271582,Office,,1966.0,0.4,14190NANANANA,,False,True,OF,95425,307.0
1983592,-123.026203042,38.8079679381,VH,6.0,3252.0,Cloverdale,0.0,2.0,Sonoma,9510.72152582,Residential,,1956.0,0.4,14190NANANANA,,False,True,HS,95425,307.0
1983934,-123.011071584,38.7854029388,VH,0.2,0.0,Cloverdale,0.0,0.0,Sonoma,67672.2634576,Vacant,,,2.33333333333,14190NANANANA,,False,True,,95425,307.0
1866177,-123.022553354,38.8081755874,VH,8.0,3528.0,Cloverdale,0.0,2.0,Sonoma,5620.52788612,Residential,,1967.0,0.4,14190NANANANA,,False,True,HS,95425,307.0
1866593,-123.018678481,38.804267648,VH,16.0,0.0,Cloverdale,0.0,0.0,Sonoma,6664.83062505,Vacant,,,0.4,14190NANANANA,,False,True,,95425,307.0
1866837,-123.016651509,38.8095884095,VH,4.0,0.0,Cloverdale,0.0,0.0,Sonoma,4239.60202957,Vacant,,,0.4,14190NANANANA,,False,True,,95425,307.0
1867257,-123.017957623,38.7949516385,VH,10.0,0.0,Cloverdale,0.0,0.0,Sonoma,4925.03937876,Vacant,clo1,,0.4,14190CLO1NANANA,,False,True,,95425,307.0
1866928,-123.014295269,38.8055832167,VH,8.0,4656.0,Cloverdale,0.0,5.0,Sonoma,6266.35920384,Residential,clo1,1976.0,0.4,14190CLO1NANANA,,False,True,HM,95425,307.0
1983569,-123.025108653,38.8095022139,VH,6.0,3092.0,Cloverdale,0.0,2.0,Sonoma,10520.6919776,Residential,,1975.0,0.4,14190NANANANA,,False,True,HS,95425,307.0
1866670,-123.020037959,38.8049461065,VH,8.0,1904.0,Cloverdale,0.0,2.0,Sonoma,6513.03710874,Residential,,1983.0,0.4,14190NANANANA,,False,True,HM,95425,307.0
1867192,-123.018129495,38.7974151,VH,10.0,16552.0020314,Cloverdale,0.0,10.0,Sonoma,44251.3776737,Residential,clo1,1976.0,0.4,14190CLO1NANANA,,False,True,HM,95425,307.0
1866555,-123.013338052,38.8051157247,VH,8.0,2600.0,Cloverdale,0.0,2.0,Sonoma,4861.48205546,Residential,clo1,1949.0,0.4,14190CLO1NANANA,,False,True,HS,95425,307.0
1866562,-123.012399092,38.8054724004,VH,,0.0,Cloverdale,0.0,0.0,Sonoma,10766.0457744,Vacant,clo1,,,14190CLO1NANANA,,False,False,,95425,307.0
1867277,-123.01648513,38.811564887,VH,4.0,5562.0,Cloverdale,0.0,3.0,Sonoma,20964.2443788,Residential,,1972.0,0.4,14190NANANANA,,False,True,HS,95425,307.0
1866453,-123.017875739,38.7980914096,VH,43.56,3381.0,Cloverdale,3381.0,0.0,Sonoma,19308.4181338,Office,clo1,1954.0,1.0,14190CLO1NANANA,,True,False,OF,95425,307.0
1866581,-123.017406608,38.8048438546,VH,116.16,0.0,Cloverdale,0.0,0.0,Sonoma,2739.92689307,Vacant,clo1,,2.66666666667,14190CLO1NANANA,,True,False,,95425,307.0
1866243,-123.02482239,38.80590798,VH,8.0,0.0,Cloverdale,0.0,0.0,Sonoma,11206.5056811,Vacant,,,0.4,14190NANANANA,,False,True,,95425,307.0
1866582,-123.017213513,38.8049239515,VH,116.16,1884.0,Cloverdale,1884.0,0.0,Sonoma,8307.9436537,Retail,clo1,1974.0,2.66666666667,14190CLO1NANANA,,True,False,RS,95425,307.0
1866801,-123.018618561,38.8063866132,VH,20.0,4800.0,Cloverdale,4800.0,0.0,Sonoma,17199.2796123,Retail,clo1,1966.0,2.66666666667,14190CLO1NANANA,,True,True,RS,95425,307.0
1867292,-123.017248611,38.8110841145,VH,4.0,0.0,Cloverdale,0.0,0.0,Sonoma,445.56714361,Vacant,,,0.4,14190NANANANA,,False,True,,95425,307.0
1867206,-123.019681998,38.7965180986,VH,43.56,240.0,Cloverdale,0.0,1.0,Sonoma,50586.8161107,Residential,clo1,1953.0,1.0,14190CLO1NANANA,,True,False,HS,95425,307.0
