parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1059387,-122.461805116,37.6848896947,S,30.0,3890.74019347,Colma,0.0,2.0,San Mateo,3150.26508852,Residential,ccg1_b,1979.0,,14736CCG1_bbart2NANA,bart2,False,True,HS,94014,623.0
1059456,-122.462267886,37.6834657077,S,30.0,0.0,Colma,0.0,0.0,San Mateo,578.571773591,Vacant,ccg1_b,,,14736CCG1_bbart2NANA,bart2,False,True,,94014,623.0
1068137,-122.452078291,37.671052234,S,65.34,5760.0,Colma,5760.0,0.0,San Mateo,5550.61207178,Industrial,ccg1_b,1973.0,1.5,14736CCG1_bb2NANA,b2,True,False,IW,94080,607.0
1055107,-122.461237581,37.6830289112,S,30.0,3890.74019347,Colma,0.0,2.0,San Mateo,2540.59801655,Residential,ccg1_b,1979.0,,14736CCG1_bbart2NANA,bart2,False,True,HS,94014,623.0
1068363,-122.448638056,37.6681002196,S,65.34,3560.0,Colma,3560.0,0.0,San Mateo,11940.9702735,Retail,ccg1_b,1935.0,1.5,14736CCG1_bbart2NANA,bart2,True,False,RS,94080,607.0
1059443,-122.463197959,37.6837384804,S,65.34,0.0,Colma,0.0,0.0,San Mateo,10647.1789998,Office,ccg1_b,1973.0,1.5,14736CCG1_bbart2NANA,bart2,True,False,OF,94014,623.0
1072238,-122.457573265,37.6796946497,S,,0.0,Colma,0.0,0.0,San Mateo,82064.1252728,Vacant,ccg1_b,,,14736CCG1_bb1NANA,b1,False,False,,94014,623.0
1055173,-122.457552499,37.6827700297,S,30.0,9600.0,Colma,0.0,8.0,San Mateo,3604.40260984,Residential,,1945.0,,14736NAbart2NANA,bart2,False,True,HM,94014,623.0
1055394,-122.461165799,37.6848924011,S,30.0,5836.11029021,Colma,0.0,3.0,San Mateo,3057.23574228,Residential,ccg1_b,1979.0,,14736CCG1_bbart2NANA,bart2,False,True,HS,94014,623.0
1059488,-122.462285487,37.6827469913,S,30.0,27235.1813543,Colma,0.0,14.0,San Mateo,4972.90702506,Residential,ccg1_b,1953.0,3.0,14736CCG1_bbart2NANA,bart2,False,True,HM,94014,623.0
1062196,-122.457985866,37.6742494201,S,65.34,19580.0,Colma,19580.0,0.0,San Mateo,122874.78671,Retail,ccg1_b,1973.0,1.5,14736CCG1_bb2NANA,b2,True,False,RS,94014,623.0
1055136,-122.459951984,37.6844594139,S,30.0,4360.0,Colma,0.0,4.0,San Mateo,3100.23423952,Residential,ccg1_b,1955.0,,14736CCG1_bbart2NANA,bart2,False,True,HS,94014,623.0
1055121,-122.461117024,37.6844491399,S,30.0,2720.0,Colma,0.0,2.0,San Mateo,5215.70696935,Residential,ccg1_b,1953.0,,14736CCG1_bbart2NANA,bart2,False,True,HS,94014,623.0
1059486,-122.461444637,37.6830284309,S,30.0,19453.7009674,Colma,0.0,10.0,San Mateo,3399.02212212,Residential,ccg1_b,1979.0,3.0,14736CCG1_bbart2NANA,bart2,False,True,HM,94014,623.0
1059440,-122.464296102,37.6839067372,S,65.34,0.0,Colma,0.0,0.0,San Mateo,7504.0242813,Vacant,ccg1_b,,1.5,14736CCG1_bbart2NANA,bart2,True,False,,94014,623.0
1070504,-122.46140697,37.6718582941,S,65.34,0.0,Colma,0.0,0.0,San Mateo,3189.59775222,Vacant,,,1.5,14736NAb1NANA,b1,True,False,,94014,623.0
1059391,-122.462326933,37.6848874835,S,30.0,0.0,Colma,0.0,0.0,San Mateo,4423.61757367,Vacant,ccg1_b,,,14736CCG1_bbart2NANA,bart2,False,True,,94014,623.0
1059390,-122.462193889,37.6848880462,S,30.0,3890.74019347,Colma,0.0,2.0,San Mateo,3146.8893293,Residential,ccg1_b,1979.0,,14736CCG1_bbart2NANA,bart2,False,True,HS,94014,623.0
1055444,-122.460594098,37.6856152364,S,30.0,5836.11029021,Colma,0.0,3.0,San Mateo,3331.4539267,Residential,,1962.0,,14736NAbart2NANA,bart2,False,True,HS,94014,623.0
1055150,-122.458992745,37.6841844033,S,30.0,3890.74019347,Colma,0.0,2.0,San Mateo,3215.29864989,Residential,,1979.0,,14736NAbart2NANA,bart2,False,True,HS,94014,623.0
