parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
493349,-122.034364184,37.9552219541,M,32.0,157122.0,Concord,0.0,129.0,Contra Costa,50347.7721765,Residential,,1987.0,,16000NAb3NANA,b3,False,True,HM,94518,351.0
524278,-122.004585981,37.9681435764,M,32.0,0.0,Concord,0.0,0.0,Contra Costa,2355.37064932,Vacant,,,,16000NANANANA,,False,True,,94521,330.0
527872,-122.004473859,37.9692728508,M,32.0,137016.0,Concord,0.0,132.0,Contra Costa,43382.3170141,Residential,,1985.0,,16000NANANANA,,False,True,HM,94521,330.0
541091,-122.025176161,37.9747058868,M,32.0,0.0,Concord,0.0,0.0,Contra Costa,3261.72641456,Vacant,,,,16000NAbart3NANA,bart3,False,True,,94519,347.0
452240,-122.050967483,37.939793106,M,32.0,52668.0,Concord,0.0,38.0,Contra Costa,43163.1372856,Residential,,1966.0,,16000NANANANA,,False,True,HM,94518,351.0
541388,-122.024986627,37.9748467012,M,32.0,0.0,Concord,0.0,0.0,Contra Costa,3122.34538594,Vacant,,,,16000NAbart3NANA,bart3,False,True,,94519,347.0
501269,-121.979885334,37.9589693745,M,32.0,0.0,Concord,0.0,0.0,Contra Costa,97229.3444094,Vacant,,,,16000NANANANA,,False,True,,94521,330.0
580792,-122.004424948,37.9893823648,M,,0.0,Concord,0.0,0.0,Contra Costa,601.83582615,Vacant,,,,16000NANANANA,,False,False,,94519,347.0
453221,-122.024136326,37.9400115597,M,32.0,0.0,Concord,0.0,0.0,Contra Costa,210487.455962,Vacant,,,,16000NANANANA,,False,True,,94518,351.0
517982,-122.02827704,37.9650453965,M,32.0,0.0,Concord,0.0,0.0,Contra Costa,348.8178747,Vacant,,,,16000NANANANA,,False,True,,94518,351.0
518270,-122.027932797,37.9650216391,M,32.0,0.0,Concord,0.0,0.0,Contra Costa,5262.05865023,Vacant,,,,16000NANANANA,,False,True,,94518,351.0
552115,-122.024779364,37.9787384828,M,32.0,0.0,Concord,0.0,0.0,Contra Costa,6989.80275818,Vacant,con2,,,16000CON2bart3NANA,bart3,False,True,,94519,347.0
528222,-122.004477774,37.9692524369,M,32.0,0.0,Concord,0.0,0.0,Contra Costa,98493.6404707,Vacant,,,,16000NANANANA,,False,True,,94521,330.0
521683,-122.027310941,37.9666705304,M,32.0,0.0,Concord,0.0,0.0,Contra Costa,49852.8672716,Vacant,,,,16000NAbart3NANA,bart3,False,True,,94518,351.0
584784,-122.00495062,37.9904459065,M,32.0,0.0,Concord,0.0,0.0,Contra Costa,10184.8990814,Vacant,,,,16000NANANANA,,False,True,,94519,347.0
491444,-121.959659091,37.9551723232,M,32.0,0.0,Concord,0.0,0.0,Contra Costa,270901.410727,Vacant,,,,16000NANANANA,,False,True,,94521,330.0
463570,-121.986418099,37.9450385916,MH,10.0,0.0,Concord,0.0,0.0,Contra Costa,61951.1638126,Parking,,1981.0,,16000NANANANA,,False,True,PA2,94521,330.0
583895,-122.004380167,37.9900612603,M,32.0,0.0,Concord,0.0,0.0,Contra Costa,35853.7687156,Vacant,,,,16000NANANANA,,False,True,,94519,347.0
511735,-122.01769185,37.9625591977,M,10.0,2615.0,Concord,0.0,1.0,Contra Costa,54428.9353644,Residential,,1957.0,,16000NANANANA,,False,True,HS,94518,351.0
573680,-122.009946903,37.9868808342,M,32.0,0.0,Concord,0.0,0.0,Contra Costa,1166.80619652,Vacant,,,,16000NANANANA,,False,True,,94519,347.0
579967,-122.042406083,37.9885671791,S,10.0,13248.0,Concord,0.0,18.0,Contra Costa,7050.18479866,Residential,,1960.0,,16000NANANANA,,False,True,HM,94520,321.0
579990,-122.044621568,37.9885916384,S,10.0,2178.0,Concord,0.0,2.0,Contra Costa,6420.38437827,Residential,,1960.0,,16000NANANANA,,False,True,HS,94520,321.0
598129,-122.044180961,37.9952633793,S,10.0,2198.0,Concord,0.0,2.0,Contra Costa,10842.4043232,Residential,,1963.0,,16000NANANANA,,False,True,HS,94520,321.0
473954,-121.994391814,37.9495992083,MH,10.0,0.0,Concord,0.0,0.0,Contra Costa,2311.36765107,Vacant,,,,16000NANANANA,,False,True,,94521,330.0
455347,-122.023200936,37.9419874315,M,10.0,2658.0,Concord,0.0,2.0,Contra Costa,8733.82791037,Residential,,1964.0,,16000NANANANA,,False,True,HS,94518,351.0
486576,-122.032753687,37.9534396818,M,34.848,11232.0,Concord,11232.0,0.0,Contra Costa,25553.4818852,Industrial,,1967.0,0.8,16000NAb3NANA,b3,False,False,IL,94518,351.0
499183,-122.039998132,37.9581215513,S,34.848,2000.0,Concord,2000.0,0.0,Contra Costa,9367.45352609,Retail,,1950.0,0.8,16000NAb3NANA,b3,False,False,RS,94520,321.0
522642,-122.001955403,37.9673879634,M,32.0,3600.0,Concord,0.0,4.0,Contra Costa,7623.19004319,Residential,,1979.0,,16000NANANANA,,False,True,HS,94521,330.0
553856,-122.031771532,37.9791276943,S,100.0,0.0,Concord,0.0,0.0,Contra Costa,12621.1220491,Vacant,con2,,4.0,16000CON2bart3NANA,bart3,True,True,,94520,321.0
533220,-122.01064848,37.9714368162,M,10.0,2600.0,Concord,2600.0,0.0,Contra Costa,10286.0286828,Office,,1984.0,,16000NANANANA,,False,True,OF,94519,347.0
537611,-122.03605768,37.9729229699,S,100.0,2242.0,Concord,0.0,2.0,Contra Costa,6761.19115317,Residential,con2,1966.0,6.0,16000CON2bart3NANA,bart3,True,True,HS,94520,321.0
541484,-122.01935403,37.9748720788,M,10.0,3218.0,Concord,0.0,2.0,Contra Costa,8813.97895476,Residential,,1975.0,,16000NANANANA,,False,True,HS,94519,347.0
543574,-122.016094322,37.9753765288,M,10.0,1663.0,Concord,0.0,1.0,Contra Costa,103312.718277,Residential,,1939.0,,16000NANANANA,,False,True,HS,94519,347.0
