parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
765193,-122.527533472,37.9257973064,S,15.246,6000.0,Corte Madera,6000.0,0.0,Marin,16006.3176754,Office,,1960.0,0.35,16462NAb3NANA,b3,False,False,OF,94925,719.0
767563,-122.489213878,37.9205930779,M,15.246,0.0,Corte Madera,0.0,0.0,Marin,59922.8673682,Office,,1968.0,0.35,16462NANANANA,,False,False,OF,94925,719.0
765642,-122.521027883,37.9384738976,M,,4058.84850085,Corte Madera,0.0,2.0,Marin,18365.3183697,Residential,,1963.0,,16462NAb2NANA,b2,False,False,HM,94925,719.0
765643,-122.531967703,37.9274770015,S,6.0,2868.0,Corte Madera,0.0,2.0,Marin,6110.65303128,Residential,,1948.0,2.0,16462NAb3NANA,b3,False,True,HM,94925,719.0
765357,-122.525758759,37.9319843243,S,6.0,1583.0,Corte Madera,0.0,1.0,Marin,46012.6253401,Residential,,1964.0,2.0,16462NAb3NANA,b3,False,True,HS,94925,719.0
766759,-122.510993522,37.9215709335,M,14.8104,0.0,Corte Madera,0.0,0.0,Marin,16834.8129686,Vacant,,,0.34,16462NAb3NANA,b3,True,True,,94925,719.0
764728,-122.519322945,37.9352551769,S,14.8104,19132.0,Corte Madera,19132.0,0.0,Marin,58501.073024,Office,,1981.0,0.34,16462NAb2NANA,b2,True,True,OF,94925,719.0
764731,-122.518205732,37.9376644395,S,14.8104,0.0,Corte Madera,0.0,0.0,Marin,4491.23206671,Vacant,,,0.34,16462NAb2NANA,b2,True,True,,94925,719.0
764734,-122.517997899,37.9370898404,S,15.246,30628.0,Corte Madera,30628.0,0.0,Marin,135589.800302,Office,,1960.0,0.35,16462NAb2NANA,b2,False,False,OF,94925,719.0
765294,-122.516316935,37.9295376296,S,14.8104,0.0,Corte Madera,0.0,0.0,Marin,24686.575376,Vacant,,,0.34,16462NAb3NANA,b3,True,False,,94925,719.0
765856,-122.528523556,37.9246156471,S,101.64,0.0,Corte Madera,0.0,0.0,Marin,42468.7480209,Vacant,,,2.33333333333,16462NAb3NANA,b3,False,False,,94925,719.0
766016,-122.519933854,37.9243484602,S,15.246,0.0,Corte Madera,0.0,0.0,Marin,40050.4190522,Office,,1957.0,0.35,16462NAb3NANA,b3,False,False,OF,94925,719.0
766688,-122.51200009,37.918006737,S,11.0,14205.969753,Corte Madera,0.0,7.0,Marin,36911.5095684,Residential,,1955.0,2.0,16462NANANANA,,False,True,HM,94925,719.0
766689,-122.512547489,37.9188494768,S,11.0,107559.485273,Corte Madera,0.0,53.0,Marin,300115.767258,Residential,,1955.0,2.0,16462NANANANA,,False,True,HM,94925,719.0
774884,-122.507885424,37.9137179854,M,,8117.6970017,Corte Madera,0.0,4.0,Marin,16065.0904515,Residential,,1971.0,,16462NANANANA,,False,False,HM,94925,719.0
