parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
2012232,-122.69798859,38.329878668,MH,10.89,0.0,Cotati,0.0,0.0,Sonoma,40701.6464274,Vacant,,,0.25,16560NAcr4NANA,cr4,True,True,,94931,325.0
2010985,-122.707678211,38.3233810961,M,6.0,3188.0,Cotati,0.0,2.0,Sonoma,18444.9751052,Residential,,1972.0,0.5,16560NANANANA,,True,True,HS,94931,325.0
2012086,-122.707588698,38.331382615,M,10.0,2166.0,Cotati,0.0,2.0,Sonoma,4156.7064421,Residential,,1991.0,0.5,16560NANANANA,,True,True,HS,94931,325.0
2010689,-122.705421523,38.3280298234,M,15.0,3310.40040629,Cotati,0.0,2.0,Sonoma,6642.11388776,Residential,cot1,1976.0,0.75,16560COT1NANANA,,False,True,HM,94931,325.0
2010375,-122.715793197,38.3264885135,M,6.0,2510.0,Cotati,0.0,2.0,Sonoma,8653.86192707,Residential,,1956.0,0.5,16560NANANANA,,True,True,HS,94931,325.0
2010429,-122.712133541,38.3297271254,M,15.0,0.0,Cotati,0.0,0.0,Sonoma,638.716199571,Vacant,,,1.0,16560NANANANA,,True,True,,94931,325.0
1930273,-122.718746015,38.3375415521,M,15.0,0.0,Cotati,0.0,0.0,Sonoma,44073.1817927,Vacant,,,1.0,16560NANANANA,,True,True,,94931,325.0
1931315,-122.694145678,38.3233835194,MH,6.0,0.0,Cotati,0.0,0.0,Sonoma,5980.70371603,Vacant,,,0.5,16560NANANANA,,True,True,,94931,325.0
1930274,-122.718049925,38.3371341497,M,15.0,0.0,Cotati,0.0,0.0,Sonoma,43677.0783535,Office,,1983.0,1.0,16560NANANANA,,True,True,OF,94931,325.0
2010379,-122.714718316,38.3266805647,M,6.0,3830.0,Cotati,0.0,2.0,Sonoma,21481.0130799,Residential,,1988.0,0.5,16560NANANANA,,True,True,HS,94931,325.0
2010552,-122.715437493,38.3252260461,M,1.0,5050.0,Cotati,0.0,2.0,Sonoma,85232.0327474,Residential,,1979.0,2.33333333333,16560NANANANA,,False,True,HS,94931,325.0
2010556,-122.716953145,38.325294945,M,1.0,2963.0,Cotati,0.0,1.0,Sonoma,65349.3588542,Residential,,1979.0,2.33333333333,16560NANANANA,,False,True,HS,94931,325.0
2010557,-122.717183924,38.3246940679,M,1.0,2555.0,Cotati,0.0,1.0,Sonoma,132217.715669,Residential,,1979.0,2.33333333333,16560NANANANA,,False,True,HS,94931,325.0
2010734,-122.699305168,38.3276984035,MH,10.0,0.0,Cotati,0.0,0.0,Sonoma,3034.33669559,Vacant,,,0.5,16560NANANANA,,True,True,,94931,325.0
