parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
2053348,-122.046866314,37.2992903315,M,,50887.0,Cupertino,50887.0,0.0,Santa Clara,2407069.22944,Residential,,1988.0,,17610NANANANA,,False,False,HS,95014,944.0
1452005,-122.043229257,37.3337291337,S,4.356,3966.0,Cupertino,0.0,2.0,Santa Clara,11131.0157774,Residential,,1955.0,0.45,17610NANANANA,,False,True,HS,95014,944.0
1453544,-122.045988793,37.330174288,S,5.808,0.0,Cupertino,0.0,0.0,Santa Clara,1707.31086459,Vacant,,,0.45,17610NAbrt2NANA,brt2,False,True,,95014,944.0
1462445,-122.043104541,37.3143163058,S,5.808,1265.0,Cupertino,0.0,2.0,Santa Clara,894.747971531,Residential,,1973.0,2.0,17610NAb3NANA,b3,False,True,HM,95014,944.0
1451597,-122.033963469,37.3378071092,M,15.02068966,3196.0,Cupertino,0.0,4.0,Santa Clara,2547.97958509,Residential,vta1_b,1980.0,2.0,17610VTA1_bNANANA,,False,True,HM,95014,944.0
1581447,-122.059836087,37.2789862278,M,0.202604651,0.0,Cupertino,0.0,0.0,Santa Clara,51812.7834122,Vacant,,,0.45,17610NANANANA,,False,True,,95070,938.0
1467245,-122.021185829,37.318150082,S,4.356,2784.0,Cupertino,0.0,2.0,Santa Clara,6320.71664135,Residential,,1967.0,0.45,17610NAb2NANA,b2,False,True,HS,95014,944.0
1467065,-122.015703061,37.3220341905,S,,62351.0,Cupertino,62351.0,0.0,Santa Clara,53938.4226452,Retail,vta1_b,1960.0,,17610VTA1_blrt2NANA,lrt2,False,False,RS,95014,944.0
1473512,-122.002580737,37.3135728502,M,8.712,0.0,Cupertino,0.0,0.0,Santa Clara,5347.1974427,Parking,,1953.0,0.45,17610NANANANA,,False,True,PA2,95014,944.0
1452912,-122.038360638,37.3273512068,S,4.356,4914.0,Cupertino,0.0,2.0,Santa Clara,10297.4657386,Residential,,1956.0,0.45,17610NAlrt2NANA,lrt2,False,True,HS,95014,944.0
1452927,-122.038358022,37.3277596027,S,4.356,3068.0,Cupertino,0.0,2.0,Santa Clara,9419.86808495,Residential,,1956.0,0.45,17610NAlrt2NANA,lrt2,False,True,HS,95014,944.0
1453128,-122.035079255,37.3272639597,S,34.848,52438.0,Cupertino,52438.0,0.0,Santa Clara,168469.250805,Office,,1979.0,0.8,17610NAlrt2NANA,lrt2,True,False,OF,95014,944.0
1466412,-122.063735733,37.2986095089,M,0.242,3505.0,Cupertino,0.0,1.0,Santa Clara,189945.675812,Residential,,1964.0,2.0,17610NANANANA,,False,True,HS,95014,944.0
1466414,-122.064569699,37.2995955879,M,0.256235294,4035.0,Cupertino,0.0,1.0,Santa Clara,105684.967876,Residential,,1987.0,2.0,17610NANANANA,,False,True,HS,95014,944.0
1468514,-122.030320521,37.317186219,S,,9856.0,Cupertino,9856.0,0.0,Santa Clara,42622.4206289,Office,,1974.0,,17610NAlrt2NANA,lrt2,False,False,OF,95014,944.0
1462310,-122.045583227,37.3153325335,S,15.02068966,1054.0,Cupertino,0.0,2.0,Santa Clara,799.570198936,Residential,,1973.0,2.0,17610NAb3NANA,b3,False,True,HM,95014,944.0
1446009,-122.02461092,37.3360267734,S,15.02068966,1142.0,Cupertino,0.0,2.0,Santa Clara,1371.56399322,Residential,,1976.0,2.0,17610NANANANA,,False,True,HM,95014,944.0
1451665,-122.033152205,37.338847285,M,15.02068966,2770.0,Cupertino,0.0,4.0,Santa Clara,1703.89350461,Residential,vta1_b,1980.0,2.0,17610VTA1_bNANANA,,False,True,HM,95014,944.0
1461587,-122.063129563,37.3183748663,M,8.712,7430.0,Cupertino,0.0,2.0,Santa Clara,42656.3354941,Residential,,1992.0,0.45,17610NANANANA,,False,True,HS,95014,944.0
1462222,-122.052054665,37.3192598465,M,52.272,40811.0,Cupertino,40811.0,0.0,Santa Clara,203527.31672,Industrial,,1972.0,1.2,17610NAlrt2NANA,lrt2,True,False,IL,95014,944.0
1465036,-122.035081649,37.3028953056,M,14.0516129,2711.0,Cupertino,0.0,2.0,Santa Clara,7549.08296245,Residential,,1981.0,2.0,17610NANANANA,,False,True,HM,95014,944.0
1465035,-122.034786361,37.3009146375,M,14.0516129,13288.0,Cupertino,0.0,2.0,Santa Clara,23741.8661507,Residential,,1977.0,2.0,17610NANANANA,,False,True,HM,95014,944.0
1446287,-122.027225343,37.3348943807,S,15.02068966,1060.0,Cupertino,0.0,2.0,Santa Clara,1300.54470442,Residential,,1976.0,2.0,17610NANANANA,,False,True,HM,95014,944.0
1468597,-122.020607829,37.3215278,S,,1191.0,Cupertino,0.0,2.0,Santa Clara,767.330370503,Residential,vta1_b,1991.0,,17610VTA1_blrt2NANA,lrt2,False,False,HM,95014,944.0
1445629,-122.021074982,37.3320860493,S,,1621.0,Cupertino,0.0,2.0,Santa Clara,3305.99916506,Residential,,1975.0,,17610NAb3NANA,b3,False,False,HM,95014,944.0
1445616,-122.021539062,37.3316857292,S,,1621.0,Cupertino,0.0,2.0,Santa Clara,4038.79982766,Residential,,1975.0,,17610NAb3NANA,b3,False,False,HM,95014,944.0
1446037,-122.024046945,37.3354785401,S,15.02068966,1062.0,Cupertino,0.0,2.0,Santa Clara,1691.65620604,Residential,,1976.0,2.0,17610NANANANA,,False,True,HM,95014,944.0
1446038,-122.024191513,37.3351688882,S,15.02068966,1142.0,Cupertino,0.0,2.0,Santa Clara,1410.28588256,Residential,,1976.0,2.0,17610NANANANA,,False,True,HM,95014,944.0
1472209,-122.011001423,37.3220024396,M,,6763.5,Cupertino,0.0,9.0,Santa Clara,535.398658585,Residential,vta1_b,1987.0,,17610VTA1_blrt2NANA,lrt2,False,False,HM,95014,944.0
1458796,-122.076573402,37.3205432875,M,,1857.0,Cupertino,0.0,2.0,Santa Clara,1698.76369894,Residential,,1978.0,,17610NANANANA,,False,False,HM,95014,944.0
1446067,-122.025395974,37.3373801522,S,15.02068966,1060.0,Cupertino,0.0,2.0,Santa Clara,1316.52825197,Residential,,1976.0,2.0,17610NANANANA,,False,True,HM,95014,944.0
1468617,-122.020257917,37.3216640809,S,,1166.0,Cupertino,0.0,2.0,Santa Clara,757.771103548,Residential,vta1_b,1991.0,,17610VTA1_blrt2NANA,lrt2,False,False,HM,95014,944.0
1446193,-122.02897158,37.3365250734,S,15.02068966,1060.0,Cupertino,0.0,2.0,Santa Clara,1416.34345548,Residential,,1976.0,2.0,17610NANANANA,,False,True,HM,95014,944.0
1446096,-122.024627132,37.336967773,S,15.02068966,1060.0,Cupertino,0.0,2.0,Santa Clara,1371.14139899,Residential,,1976.0,2.0,17610NANANANA,,False,True,HS,95014,944.0
1446306,-122.028374163,37.3356382631,S,15.02068966,1060.0,Cupertino,0.0,2.0,Santa Clara,1352.3150858,Residential,,1976.0,2.0,17610NANANANA,,False,True,HS,95014,944.0
1454116,-122.051244441,37.3296976504,M,15.02068966,1216.0,Cupertino,0.0,2.0,Santa Clara,554.485979729,Residential,,1977.0,2.0,17610NANANANA,,False,True,HM,95014,944.0
1446111,-122.023535753,37.3369046119,S,15.02068966,1062.0,Cupertino,0.0,2.0,Santa Clara,1641.1091774,Residential,,1976.0,2.0,17610NANANANA,,False,True,HS,95014,944.0
1446166,-122.028527927,37.3369532078,S,15.02068966,1142.0,Cupertino,0.0,2.0,Santa Clara,1471.18616494,Residential,,1976.0,2.0,17610NANANANA,,False,True,HS,95014,944.0
1462437,-122.043234444,37.3147935633,S,5.808,1003.0,Cupertino,0.0,2.0,Santa Clara,680.209836319,Residential,,1973.0,2.0,17610NAb3NANA,b3,False,True,HM,95014,944.0
1453795,-122.052589299,37.3265028543,M,4.356,4852.0,Cupertino,0.0,2.0,Santa Clara,7393.76227134,Residential,,1975.0,0.45,17610NAbrt2NANA,brt2,False,True,HS,95014,944.0
1472218,-122.01137428,37.3221505752,M,,4788.0,Cupertino,0.0,6.0,Santa Clara,532.418382659,Residential,vta1_b,1987.0,,17610VTA1_blrt2NANA,lrt2,False,False,HM,95014,944.0
1462416,-122.042773814,37.3151534201,S,5.808,1003.0,Cupertino,0.0,2.0,Santa Clara,758.043698448,Residential,,1973.0,2.0,17610NAb3NANA,b3,False,True,HM,95014,944.0
2048985,-122.013934908,37.3268369969,M,34.848,0.0,Cupertino,0.0,0.0,Santa Clara,5148.95666888,Vacant,,,0.8,17610NAlrt2NANA,lrt2,True,False,,95014,944.0
1451610,-122.032639463,37.3388387892,M,15.02068966,1445.0,Cupertino,0.0,2.0,Santa Clara,1647.34455695,Residential,vta1_b,1980.0,2.0,17610VTA1_bNANANA,,False,True,HM,95014,944.0
1445989,-122.0247924,37.336286603,S,15.02068966,1060.0,Cupertino,0.0,2.0,Santa Clara,1328.69233388,Residential,,1976.0,2.0,17610NANANANA,,False,True,HS,95014,944.0
1468571,-122.030707058,37.3159667303,S,87.12,1640.0,Cupertino,0.0,2.0,Santa Clara,2349.68091665,Residential,,1988.0,2.0,17610NAlrt2NANA,lrt2,True,False,HM,95014,944.0
1445981,-122.025119303,37.3353544649,S,15.02068966,1142.0,Cupertino,0.0,2.0,Santa Clara,1370.18768574,Residential,,1976.0,2.0,17610NANANANA,,False,True,HM,95014,944.0
1446103,-122.023962739,37.3369770454,S,15.02068966,1060.0,Cupertino,0.0,2.0,Santa Clara,1307.19465131,Residential,,1976.0,2.0,17610NANANANA,,False,True,HM,95014,944.0
1454130,-122.051648944,37.3296813571,M,15.02068966,2340.0,Cupertino,0.0,3.0,Santa Clara,632.258017561,Residential,,1977.0,2.0,17610NANANANA,,False,True,HM,95014,944.0
