parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1044930,-122.484585033,37.7067258149,S,14.5,0.0,Daly City,0.0,0.0,San Mateo,132710.070286,Vacant,,,,17918NAb2NANA,b2,False,True,,94015,648.0
1237887,-122.480350686,37.6841639368,S,35.0,0.0,Daly City,0.0,0.0,San Mateo,127071.626996,Residential,,1974.0,,17918NAb2NANA,b2,False,True,HM,94015,648.0
1226090,-122.461067086,37.6563000143,M,20.0,0.0,Daly City,0.0,0.0,San Mateo,367954.642695,Residential,,1984.0,,17918NANANANA,,False,True,HM,94015,648.0
1220739,-122.44202797,37.7035959364,M,,0.0,Daly City,0.0,0.0,San Mateo,2587.69042918,Vacant,,,,17918NANANANA,,False,False,,94014,623.0
1047301,-122.461294578,37.6935998952,S,20.0,0.0,Daly City,0.0,0.0,San Mateo,299.746472531,Vacant,dal1,,,17918DAL1brt2NANA,brt2,False,True,,94014,623.0
1049890,-122.415315408,37.707303787,S,217.8,0.0,Daly City,0.0,0.0,San Mateo,2300.07054182,Vacant,dal2,,5.0,17918DAL2brt1NANA,brt1,True,False,,94014,623.0
1053376,-122.469306439,37.6927836869,S,14.5,0.0,Daly City,0.0,0.0,San Mateo,10111.0664555,Vacant,dal1,,,17918DAL1brt2NANA,brt2,False,True,,94014,623.0
1056103,-122.458751371,37.6888809865,S,,0.0,Daly City,0.0,0.0,San Mateo,2499.15514492,Vacant,,,,17918NAbart2NANA,bart2,False,False,,94014,623.0
1043608,-122.487720971,37.7000584783,S,14.5,5836.11029021,Daly City,0.0,3.0,San Mateo,3547.09200037,Residential,,1954.0,,17918NAb2NANA,b2,False,True,HS,94015,648.0
1046375,-122.468266362,37.6936094993,S,43.56,1834.0,Daly City,1834.0,0.0,San Mateo,2673.77454025,Residential,dal1,1953.0,1.0,17918DAL1brt2NANA,brt2,False,True,MR,94014,623.0
1047646,-122.460563235,37.7059043703,S,217.8,3047.0,Daly City,3047.0,0.0,San Mateo,1937.42739242,Residential,dal1,1952.0,5.0,17918DAL1bart1NANA,bart1,True,False,MR,94014,623.0
1050604,-122.415395402,37.7007234261,S,,2820.0,Daly City,0.0,3.0,San Mateo,2499.83318564,Residential,dal2,1924.0,,17918DAL2brt1NANA,brt1,False,False,HM,94014,623.0
1061173,-122.480472718,37.677572878,S,14.5,2860.0,Daly City,0.0,2.0,San Mateo,3300.00737986,Residential,,1961.0,,17918NAb2NANA,b2,False,True,HS,94015,648.0
1222088,-122.470545391,37.654890558,M,14.5,3890.74019347,Daly City,0.0,2.0,San Mateo,3456.96201755,Residential,,1971.0,,17918NAb3NANA,b3,False,True,HS,94015,648.0
1048093,-122.456863297,37.703156084,S,20.0,3890.74019347,Daly City,0.0,2.0,San Mateo,2639.64155766,Residential,dal1,1936.0,,17918DAL1b1NANA,b1,False,True,HS,94014,623.0
1049803,-122.427112152,37.7068156853,M,,0.0,Daly City,0.0,0.0,San Mateo,15957.1349722,Vacant,dal2,,,17918DAL2brt1NANA,brt1,False,False,,94014,623.0
1046709,-122.462654854,37.6959806695,S,20.0,2660.0,Daly City,0.0,2.0,San Mateo,2500.03573778,Residential,dal1,1945.0,,17918DAL1brt2NANA,brt2,False,True,HS,94014,623.0
1224033,-122.470119762,37.661506621,M,14.5,3890.74019347,Daly City,0.0,2.0,San Mateo,3288.44790209,Residential,,1971.0,,17918NAb2NANA,b2,False,True,HS,94015,648.0
1046895,-122.457799098,37.6943997942,S,20.0,3890.74019347,Daly City,0.0,2.0,San Mateo,2623.79125495,Residential,,1973.0,,17918NAbrt2NANA,brt2,False,True,HS,94014,623.0
1049534,-122.44551358,37.7054935957,S,,0.0,Daly City,0.0,0.0,San Mateo,366.857674191,Vacant,,,,17918NAb1NANA,b1,False,False,,94014,623.0
1049815,-122.425773563,37.704903966,M,217.8,0.0,Daly City,0.0,0.0,San Mateo,42503.7342086,Vacant,dal2,,5.0,17918DAL2brt1NANA,brt1,True,False,,94014,623.0
1050619,-122.411978971,37.6996599381,S,121.968,0.0,Daly City,0.0,0.0,San Mateo,30057.5232078,Vacant,dal2,,2.8,17918DAL2brt1NANA,brt1,True,False,,94005,596.0
1053331,-122.47318514,37.6913097339,S,152.46,0.0,Daly City,0.0,0.0,San Mateo,4790.65524163,Vacant,,,3.5,17918NAbrt2NANA,brt2,False,False,,94015,648.0
1055056,-122.468878009,37.6882272948,S,130.68,10560.0,Daly City,10560.0,0.0,San Mateo,9661.63048059,Industrial,dal1,1975.0,3.0,17918DAL1bart2NANA,bart2,False,False,IW,94014,623.0
1055573,-122.455594337,37.6918745452,S,,0.0,Daly City,0.0,0.0,San Mateo,201233.510241,Vacant,,,,17918NANANANA,,False,False,,94014,623.0
1063124,-122.477898943,37.6741089014,S,43.56,1401.0,Daly City,1401.0,0.0,San Mateo,34953.3639241,Office,,1983.0,1.0,17918NAb2NANA,b2,True,False,OF,94015,648.0
1044158,-122.480577062,37.6976506404,S,50.0,52524.9926119,Daly City,0.0,27.0,San Mateo,33484.2135129,Residential,,1952.0,,17918NAb2NANA,b2,False,True,HM,94015,648.0
1044235,-122.466868674,37.707116546,S,20.0,3660.0,Daly City,0.0,2.0,San Mateo,2811.51084562,Residential,dal1,1946.0,,17918DAL1bart1NANA,bart1,False,True,HS,94014,623.0
1044694,-122.467064627,37.6978815055,S,20.0,5836.11029021,Daly City,0.0,3.0,San Mateo,3000.02346484,Residential,dal1,1939.0,,17918DAL1brt2NANA,brt2,False,True,HM,94014,623.0
1045584,-122.462858639,37.7045718142,S,217.8,0.0,Daly City,0.0,0.0,San Mateo,2753.23147109,Residential,dal1,1952.0,5.0,17918DAL1bart1NANA,bart1,True,False,MR,94014,623.0
1045148,-122.463257725,37.7063701293,S,20.0,4240.0,Daly City,0.0,4.0,San Mateo,2053.71744223,Residential,dal1,1928.0,,17918DAL1bart1NANA,bart1,False,True,HS,94014,623.0
1045267,-122.464540285,37.7061472758,S,50.0,8800.0,Daly City,0.0,4.0,San Mateo,2500.28552841,Residential,dal1,1983.0,,17918DAL1bart1NANA,bart1,False,True,HM,94014,623.0
1045423,-122.465661474,37.7033939212,S,20.0,7120.0,Daly City,0.0,4.0,San Mateo,2500.30511266,Residential,dal1,1964.0,,17918DAL1bart1NANA,bart1,False,True,HM,94014,623.0
1045844,-122.46442149,37.699689338,S,217.8,3890.74019347,Daly City,0.0,2.0,San Mateo,2250.04695215,Residential,dal1,1939.0,5.0,17918DAL1brt2NANA,brt2,True,False,HM,94014,623.0
1046333,-122.467578162,37.6943406742,S,20.0,2700.0,Daly City,0.0,2.0,San Mateo,2700.02885317,Residential,dal1,1937.0,,17918DAL1brt2NANA,brt2,False,True,HS,94014,623.0
1047685,-122.460547681,37.7056107718,S,217.8,5166.0,Daly City,0.0,2.0,San Mateo,2515.66289272,Residential,dal1,1992.0,5.0,17918DAL1bart1NANA,bart1,True,False,HM,94014,623.0
1047814,-122.458366118,37.704797057,S,20.0,5836.11029021,Daly City,0.0,3.0,San Mateo,2501.84971416,Residential,dal1,1936.0,,17918DAL1b1NANA,b1,False,True,HS,94014,623.0
1047831,-122.45715126,37.7062736929,S,20.0,5836.11029021,Daly City,0.0,3.0,San Mateo,2500.03614473,Residential,dal1,1936.0,,17918DAL1lrt2NANA,lrt2,False,True,HS,94014,623.0
1047845,-122.456289616,37.7061571512,S,20.0,3940.0,Daly City,0.0,2.0,San Mateo,2467.66139691,Residential,dal1,1948.0,,17918DAL1lrt2NANA,lrt2,False,True,HS,94014,623.0
1048068,-122.455792657,37.7041056879,S,20.0,2020.0,Daly City,0.0,2.0,San Mateo,2516.30613387,Residential,dal1,1934.0,,17918DAL1b1NANA,b1,False,True,HS,94014,623.0
1048436,-122.455120069,37.7058909131,S,20.0,3840.0,Daly City,0.0,2.0,San Mateo,2500.06057297,Residential,dal1,1974.0,,17918DAL1b1NANA,b1,False,True,HS,94014,623.0
1048739,-122.45148108,37.7028848846,S,20.0,0.0,Daly City,0.0,0.0,San Mateo,2869.92658907,Vacant,,,,17918NAb1NANA,b1,False,True,,94014,623.0
1048786,-122.451792377,37.7032135589,S,20.0,3890.74019347,Daly City,0.0,2.0,San Mateo,3101.73675095,Residential,,1966.0,,17918NAb1NANA,b1,False,True,HS,94014,623.0
1050313,-122.415243015,37.7024388263,S,20.0,9726.85048369,Daly City,0.0,5.0,San Mateo,3750.1009215,Residential,dal2,1959.0,,17918DAL2brt1NANA,brt1,False,True,HM,94014,623.0
1050584,-122.414592503,37.7064211355,S,217.8,6238.0,Daly City,6238.0,0.0,San Mateo,22500.3831359,Retail,dal2,1954.0,5.0,17918DAL2brt1NANA,brt1,True,False,RS,94014,623.0
