parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
667327,-121.958431141,37.8074566293,MH,1.0,0.0,Danville,0.0,0.0,Contra Costa,220585.017157,Vacant,,,,17988NANANANA,,False,True,,94526,505.0
684361,-121.981943047,37.8375821879,MH,3.0,0.0,Danville,0.0,0.0,Contra Costa,756.159667713,Vacant,,,,17988NANANANA,,False,True,,94526,505.0
683903,-121.981962887,37.8364221221,MH,3.0,0.0,Danville,0.0,0.0,Contra Costa,16968.5928131,Vacant,,,,17988NANANANA,,False,True,,94526,505.0
614060,-121.924188266,37.7979087175,MH,,0.0,Danville,0.0,0.0,Contra Costa,42216.8697051,Vacant,,,,17988NANANANA,,False,False,,94506,440.0
683682,-121.983095346,37.8359172703,MH,3.0,0.0,Danville,0.0,0.0,Contra Costa,16310.5723849,Vacant,,,,17988NANANANA,,False,True,,94526,505.0
684348,-121.981526302,37.837444599,MH,3.0,0.0,Danville,0.0,0.0,Contra Costa,16647.5273737,Vacant,,,,17988NANANANA,,False,True,,94526,505.0
683830,-121.983354401,37.8362147595,MH,3.0,0.0,Danville,0.0,0.0,Contra Costa,17280.5749112,Vacant,,,,17988NANANANA,,False,True,,94526,505.0
665242,-121.959805441,37.8073327509,MH,1.0,0.0,Danville,0.0,0.0,Contra Costa,23117.435234,Vacant,,,,17988NANANANA,,False,True,,94526,505.0
683642,-121.980817293,37.8354791122,MH,3.0,0.0,Danville,0.0,0.0,Contra Costa,34721.3249393,Vacant,,,,17988NANANANA,,False,True,,94526,505.0
684124,-121.981626301,37.8369312975,MH,3.0,0.0,Danville,0.0,0.0,Contra Costa,21085.9556216,Vacant,,,,17988NANANANA,,False,True,,94526,505.0
665762,-121.952630701,37.8075350831,MH,3.0,0.0,Danville,0.0,0.0,Contra Costa,11582.6053971,Vacant,,,,17988NANANANA,,False,True,,94526,505.0
684029,-121.983137233,37.8367519694,MH,3.0,0.0,Danville,0.0,0.0,Contra Costa,18273.1586638,Vacant,,,,17988NANANANA,,False,True,,94526,505.0
684318,-121.981961206,37.8374907771,MH,3.0,0.0,Danville,0.0,0.0,Contra Costa,1128.08326281,Vacant,,,,17988NANANANA,,False,True,,94526,505.0
652396,-121.927465442,37.8047809659,MH,3.0,0.0,Danville,0.0,0.0,Contra Costa,17598.5820647,Parking,,1984.0,,17988NANANANA,,False,True,PA2,94506,440.0
573187,-121.903387354,37.7924069203,MH,1.0,0.0,Danville,0.0,0.0,Contra Costa,104115.138351,Vacant,,,,17988NANANANA,,False,True,,94506,440.0
575232,-121.903705841,37.7930583926,MH,3.0,0.0,Danville,0.0,0.0,Contra Costa,20126.6132849,Vacant,,,,17988NANANANA,,False,True,,94506,440.0
532969,-121.961853733,37.7841055109,MH,5.0,0.0,Danville,0.0,0.0,Contra Costa,3214.89154414,Vacant,,,,17988NAb2NANA,b2,False,True,,94526,505.0
684203,-121.982050848,37.8371937284,MH,3.0,0.0,Danville,0.0,0.0,Contra Costa,2118.26224412,Vacant,,,,17988NANANANA,,False,True,,94526,505.0
553853,-121.962350201,37.7885813599,MH,5.0,0.0,Danville,0.0,0.0,Contra Costa,2967.94449585,Vacant,,,,17988NAb2NANA,b2,False,True,,94526,505.0
565067,-121.896440394,37.7911283562,MH,1.0,3007.0,Danville,0.0,1.0,Contra Costa,54513.2510078,Residential,,1929.0,,17988NANANANA,,False,True,HS,94506,440.0
533136,-121.97553547,37.7841190336,MH,5.0,5182.0,Danville,0.0,2.0,Contra Costa,9778.38902616,Residential,,1992.0,,17988NAb2NANA,b2,False,True,HS,94526,505.0
533547,-121.977452761,37.7829311077,MH,15.246,0.0,Danville,0.0,0.0,Contra Costa,187973.965769,Vacant,,,0.35,17988NANANANA,,False,False,,94526,505.0
548965,-121.983897772,37.7869071028,M,0.2,0.0,Danville,0.0,0.0,Contra Costa,83283.8626637,Vacant,,,,17988NANANANA,,False,False,,94526,505.0
565123,-121.897097773,37.7911320439,MH,1.0,0.0,Danville,0.0,0.0,Contra Costa,54306.8992238,Residential,,1958.0,,17988NANANANA,,False,True,HS,94506,440.0
568099,-121.961879721,37.791184664,MH,5.0,0.0,Danville,0.0,0.0,Contra Costa,3066.28466119,Vacant,,,,17988NANANANA,,False,True,,94526,505.0
583065,-121.92076202,37.7938310923,MH,5.0,0.0,Danville,0.0,0.0,Contra Costa,17325.0287621,Vacant,,,,17988NANANANA,,False,True,,94506,440.0
586164,-121.899495128,37.7942069413,MH,3.0,0.0,Danville,0.0,0.0,Contra Costa,7620.26796288,Vacant,,,,17988NANANANA,,False,True,,94506,440.0
588418,-121.92951798,37.7932079132,MH,0.2,0.0,Danville,0.0,0.0,Contra Costa,369690.998599,Vacant,,,,17988NANANANA,,False,False,,94506,440.0
592351,-121.897684684,37.7949786299,MH,5.0,0.0,Danville,0.0,0.0,Contra Costa,55588.0739177,Vacant,,,,17988NANANANA,,False,True,,94506,440.0
670832,-121.991245222,37.8092230137,MH,15.246,756.0,Danville,756.0,0.0,Contra Costa,12230.4411624,Retail,dan1,1985.0,0.35,17988DAN1NANANA,,False,False,RS,94526,505.0
674135,-122.007314542,37.8157261058,MH,1.0,3534.0,Danville,0.0,1.0,Contra Costa,101123.467479,Residential,,1974.0,,17988NANANANA,,False,True,HS,94526,505.0
674442,-121.966721744,37.8171577838,MH,0.2,0.0,Danville,0.0,0.0,Contra Costa,14509.8494194,Vacant,,,,17988NANANANA,,False,False,,94526,505.0
