parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1802360,-121.817670583,38.4450292722,S,14.5,0.0,Dixon,0.0,0.0,Solano,708.642466038,Vacant,,,,19402NANANANA,,False,True,,95620,220.0
1797736,-121.824364887,38.4508985047,S,34.848,0.0,Dixon,0.0,0.0,Solano,11637.1089791,Vacant,,,0.8,19402NANANANA,,True,False,,95620,220.0
1798343,-121.831361612,38.4478319442,S,6.2,1762.0,Dixon,0.0,2.0,Solano,7014.0496318,Residential,,1958.0,,19402NANANANA,,False,True,HS,95620,220.0
1798968,-121.836965538,38.4461557088,M,52.272,0.0,Dixon,0.0,0.0,Solano,1186.48337294,Retail,,1991.0,1.2,19402NANANANA,,True,False,RS,95620,220.0
1801797,-121.822144399,38.446111579,S,130.68,5161.0,Dixon,5161.0,0.0,Solano,5562.84932083,Retail,dix1,1913.0,3.0,19402DIX1NANANA,,True,False,RS,95620,220.0
1796005,-121.823274564,38.4701664783,M,52.272,0.0,Dixon,0.0,0.0,Solano,34395.4486266,Vacant,,,1.2,19402NANANANA,,True,False,,95620,220.0
1802060,-121.82031857,38.4569418789,S,34.848,0.0,Dixon,0.0,0.0,Solano,94291.5121731,Vacant,,,0.8,19402NANANANA,,True,False,,95620,220.0
1797803,-121.827200634,38.4518563126,S,6.2,1898.0,Dixon,0.0,2.0,Solano,5814.18501683,Residential,,1960.0,,19402NANANANA,,False,True,HS,95620,220.0
1796636,-121.823580543,38.4620995598,M,69.696,0.0,Dixon,0.0,0.0,Solano,33990.9035276,Vacant,,,1.6,19402NANANANA,,False,False,,95620,220.0
1800909,-121.828384134,38.4410038112,S,69.696,4041.0,Dixon,4041.0,0.0,Solano,66570.3658535,Industrial,dix1,1977.0,1.6,19402DIX1NANANA,,False,False,IL,95620,220.0
1801147,-121.835208588,38.439360361,M,6.2,0.0,Dixon,0.0,0.0,Solano,430063.015447,Vacant,,,,19402NANANANA,,False,True,,95620,220.0
1802235,-121.822172343,38.4420733325,S,6.2,2916.0,Dixon,0.0,3.0,Solano,6988.21288888,Residential,,1917.0,,19402NANANANA,,False,True,HS,95620,220.0
1797266,-121.806099806,38.4681936206,S,69.696,0.0,Dixon,0.0,0.0,Solano,406613.623931,Industrial,,1969.0,1.6,19402NANANANA,,True,False,IL,95620,220.0
1801794,-121.822015113,38.4457303317,S,130.68,2509.0,Dixon,2509.0,0.0,Solano,4879.42918145,Retail,dix1,1969.0,3.0,19402DIX1NANANA,,True,False,RS,95620,220.0
1802107,-121.818407361,38.4507506646,S,6.2,0.0,Dixon,0.0,3.0,Solano,4108.92944947,Parking,,1990.0,,19402NANANANA,,False,True,PA2,95620,220.0
1797742,-121.822780665,38.4511107479,S,34.848,5081.00887264,Dixon,0.0,3.0,Solano,6531.66833714,Residential,,1984.0,0.8,19402NANANANA,,True,False,HM,95620,220.0
1799397,-121.837311396,38.4538037664,M,14.5,16936.6962421,Dixon,0.0,10.0,Solano,8717.67778561,Residential,,1991.0,,19402NANANANA,,False,True,HM,95620,220.0
1797752,-121.824968198,38.4509400117,S,34.848,0.0,Dixon,0.0,0.0,Solano,14024.0654694,Vacant,,,0.8,19402NANANANA,,True,False,,95620,220.0
1797201,-121.820535993,38.4762086527,MH,13.068,0.0,Dixon,0.0,0.0,Solano,72278.3561414,Retail,,1979.0,0.3,19402NANANANA,,True,False,RS,95620,220.0
1800942,-121.833591217,38.4446240586,M,6.2,0.0,Dixon,0.0,0.0,Solano,1600.80043927,Vacant,,,,19402NANANANA,,False,True,,95620,220.0
1800891,-121.827533608,38.4446180196,S,6.2,3238.0,Dixon,0.0,2.0,Solano,7321.63293757,Residential,,1962.0,,19402NANANANA,,False,True,HS,95620,220.0
1801800,-121.82152375,38.4457307663,S,130.68,7660.0,Dixon,7660.0,0.0,Solano,7453.80472303,Retail,dix1,1970.0,3.0,19402DIX1NANANA,,True,False,RS,95620,220.0
1801890,-121.814751891,38.4477435049,S,6.2,3892.0,Dixon,0.0,2.0,Solano,7851.81298584,Residential,,1937.0,,19402NANANANA,,False,True,HS,95620,220.0
1802043,-121.817425484,38.4595573509,S,69.696,21200.0,Dixon,21200.0,0.0,Solano,80499.1690778,Industrial,,1984.0,1.6,19402NANANANA,,False,False,IL,95620,220.0
1800639,-121.852635601,38.4430658933,M,34.848,0.0,Dixon,0.0,0.0,Solano,2548969.96989,Vacant,,,0.8,19402NANANANA,,True,False,,95620,220.0
1796545,-121.828697394,38.4686051538,M,69.696,0.0,Dixon,0.0,0.0,Solano,50867.3338008,Vacant,,,1.6,19402NANANANA,,False,False,,95620,220.0
1797814,-121.825154557,38.4513349263,S,34.848,1839.0,Dixon,0.0,3.0,Solano,28033.8966447,Residential,,1946.0,0.8,19402NANANANA,,True,False,HS,95620,220.0
1797865,-121.824465091,38.4548808993,M,34.848,10248.0,Dixon,0.0,3.0,Solano,9317.96596426,Residential,,1968.0,0.8,19402NANANANA,,True,False,HM,95620,220.0
1798097,-121.827674264,38.4526551765,S,6.2,2392.0,Dixon,0.0,2.0,Solano,8321.28575007,Residential,,1982.0,,19402NANANANA,,False,True,HS,95620,220.0
1798383,-121.831569001,38.4464651666,S,14.5,8468.34812106,Dixon,0.0,5.0,Solano,7685.37362621,Residential,,1984.0,,19402NANANANA,,False,True,HM,95620,220.0
1798568,-121.833065624,38.4527383136,M,6.2,2856.0,Dixon,0.0,2.0,Solano,8956.11465967,Residential,,1980.0,,19402NANANANA,,False,True,HS,95620,220.0
1799593,-121.842749869,38.4471584344,M,6.2,3514.0,Dixon,0.0,2.0,Solano,7013.00345776,Residential,,1992.0,,19402NANANANA,,False,True,HS,95620,220.0
1800708,-121.824697819,38.4441050742,S,,2784.0,Dixon,0.0,3.0,Solano,6442.2827494,Residential,dix1,1956.0,,19402DIX1NANANA,,False,False,HS,95620,220.0
1800647,-121.843292251,38.4448006593,M,14.5,8468.34812106,Dixon,0.0,5.0,Solano,790116.488238,Residential,,1991.0,,19402NANANANA,,False,True,HM,95620,220.0
1801288,-121.839937917,38.442774256,M,6.2,0.0,Dixon,0.0,0.0,Solano,33412.224226,Vacant,,,,19402NANANANA,,False,True,,95620,220.0
1801314,-121.839992271,38.4441077623,M,14.5,0.0,Dixon,0.0,0.0,Solano,43489.1556326,Vacant,,,,19402NANANANA,,False,True,,95620,220.0
1802423,-121.81549795,38.4419248391,S,6.2,3334.0,Dixon,0.0,2.0,Solano,8492.53743212,Residential,,1976.0,,19402NANANANA,,False,True,HS,95620,220.0
1802424,-121.813994015,38.4433767774,S,6.2,2586.0,Dixon,0.0,2.0,Solano,6726.51262638,Residential,,1979.0,,19402NANANANA,,False,True,HS,95620,220.0
1800635,-121.824683078,38.4581046157,M,21.8,1768.0,Dixon,0.0,2.0,Solano,915.622109079,Residential,,1984.0,,19402NANANANA,,False,True,HM,95620,220.0
1800625,-121.824393072,38.4577282795,M,21.8,1768.0,Dixon,0.0,2.0,Solano,941.293924502,Residential,,1984.0,,19402NANANANA,,False,True,HM,95620,220.0
