parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
387621,-121.861295435,37.724431831,MH,,0.0,Dublin,0.0,0.0,Alameda,273859.190236,Vacant,,,,20018NANANANA,,False,False,,94568,439.0
368239,-121.918228172,37.7223148122,M,6.0,3232.0,Dublin,0.0,2.0,Alameda,9346.18909806,Residential,,1989.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
388856,-121.855790283,37.7298932805,MH,0.01,0.0,Dublin,0.0,0.0,Alameda,1477292.37009,Vacant,,,2.33333333333,20018NANANANA,,False,True,,94568,439.0
386955,-121.870811686,37.7226397811,MH,,0.0,Dublin,0.0,0.0,Alameda,158283.912235,Vacant,,,,20018NANANANA,,False,False,,94568,439.0
370371,-121.980249433,37.7074967574,M,,1663.78168077,Dublin,0.0,1.0,Alameda,4318017.70287,Residential,,1990.0,,20018NANANANA,,False,False,HS,94568,439.0
360084,-121.941143905,37.7038750062,M,6.0,2204.0,Dublin,2204.0,0.0,Alameda,5626.66588579,Residential,,1980.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
362259,-121.930588434,37.7247623825,M,14.0,1926.0,Dublin,0.0,2.0,Alameda,6839.39565813,Residential,,1970.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
359410,-121.942781376,37.7082671774,M,6.0,3520.0,Dublin,0.0,2.0,Alameda,7935.44943849,Residential,,1967.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
366937,-121.91207278,37.7035097213,M,,0.0,Dublin,0.0,0.0,Alameda,4274.18502379,Vacant,,,,20018NANANANA,,False,False,,94568,439.0
367713,-121.917021874,37.7178285192,M,6.0,5622.0,Dublin,0.0,2.0,Alameda,7895.23043197,Residential,,1982.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
388102,-121.855236785,37.7202583896,MH,6.0,0.0,Dublin,0.0,0.0,Alameda,665.892577468,Vacant,,,0.7,20018NANANANA,,False,True,,94568,439.0
361188,-121.928317723,37.7100364156,M,15.246,1280.0,Dublin,1280.0,0.0,Alameda,10658.6783445,Retail,dub1,1968.0,0.35,20018DUB1NANANA,,True,False,RS,94568,439.0
363460,-121.921182921,37.7079441384,M,6.0,3184.0,Dublin,0.0,2.0,Alameda,5529.20606491,Residential,,1968.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
366946,-121.922369237,37.7038728475,M,12.1968,16218.0,Dublin,16218.0,0.0,Alameda,46169.6620321,Office,,1977.0,0.28,20018NAbart3NANA,bart3,False,False,OF,94568,439.0
368325,-121.951481592,37.7076199938,M,6.0,2182.0,Dublin,2182.0,0.0,Alameda,22499.9090046,Residential,,1986.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
386438,-121.866131158,37.707628172,MH,,0.0,Dublin,0.0,0.0,Alameda,88262.7570252,Vacant,dub3,,,20018DUB3b2NANA,b2,False,False,,94568,439.0
388831,-121.868142363,37.7122219393,MH,14.0,0.0,Dublin,0.0,0.0,Alameda,23018.2960535,Vacant,dub3,,0.7,20018DUB3b2NANA,b2,False,True,,94568,439.0
389788,-121.873244474,37.7023065253,M,32.67,0.0,Dublin,0.0,0.0,Alameda,119725.01651,Vacant,,,0.75,20018NAb2NANA,b2,False,False,,94568,439.0
363190,-121.918013882,37.7085607734,M,6.0,2928.0,Dublin,0.0,2.0,Alameda,8265.71872722,Residential,,1967.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
369126,-121.913153516,37.7224350697,M,14.0,1663.78168077,Dublin,0.0,1.0,Alameda,78308.6070659,Residential,,1992.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
370366,-121.983314407,37.7006417262,M,0.8,1663.78168077,Dublin,0.0,1.0,Alameda,1206742.58047,Residential,,1990.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
370350,-121.970304678,37.6984467106,M,,1663.78168077,Dublin,0.0,1.0,Alameda,449496.049644,Residential,,1990.0,,20018NANANANA,,False,False,HS,94568,439.0
359460,-121.94477643,37.7078311868,M,6.0,3520.0,Dublin,0.0,2.0,Alameda,7907.34357687,Residential,,1967.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
360104,-121.940842043,37.7030900459,M,6.0,2204.0,Dublin,2204.0,0.0,Alameda,5654.06418558,Residential,,1980.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
362072,-121.935492464,37.7224812995,M,6.0,3016.0,Dublin,0.0,2.0,Alameda,7507.51106937,Residential,,1965.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
366971,-121.933623306,37.7010618206,M,15.246,35602.0,Dublin,35602.0,0.0,Alameda,154472.988912,Retail,dub1,1977.0,0.35,20018DUB1bart3NANA,bart3,True,False,RS,94568,439.0
388473,-121.858510069,37.716049159,MH,6.0,0.0,Dublin,0.0,0.0,Alameda,1015.60699574,Vacant,,,0.7,20018NANANANA,,False,True,,94568,439.0
369149,-121.913496217,37.7221267307,M,14.0,5782.0,Dublin,5782.0,0.0,Alameda,4910.97290807,Residential,,1990.0,0.7,20018NANANANA,,False,True,HM,94568,439.0
389774,-121.874293938,37.7144693245,M,14.0,0.0,Dublin,0.0,0.0,Alameda,12214.9391413,Vacant,,,0.7,20018NAb2NANA,b2,False,True,,94568,439.0
368230,-121.918133294,37.7208048193,M,6.0,4072.0,Dublin,0.0,2.0,Alameda,9053.00028599,Residential,,1989.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
360102,-121.941101005,37.7030353243,M,6.0,2204.0,Dublin,2204.0,0.0,Alameda,5197.91480426,Residential,,1980.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
363537,-121.92516138,37.7087123826,M,15.246,24610.0,Dublin,24610.0,0.0,Alameda,45266.9973756,Office,dub1,1972.0,0.35,20018DUB1NANANA,,True,False,OF,94568,439.0
363544,-121.920246155,37.7060173328,M,15.246,8850.0,Dublin,8850.0,0.0,Alameda,50108.3355178,Office,,1974.0,0.35,20018NANANANA,,True,False,OF,94568,439.0
360413,-121.945677863,37.7123492999,M,6.0,5168.0,Dublin,0.0,2.0,Alameda,10258.6905455,Residential,,1992.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
360383,-121.947439955,37.7103112318,M,6.0,4104.0,Dublin,0.0,2.0,Alameda,10439.0312602,Residential,,1992.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
361111,-121.93655609,37.7081513054,M,,0.0,Dublin,0.0,0.0,Alameda,7784.57829367,Vacant,dub1,,,20018DUB1NANANA,,False,False,,94568,439.0
361162,-121.932427462,37.7087105726,M,25.0,6633.0,Dublin,0.0,8.0,Alameda,15147.3559946,Residential,,1966.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
362839,-121.915971482,37.7134460827,M,6.0,3276.0,Dublin,0.0,2.0,Alameda,5227.5001929,Residential,,1968.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
387251,-121.869185105,37.7257940266,MH,,0.0,Dublin,0.0,0.0,Alameda,131615.42771,Vacant,,,,20018NANANANA,,False,False,,94568,439.0
390338,-121.874872396,37.7219308632,M,14.0,0.0,Dublin,0.0,0.0,Alameda,4198.40766019,Vacant,,,0.7,20018NANANANA,,False,True,,94568,439.0
363350,-121.925366384,37.7098095461,M,6.0,2928.0,Dublin,0.0,2.0,Alameda,5466.95819245,Residential,,1968.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
363355,-121.925190051,37.7104301606,M,6.0,2520.0,Dublin,0.0,2.0,Alameda,5722.65518037,Residential,,1968.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
390481,-121.88119836,37.7052331983,M,15.246,0.0,Dublin,0.0,0.0,Alameda,146689.595845,Vacant,,,0.35,20018NAb2NANA,b2,True,False,,94568,439.0
362556,-121.920965611,37.7159666571,M,6.0,3710.0,Dublin,0.0,2.0,Alameda,9668.56609386,Residential,,1968.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
363002,-121.920979284,37.7111571356,M,6.0,6606.0,Dublin,0.0,3.0,Alameda,5636.76883811,Residential,,1969.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
362868,-121.917098186,37.7147771477,M,6.0,2836.0,Dublin,0.0,2.0,Alameda,7237.47175773,Residential,,1969.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
363273,-121.923322647,37.7114230278,M,6.0,3704.0,Dublin,0.0,2.0,Alameda,5538.61640319,Residential,,1970.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
363321,-121.911373901,37.7081751698,M,15.246,95040.0,Dublin,95040.0,0.0,Alameda,163744.608809,Industrial,,1982.0,0.35,20018NANANANA,,True,False,IW,94568,439.0
363404,-121.924198087,37.7083993092,M,6.0,4946.0,Dublin,0.0,2.0,Alameda,7430.42675998,Residential,,1968.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
359589,-121.941266083,37.710300786,M,6.0,5406.0,Dublin,0.0,2.0,Alameda,19724.3834505,Residential,,1968.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
359735,-121.944995661,37.7101203844,M,6.0,2954.0,Dublin,0.0,2.0,Alameda,8638.55510537,Residential,,1969.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
360089,-121.940416215,37.7041626067,M,6.0,2059.0,Dublin,2059.0,0.0,Alameda,5888.40544578,Residential,,1980.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
363538,-121.924388803,37.7077858595,M,15.246,6600.0,Dublin,6600.0,0.0,Alameda,43068.3075166,Office,dub1,1969.0,0.35,20018DUB1NANANA,,True,False,OF,94568,439.0
368843,-121.913318119,37.7264281091,M,14.0,3880.0,Dublin,0.0,2.0,Alameda,5613.11960091,Residential,,1990.0,0.7,20018NANANANA,,False,True,HS,94568,439.0
