parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1193991,-122.130461682,37.4766971432,S,87.12,0.0,East Palo Alto,0.0,0.0,San Mateo,7673.68660261,Vacant,epa1,,2.0,20956EPA1NANANA,,True,False,,94303,1062.0
1196682,-122.138348763,37.4559797174,S,40.0,25289.8112576,East Palo Alto,0.0,13.0,San Mateo,8195.46108561,Residential,,1982.0,,20956NANANANA,,False,True,HM,94303,1062.0
1196898,-122.124191416,37.454117977,M,8.0,2920.0,East Palo Alto,0.0,2.0,San Mateo,5000.04097093,Residential,,1953.0,,20956NANANANA,,False,True,HS,94303,1062.0
1194843,-122.135173864,37.4704076801,M,,5112.0,East Palo Alto,5112.0,0.0,San Mateo,12509.5395647,Office,epa1,1983.0,,20956EPA1b3NANA,b3,False,False,OF,94303,1062.0
1194940,-122.135569276,37.4681621746,M,8.0,0.0,East Palo Alto,0.0,0.0,San Mateo,7945.36789098,Vacant,,,,20956NAb3NANA,b3,False,True,,94303,1062.0
1195382,-122.134122815,37.4656732665,M,8.0,0.0,East Palo Alto,0.0,0.0,San Mateo,13336.0860674,Vacant,,,,20956NAb3NANA,b3,False,True,,94303,1062.0
1194446,-122.146539114,37.4676138567,S,8.0,4120.0,East Palo Alto,0.0,2.0,San Mateo,6000.20894207,Residential,,1941.0,,20956NAb3NANA,b3,False,True,HS,94303,1062.0
1190737,-122.154306274,37.4707838908,S,8.0,2850.0,East Palo Alto,2850.0,0.0,San Mateo,17455.5041424,Office,,1960.0,,20956NAb3NANA,b3,False,True,OF,94303,1062.0
1194709,-122.143752502,37.4672871978,S,8.0,3890.74019347,East Palo Alto,0.0,2.0,San Mateo,5169.86798554,Residential,,1953.0,,20956NAb3NANA,b3,False,True,HS,94303,1062.0
1195673,-122.138975034,37.4658453602,M,8.0,2224.0,East Palo Alto,0.0,2.0,San Mateo,6462.4319951,Residential,,1925.0,,20956NAb3NANA,b3,False,True,HS,94303,1062.0
1196547,-122.143496787,37.4601994771,S,43.56,2621.0,East Palo Alto,2621.0,0.0,San Mateo,5144.02355117,Retail,,1991.0,1.0,20956NANANANA,,True,True,RS,94303,1062.0
1196611,-122.130114163,37.4547389759,M,43.56,1289.0,East Palo Alto,1289.0,0.0,San Mateo,10881.3509081,Retail,,1983.0,1.0,20956NANANANA,,True,True,RS,94303,1062.0
1196635,-122.131945608,37.4546548773,S,17.0,74606.0,East Palo Alto,0.0,7.0,San Mateo,18001.0714253,Residential,,1970.0,,20956NANANANA,,False,True,HM,94303,1062.0
1196719,-122.136290969,37.455749306,S,40.0,25289.8112576,East Palo Alto,0.0,13.0,San Mateo,49335.4342825,Residential,,1975.0,,20956NANANANA,,False,True,HM,94303,1062.0
1197631,-122.132052143,37.4718641585,M,87.12,0.0,East Palo Alto,0.0,0.0,San Mateo,2263.99391628,Vacant,epa1,,2.0,20956EPA1b3NANA,b3,True,False,,94303,1062.0
1195831,-122.128655881,37.4663395458,M,8.0,3890.74019347,East Palo Alto,0.0,2.0,San Mateo,6842.77168923,Residential,,1970.0,,20956NANANANA,,False,True,HS,94303,1062.0
1194139,-122.146998776,37.4636057648,S,8.0,0.0,East Palo Alto,0.0,0.0,San Mateo,2237.08685061,Vacant,,,,20956NANANANA,,False,True,,94303,1062.0
1196025,-122.128543,37.4614310091,M,8.0,3890.74019347,East Palo Alto,0.0,2.0,San Mateo,5016.63867206,Residential,,1970.0,,20956NANANANA,,False,True,HS,94303,1062.0
1190701,-122.154621852,37.4719260847,S,17.0,0.0,East Palo Alto,0.0,0.0,San Mateo,1578.26267956,Vacant,,,,20956NAb3NANA,b3,False,True,,94303,1062.0
1197598,-122.130839297,37.4693869694,M,17.0,0.0,East Palo Alto,0.0,0.0,San Mateo,2181.35766515,Vacant,,,,20956NAb3NANA,b3,False,True,,94303,1062.0
1197628,-122.131900688,37.4716074395,M,87.12,0.0,East Palo Alto,0.0,0.0,San Mateo,2261.30891406,Vacant,epa1,,2.0,20956EPA1b3NANA,b3,True,False,,94303,1062.0
1197641,-122.132125075,37.4714042761,M,87.12,0.0,East Palo Alto,0.0,0.0,San Mateo,2291.40325546,Vacant,epa1,,2.0,20956EPA1b3NANA,b3,True,False,,94303,1062.0
