parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
393244,-122.30487116,37.9095165573,S,34.848,3124.0,El Cerrito,0.0,4.0,Contra Costa,5437.33056203,Residential,,1960.0,2.33333333333,21796NAbrt1NANA,brt1,False,True,HM,94530,491.0
409120,-122.30873064,37.9166204904,S,8.712,0.0,El Cerrito,0.0,0.0,Contra Costa,2563.7791089,Vacant,,,2.0,21796NAbrt1NANA,brt1,False,True,,94530,491.0
736269,-122.301811497,37.9047030068,S,34.848,0.0,El Cerrito,0.0,0.0,Contra Costa,5002.08048965,Residential,,1946.0,2.33333333333,21796NAbart2NANA,bart2,False,True,HM,94530,491.0
417531,-122.303788965,37.9210800659,S,8.712,1968.0,El Cerrito,0.0,2.0,Contra Costa,3609.00822134,Residential,,1954.0,2.0,21796NANANANA,,False,True,HS,94530,491.0
416015,-122.302907037,37.9202723914,S,8.712,2876.0,El Cerrito,0.0,2.0,Contra Costa,3376.5097303,Residential,,1953.0,2.0,21796NANANANA,,False,True,HS,94530,491.0
423149,-122.313407844,37.9235534659,S,34.848,0.0,El Cerrito,0.0,0.0,Contra Costa,6566.78485449,Residential,,1944.0,2.33333333333,21796NAbart2NANA,bart2,False,True,HM,94530,491.0
730230,-122.306516702,37.9005241953,S,34.848,3616.0,El Cerrito,0.0,4.0,Contra Costa,4901.73836981,Residential,,1962.0,2.33333333333,21796NAbart2NANA,bart2,False,True,HM,94530,491.0
394648,-122.300540269,37.9102810085,S,25.0,5000.0,El Cerrito,5000.0,0.0,Contra Costa,4855.94917511,Retail,,1945.0,1.0,21796NAbrt1NANA,brt1,True,True,RS,94530,491.0
398833,-122.311099867,37.9189743898,S,34.848,6546.66666666,El Cerrito,0.0,8.0,Contra Costa,6975.05563623,Residential,,1970.0,2.33333333333,21796NAbrt1NANA,brt1,False,True,HM,94530,491.0
414407,-122.315931737,37.9192558097,S,8.712,8564.0,El Cerrito,0.0,10.0,Contra Costa,5753.84445866,Residential,elc1_a,1969.0,2.0,21796ELC1_abart2NANA,bart2,False,True,HM,94530,491.0
427010,-122.290910695,37.925257072,M,4.356,0.0,El Cerrito,0.0,0.0,Contra Costa,2742.85762587,Vacant,,,2.0,21796NANANANA,,False,True,,94530,491.0
432634,-122.302486914,37.9276949985,M,8.712,0.0,El Cerrito,0.0,0.0,Contra Costa,1220.78851518,Vacant,,,2.0,21796NANANANA,,False,True,,94530,491.0
729175,-122.304988639,37.8996156552,S,34.848,0.0,El Cerrito,0.0,0.0,Contra Costa,5913.39788528,Residential,,1947.0,2.33333333333,21796NAbart2NANA,bart2,False,True,HM,94530,491.0
730367,-122.304641929,37.9006238634,S,34.848,2820.0,El Cerrito,0.0,4.0,Contra Costa,4540.63360059,Residential,,1925.0,2.33333333333,21796NAbart2NANA,bart2,False,True,HM,94530,491.0
737026,-122.302975776,37.9051212948,S,34.848,4069.0,El Cerrito,0.0,4.0,Contra Costa,5016.29038326,Residential,,1968.0,2.33333333333,21796NAbart2NANA,bart2,False,True,HM,94530,491.0
739899,-122.302615135,37.9063985083,S,34.848,0.0,El Cerrito,0.0,0.0,Contra Costa,5047.53234023,Residential,,1923.0,2.33333333333,21796NAbart2NANA,bart2,False,True,HM,94530,491.0
740921,-122.299145449,37.9071763814,S,8.712,0.0,El Cerrito,0.0,0.0,Contra Costa,2380.28491294,Vacant,,,2.0,21796NAbart2NANA,bart2,False,True,,94530,491.0
393413,-122.303164247,37.909624533,S,17.424,0.0,El Cerrito,0.0,0.0,Contra Costa,4912.97711301,Residential,,1943.0,2.0,21796NAbrt1NANA,brt1,False,True,HM,94530,491.0
418584,-122.316194253,37.92137542,S,45.0,2549.0,El Cerrito,2549.0,0.0,Contra Costa,8675.26374357,Retail,elc1_a,1926.0,3.0,21796ELC1_abart2NANA,bart2,True,True,RS,94530,491.0
433520,-122.293156786,37.928109057,M,4.356,0.0,El Cerrito,0.0,0.0,Contra Costa,10952.2807048,Vacant,,,2.0,21796NANANANA,,False,True,,94530,491.0
728220,-122.303621881,37.8989132469,S,45.0,4452.0,El Cerrito,0.0,6.0,Contra Costa,4865.72060541,Residential,,1954.0,3.0,21796NAbart2NANA,bart2,True,True,HM,94530,491.0
728254,-122.293514627,37.8990818879,S,8.712,2178.0,El Cerrito,0.0,2.0,Contra Costa,6479.95328942,Residential,,1938.0,2.0,21796NAbart2NANA,bart2,False,True,HS,94530,491.0
736629,-122.301305706,37.9048896464,S,34.848,5520.0,El Cerrito,0.0,6.0,Contra Costa,7523.86065285,Residential,,1931.0,2.33333333333,21796NAbart2NANA,bart2,False,True,HM,94530,491.0
399534,-122.290794036,37.9123922378,M,8.712,0.0,El Cerrito,0.0,0.0,Contra Costa,3941.17062531,Vacant,,,2.0,21796NANANANA,,False,True,,94530,491.0
410904,-122.301115583,37.9173348867,S,8.712,8743.0,El Cerrito,8743.0,0.0,Contra Costa,43689.1359226,Office,,1960.0,2.0,21796NANANANA,,False,True,OF,94530,491.0
414298,-122.313704962,37.919292894,S,45.0,4470.0,El Cerrito,4470.0,0.0,Contra Costa,3511.40398597,Office,elc1_a,1965.0,2.33333333333,21796ELC1_abart2NANA,bart2,True,True,OF,94530,491.0
414906,-122.303561077,37.9199821593,S,8.712,2144.0,El Cerrito,0.0,2.0,Contra Costa,3715.34996871,Residential,,1949.0,2.0,21796NANANANA,,False,True,HS,94530,491.0
434587,-122.31980947,37.9283240629,S,45.0,1750.0,El Cerrito,1750.0,0.0,Contra Costa,2228.23620004,Industrial,elc1_a,1965.0,2.33333333333,21796ELC1_abart2NANA,bart2,True,True,IL,94530,491.0
