parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
99060,-122.288007106,37.8471303094,S,60.0,3870.0,Emeryville,1200.0,3.0,Alameda,2699.66071927,Residential,eme1,1940.0,1.6,22594EME1brt1NANA,brt1,False,True,HS,94608,557.0
98285,-122.277782932,37.8332799041,S,21.78,20727.0,Emeryville,0.0,14.0,Alameda,4140.66434528,Residential,,1959.0,0.5,22594NAbrt1NANA,brt1,False,True,HM,94608,557.0
98347,-122.287944246,37.8385094654,S,69.696,15644.0,Emeryville,15644.0,0.0,Alameda,19651.7947385,Office,eme1,1940.0,1.6,22594EME1brt1NANA,brt1,True,False,OF,94608,557.0
98516,-122.27824588,37.8354150965,S,21.78,4656.0,Emeryville,0.0,4.0,Alameda,3426.37347201,Residential,,1940.0,0.5,22594NAbrt1NANA,brt1,False,True,HS,94608,557.0
99082,-122.293835971,37.8477338036,S,130.68,20160.0,Emeryville,20160.0,0.0,Alameda,15488.6367491,Industrial,eme1,1961.0,3.0,22594EME1brt1NANA,brt1,False,False,IW,94608,557.0
98622,-122.280452311,37.8364161429,S,21.78,6552.0,Emeryville,0.0,6.0,Alameda,3698.17135279,Residential,,1959.0,0.5,22594NAbrt1NANA,brt1,False,True,HS,94608,557.0
98859,-122.288854881,37.8450106368,S,21.78,1035.0,Emeryville,1035.0,0.0,Alameda,1174.29888637,Residential,,1990.0,0.5,22594NAbrt1NANA,brt1,False,True,HS,94608,557.0
98900,-122.286992769,37.843116899,S,21.78,12636.0,Emeryville,0.0,18.0,Alameda,4223.75274576,Residential,,1965.0,0.5,22594NAbrt1NANA,brt1,False,True,HM,94608,557.0
99058,-122.288051295,37.8472670751,S,60.0,0.0,Emeryville,0.0,0.0,Alameda,4923.40018104,Industrial,eme1,1961.0,1.6,22594EME1brt1NANA,brt1,False,True,IL,94608,557.0
99102,-122.28907411,37.8497901892,S,69.696,0.0,Emeryville,0.0,0.0,Alameda,7804.30031211,Vacant,eme1,,1.6,22594EME1brt1NANA,brt1,False,False,,94608,557.0
98297,-122.279774497,37.8325908037,S,60.0,9463.0,Emeryville,9463.0,0.0,Alameda,34999.0238937,Office,eme1,1982.0,1.6,22594EME1brt1NANA,brt1,False,True,OF,94608,557.0
98919,-122.287486864,37.8420928803,S,21.78,0.0,Emeryville,0.0,0.0,Alameda,2988.45319605,Vacant,,,0.5,22594NAbrt1NANA,brt1,True,True,,94608,557.0
98820,-122.288603785,37.8456746568,S,21.78,6768.0,Emeryville,0.0,9.0,Alameda,3551.05624354,Residential,,1941.0,0.5,22594NAbrt1NANA,brt1,False,True,HS,94608,557.0
98796,-122.286353431,37.8403084522,S,21.78,0.0,Emeryville,0.0,19.0,Alameda,10000.4180143,Parking,,1978.0,0.5,22594NAbrt1NANA,brt1,True,True,PA2,94608,557.0
98204,-122.282771976,37.8314885758,S,60.0,15000.0,Emeryville,15000.0,0.0,Alameda,15391.7517934,Office,eme1,1961.0,1.6,22594EME1brt1NANA,brt1,True,True,OF,94608,557.0
98655,-122.285170929,37.8374740023,S,21.78,12166.0,Emeryville,0.0,11.0,Alameda,4162.19511533,Residential,,1981.0,0.5,22594NAbrt1NANA,brt1,False,True,HM,94608,557.0
98938,-122.289812154,37.8453363682,S,60.0,40320.0,Emeryville,40320.0,0.0,Alameda,31814.6820085,Industrial,eme1,1952.0,1.6,22594EME1brt1NANA,brt1,True,True,IW,94608,557.0
98606,-122.280270195,37.8367522853,S,21.78,7970.0,Emeryville,0.0,10.0,Alameda,4089.88030776,Residential,,1947.0,0.5,22594NAbrt1NANA,brt1,False,True,HM,94608,557.0
98607,-122.280416381,37.8367183578,S,21.78,10143.0,Emeryville,0.0,9.0,Alameda,3505.98502761,Residential,,1963.0,0.5,22594NAbrt1NANA,brt1,False,True,HM,94608,557.0
98305,-122.281467168,37.833052401,S,130.68,0.0,Emeryville,0.0,0.0,Alameda,97623.0648716,Vacant,eme1,,3.0,22594EME1brt1NANA,brt1,False,False,,94608,557.0
98966,-122.293991342,37.8449126304,S,,0.0,Emeryville,0.0,0.0,Alameda,8741.42481966,Vacant,eme1,,,22594EME1b1NANA,b1,False,False,,94608,557.0
98457,-122.277502459,37.8342898712,S,21.78,6336.0,Emeryville,0.0,11.0,Alameda,6137.27553561,Residential,,1989.0,0.5,22594NAbrt1NANA,brt1,False,True,HM,94608,557.0
98659,-122.285892137,37.8373744559,S,21.78,6160.0,Emeryville,0.0,7.0,Alameda,4814.0017455,Residential,,1981.0,0.5,22594NAbrt1NANA,brt1,False,True,HM,94608,557.0
98600,-122.279583762,37.8368932105,S,21.78,10944.0,Emeryville,0.0,6.0,Alameda,4092.08967504,Residential,,1949.0,0.5,22594NAbrt1NANA,brt1,False,True,HS,94608,557.0
98776,-122.28628242,37.8411980472,S,21.78,1458.0,Emeryville,0.0,3.0,Alameda,2285.68451936,Residential,,1942.0,0.5,22594NAbrt1NANA,brt1,False,True,HS,94608,557.0
99032,-122.288790633,37.8469453151,S,60.0,0.0,Emeryville,0.0,0.0,Alameda,17335.3388345,Vacant,eme1,,1.6,22594EME1brt1NANA,brt1,False,True,,94608,557.0
99183,-122.295471013,37.8440359069,S,135.0,2355.0,Emeryville,2355.0,0.0,Alameda,1902.99597478,Retail,eme1,1988.0,4.0,22594EME1b1NANA,b1,False,True,RS,94608,557.0
99080,-122.293165242,37.8478709503,S,130.68,38400.0,Emeryville,38400.0,0.0,Alameda,15492.8704024,Industrial,eme1,1980.0,3.0,22594EME1brt1NANA,brt1,False,False,IW,94608,557.0
98936,-122.290477248,37.8443003753,S,43.56,9600.0,Emeryville,9600.0,0.0,Alameda,8380.3412559,Industrial,eme1,1948.0,1.0,22594EME1brt1NANA,brt1,False,False,IW,94608,557.0
99092,-122.29215229,37.8492960785,S,69.696,0.0,Emeryville,0.0,0.0,Alameda,623.65215422,Vacant,eme1,,1.6,22594EME1brt1NANA,brt1,False,False,,94608,557.0
98343,-122.292674571,37.8340552326,S,135.0,37627.0,Emeryville,37627.0,0.0,Alameda,97950.8831872,Retail,eme1,1961.0,4.0,22594EME1b1NANA,b1,True,True,RS,94608,557.0
98930,-122.289265457,37.8436429064,S,43.56,37632.0,Emeryville,37632.0,0.0,Alameda,39040.5606458,Office,eme1,1923.0,1.0,22594EME1brt1NANA,brt1,False,False,OF,94608,557.0
98398,-122.279812342,37.8344660529,S,21.78,7462.0,Emeryville,0.0,7.0,Alameda,2144.39100804,Residential,,1957.0,0.5,22594NAbrt1NANA,brt1,False,True,HS,94608,557.0
98251,-122.277480658,37.8323931085,S,60.0,15181.0,Emeryville,0.0,17.0,Alameda,3489.76313455,Residential,,1960.0,1.6,22594NAbrt1NANA,brt1,False,True,HS,94608,557.0
98405,-122.279788521,37.8333839019,S,21.78,10300.5,Emeryville,0.0,18.0,Alameda,4329.03907678,Residential,,1975.0,0.5,22594NAbrt1NANA,brt1,False,True,HM,94608,557.0
98248,-122.277690352,37.8316346097,S,60.0,33699.0,Emeryville,33699.0,0.0,Alameda,27749.7983811,Industrial,eme1,1961.0,1.6,22594EME1brt1NANA,brt1,True,True,IL,94608,557.0
98470,-122.27817208,37.8346717857,S,21.78,7290.0,Emeryville,0.0,6.0,Alameda,3848.00482037,Residential,,1947.0,0.5,22594NAbrt1NANA,brt1,False,True,HS,94608,557.0
98287,-122.277922591,37.8330377482,S,21.78,9823.0,Emeryville,0.0,11.0,Alameda,6154.85955007,Residential,,1972.0,0.5,22594NAbrt1NANA,brt1,False,True,HS,94608,557.0
