parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
744943,-122.604398148,37.9755990393,M,6.0,0.0,Fairfax,0.0,0.0,Marin,13435.3019355,Vacant,,,1.86666666667,23168NANANANA,,False,True,,94930,547.0
744679,-122.585133763,37.9829750426,M,6.0,2762.0,Fairfax,0.0,2.0,Marin,6835.93952129,Residential,,1958.0,1.86666666667,23168NAb3NANA,b3,False,True,HM,94930,547.0
743235,-122.592685949,37.9975561196,M,6.0,6088.27275127,Fairfax,0.0,3.0,Marin,10617.3674999,Residential,,1968.0,1.86666666667,23168NANANANA,,False,True,HM,94930,547.0
743615,-122.582555191,37.9879151649,M,6.0,4058.84850085,Fairfax,0.0,2.0,Marin,4005.84511162,Residential,,1968.0,1.86666666667,23168NAb3NANA,b3,False,True,HM,94930,547.0
743575,-122.587784662,37.9874246614,M,10.89,4491.0,Fairfax,4491.0,0.0,Marin,2292.73813751,Retail,,1940.0,0.25,23168NAb3NANA,b3,True,False,RS,94930,547.0
744395,-122.589242866,37.9857234459,M,10.89,0.0,Fairfax,0.0,0.0,Marin,3002.94599362,Vacant,,,0.25,23168NAb3NANA,b3,True,False,,94930,547.0
742702,-122.598811418,37.9859164196,M,6.0,4058.84850085,Fairfax,0.0,2.0,Marin,9107.7628547,Residential,,1962.0,1.86666666667,23168NAb3NANA,b3,False,True,HM,94930,547.0
744548,-122.590309754,37.9791319996,M,6.0,3288.0,Fairfax,0.0,2.0,Marin,6478.3308828,Residential,,1963.0,1.86666666667,23168NANANANA,,False,True,HM,94930,547.0
743672,-122.582805631,37.9868684355,M,6.0,890.0,Fairfax,890.0,0.0,Marin,6933.15916154,Retail,,1962.0,1.86666666667,23168NAb3NANA,b3,False,True,RS,94930,547.0
743424,-122.585268331,37.9898882551,M,6.0,4058.84850085,Fairfax,0.0,2.0,Marin,7116.77330126,Residential,,1965.0,1.86666666667,23168NAb3NANA,b3,False,True,HM,94930,547.0
743889,-122.592305346,37.9857716942,M,6.0,2800.0,Fairfax,0.0,2.0,Marin,8505.12448439,Residential,,1973.0,1.86666666667,23168NAb3NANA,b3,False,True,HM,94930,547.0
