parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1726635,-122.142311132,38.226912153,MH,8.0,0.0,Fairfield,0.0,0.0,Solano,533163.448414,Vacant,,,2.33333333333,23182NANANANA,,False,True,,94534,231.0
1842629,-121.968362291,38.3005793552,S,21.78,0.0,Fairfield,0.0,0.0,Solano,89823.5493969,Vacant,fai2,,0.5,23182FAI2NANANA,,True,False,,94533,203.0
1835879,-122.066052942,38.2811671737,M,8.0,0.0,Fairfield,0.0,0.0,Solano,535663.53957,Parking,,1983.0,2.33333333333,23182NANANANA,,False,True,PA2,94534,231.0
1835802,-122.075251834,38.2858668811,M,4.5,0.0,Fairfield,0.0,0.0,Solano,242459.745696,Vacant,,,2.33333333333,23182NANANANA,,False,True,,94534,231.0
1727711,-122.133997681,38.2289713757,MH,43.56,0.0,Fairfield,0.0,0.0,Solano,69451.6849843,Vacant,,,1.0,23182NANANANA,,True,False,,94534,231.0
1849074,-121.974306077,38.2768992428,S,26.136,0.0,Fairfield,0.0,0.0,Solano,44679.9776577,Vacant,,,0.6,23182NANANANA,,False,False,,94533,203.0
1838998,-122.057460834,38.2751663472,M,8.0,0.0,Fairfield,0.0,0.0,Solano,1180.62478889,Vacant,,,2.33333333333,23182NANANANA,,False,True,,94534,231.0
1836082,-122.067796788,38.2910333144,M,,0.0,Fairfield,0.0,0.0,Solano,184547.884893,Vacant,,,,23182NANANANA,,False,False,,94534,231.0
1731567,-122.053621385,38.248121118,S,8.0,15243.0266179,Fairfield,0.0,9.0,Solano,93910.3891968,Residential,fai4,1979.0,2.33333333333,23182FAI4b3NANA,b3,False,True,HS,94533,203.0
1734702,-122.035076372,38.2612064717,S,17.424,16020.0,Fairfield,16020.0,0.0,Solano,69380.7265825,Retail,fai3,1978.0,0.4,23182FAI3b2NANA,b2,True,False,RS,94533,203.0
1727939,-122.085169649,38.238615973,M,43.56,0.0,Fairfield,0.0,0.0,Solano,208662.269232,Vacant,,,1.0,23182NANANANA,,True,False,,94534,231.0
1731522,-122.054823688,38.2482260806,S,8.0,0.0,Fairfield,0.0,0.0,Solano,1134.72479334,Vacant,fai4,,2.33333333333,23182FAI4b3NANA,b3,False,True,,94533,203.0
1734868,-122.032999035,38.2585427851,S,17.424,5785.0,Fairfield,5785.0,0.0,Solano,18549.7228473,Retail,fai3,1974.0,0.4,23182FAI3b2NANA,b2,True,False,RS,94533,203.0
1735032,-122.029624812,38.261647452,S,22.0,61200.0,Fairfield,0.0,15.0,Solano,7637.41909528,Residential,,1966.0,3.0,23182NAb2NANA,b2,False,True,HM,94533,203.0
1735033,-122.029415405,38.2616437953,S,22.0,59976.0,Fairfield,0.0,17.0,Solano,7351.81033441,Residential,,1964.0,3.0,23182NAb2NANA,b2,False,True,HM,94533,203.0
1736033,-122.037486903,38.2691121495,S,22.0,16936.6962421,Fairfield,0.0,10.0,Solano,10172.9545698,Residential,,1969.0,3.0,23182NANANANA,,False,True,HM,94533,203.0
1792992,-122.058603757,38.2442536303,S,21.78,0.0,Fairfield,0.0,0.0,Solano,2651.97467994,Industrial,,1990.0,0.5,23182NANANANA,,True,False,IL,94533,203.0
1836437,-122.056930821,38.2790336325,M,8.0,5020.0,Fairfield,0.0,2.0,Solano,7210.88037538,Residential,,1993.0,2.33333333333,23182NANANANA,,False,True,HS,94534,231.0
1843085,-121.988558296,38.2967204518,S,0.00625,0.0,Fairfield,0.0,0.0,Solano,302224.95658,Vacant,,,,23182NANAexp1_npNA,,False,True,,94533,203.0
1862443,-122.139522469,38.185015055,H,8.0,0.0,Fairfield,0.0,0.0,Solano,6179.51596215,Residential,,1986.0,2.33333333333,23182NANANANA,,False,True,HS,94534,231.0
