parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1233516,-122.263870871,37.5363432764,MH,8.0,4140.0,Foster City,0.0,2.0,San Mateo,5377.10567145,Residential,,1986.0,,25338NAb3NANA,b3,False,True,HS,94404,741.0
1227333,-122.262365625,37.5647661424,M,8.0,3890.74019347,Foster City,0.0,2.0,San Mateo,7732.26553342,Residential,,1967.0,,25338NANANANA,,False,True,HS,94404,741.0
1251565,-122.281084512,37.55205215,M,35.0,102505.0,Foster City,0.0,83.0,San Mateo,39199.0632271,Residential,,1987.0,,25338NAb3NANA,b3,False,True,HM,94404,741.0
1248452,-122.272579849,37.5479367965,M,35.0,64800.0,Foster City,0.0,54.0,San Mateo,47949.9920409,Residential,,1977.0,,25338NANANANA,,False,True,HM,94404,741.0
1227270,-122.267441568,37.5638054258,M,8.0,3890.74019347,Foster City,0.0,2.0,San Mateo,5386.80803273,Residential,,1967.0,,25338NAb3NANA,b3,False,True,HS,94404,741.0
1228435,-122.255324307,37.5693275241,M,,0.0,Foster City,0.0,0.0,San Mateo,100270.499934,Vacant,,,,25338NANANANA,,False,False,,94404,741.0
1228665,-122.264554417,37.5686668236,M,8.0,0.0,Foster City,0.0,0.0,San Mateo,213.121821185,Vacant,,,,25338NANANANA,,False,True,,94404,741.0
1230758,-122.279637179,37.5479368585,M,15.0,0.0,Foster City,0.0,0.0,San Mateo,17689.9276605,Vacant,,,,25338NAb3NANA,b3,False,True,,94404,741.0
1231828,-122.278528344,37.5512964451,M,15.0,3890.74019347,Foster City,0.0,2.0,San Mateo,1761.78468321,Residential,,1986.0,,25338NAb3NANA,b3,False,True,HS,94404,741.0
1233208,-122.259958236,37.5440496607,M,8.0,0.0,Foster City,0.0,0.0,San Mateo,443.538729995,Vacant,,,,25338NANANANA,,False,True,,94404,741.0
