parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1711391,-121.594169844,37.0138835742,S,120.2256,4752.0,Gilroy,4752.0,0.0,Santa Clara,20862.3590668,Office,vta1_c,1977.0,2.76,29504VTA1_cNANANA,,True,False,OF,95020,356.0
1712639,-121.571658618,37.0079506887,S,7.25,0.0,Gilroy,0.0,0.0,Santa Clara,5990.53977076,Vacant,,,,29504NAb2NANA,b2,False,True,,95020,356.0
1713036,-121.57287182,36.9988843681,S,16.0,3384.0,Gilroy,0.0,2.0,Santa Clara,7357.7399033,Residential,,1967.0,,29504NAb2NANA,b2,False,True,HM,95020,356.0
1718111,-121.619228244,37.0060419423,MH,7.25,0.0,Gilroy,0.0,0.0,Santa Clara,5652.36022161,Vacant,,,,29504NANANANA,,False,True,,95020,356.0
2048590,-121.569933418,37.0087014807,S,108.9,0.0,Gilroy,0.0,0.0,Santa Clara,3467.33743038,Vacant,gil1,,2.5,29504GIL1b2NANA,b2,True,True,,95020,356.0
1718007,-121.592976821,36.9895398863,M,4.0,0.0,Gilroy,0.0,0.0,Santa Clara,9110.1918206,Vacant,,,,29504NANANANA,,False,True,,95020,356.0
1706396,-121.608484499,37.0170990783,M,4.0,0.0,Gilroy,0.0,0.0,Santa Clara,24226.6673924,Vacant,,,,29504NANANANA,,False,True,,95020,356.0
1709222,-121.608878103,37.0346181103,M,7.25,0.0,Gilroy,0.0,0.0,Santa Clara,6355.47114388,Vacant,,,,29504NANANANA,,False,True,,95020,356.0
1716852,-121.586406324,36.9828728748,M,4.0,0.0,Gilroy,0.0,0.0,Santa Clara,63670.5997206,Vacant,,,,29504NANANANA,,False,True,,95020,356.0
1725201,-121.549302702,36.9879086976,H,130.68,0.0,Gilroy,0.0,0.0,Santa Clara,13167.5545753,Vacant,,,3.0,29504NANANANA,,False,False,,95020,356.0
2049354,-121.595597895,37.0078843737,M,7.25,0.0,Gilroy,0.0,0.0,Santa Clara,7280.93046514,Vacant,,,,29504NANANANA,,False,True,,95020,356.0
2053427,-121.598559317,37.0155542622,S,16.0,0.0,Gilroy,0.0,0.0,Santa Clara,76941.5164945,Residential,,1986.0,,29504NANANANA,,False,True,HM,95020,356.0
1713645,-121.576920732,37.0032639432,S,7.25,19952.0,Gilroy,19952.0,0.0,Santa Clara,21494.1173527,Office,,1978.0,,29504NAb3NANA,b3,False,True,OF,95020,356.0
1713814,-121.576450737,37.0017754609,S,7.25,8754.0,Gilroy,0.0,3.0,Santa Clara,7689.49205059,Residential,,1980.0,,29504NAb3NANA,b3,False,True,HS,95020,356.0
1715767,-121.585298723,37.0047537704,S,7.25,3140.0,Gilroy,0.0,2.0,Santa Clara,7965.8330216,Residential,,1981.0,,29504NANANANA,,False,True,HS,95020,356.0
1722788,-121.571048253,37.0356231362,M,65.34,0.0,Gilroy,0.0,0.0,Santa Clara,1286115.99608,Office,,1945.0,1.5,29504NANANANA,,False,False,OF,95020,356.0
1724976,-121.570499769,37.0196013277,S,7.25,2512.0,Gilroy,0.0,2.0,Santa Clara,5422.67707922,Residential,,1987.0,,29504NAb2NANA,b2,False,True,HS,95020,356.0
1723910,-121.564630697,37.0047523704,S,120.2256,9920.0,Gilroy,9920.0,0.0,Santa Clara,13534.0767584,Industrial,,1980.0,2.76,29504NAb2NANA,b2,True,False,IL,95020,356.0
1710621,-121.585084656,37.0156164744,S,16.0,26160.0,Gilroy,0.0,12.0,Santa Clara,8212.25035275,Residential,,1973.0,,29504NANANANA,,False,True,HM,95020,356.0
1713956,-121.56922272,36.9955022129,M,,0.0,Gilroy,0.0,0.0,Santa Clara,44217.4912745,Vacant,,,,29504NANANANA,,False,False,,95020,356.0
1715509,-121.593592226,37.0022100753,M,,0.0,Gilroy,0.0,0.0,Santa Clara,1494040.39673,Vacant,,,,29504NANANANA,,False,False,,95020,356.0
1725305,-121.56970943,37.0095345249,S,108.9,0.0,Gilroy,0.0,0.0,Santa Clara,1112.27474583,Retail,gil1,1956.0,2.5,29504GIL1b2NANA,b2,True,True,RS,95020,356.0
1718104,-121.619625369,37.006313718,MH,7.25,0.0,Gilroy,0.0,0.0,Santa Clara,5723.3354084,Vacant,,,,29504NANANANA,,False,True,,95020,356.0
1718105,-121.619826647,37.006314379,MH,7.25,0.0,Gilroy,0.0,0.0,Santa Clara,5751.17633444,Vacant,,,,29504NANANANA,,False,True,,95020,356.0
1712914,-121.569619543,37.0010943408,S,7.25,2592.0,Gilroy,0.0,2.0,Santa Clara,5616.67890529,Residential,,1970.0,,29504NAb2NANA,b2,False,True,HS,95020,356.0
1715282,-121.584007246,37.0111278807,S,7.25,0.0,Gilroy,0.0,0.0,Santa Clara,9953.83684884,Office,,1959.0,,29504NANANANA,,False,True,OF,95020,356.0
1723450,-121.57657868,37.0245509565,S,52.272,0.0,Gilroy,0.0,0.0,Santa Clara,37480.5680294,Vacant,,,1.2,29504NAb2NANA,b2,False,False,,95020,356.0
1724029,-121.560006556,36.991268785,S,120.2256,0.0,Gilroy,0.0,0.0,Santa Clara,1763.3316451,Vacant,,,2.76,29504NANANANA,,True,False,,95020,356.0
1724946,-121.568986085,37.0171470094,S,7.25,3340.0,Gilroy,0.0,2.0,Santa Clara,5139.53253485,Residential,,1988.0,,29504NAb2NANA,b2,False,True,HS,95020,356.0
2053444,-121.589332743,37.0245931156,S,7.25,0.0,Gilroy,0.0,0.0,Santa Clara,3699.94395123,Vacant,,,,29504NANANANA,,False,True,,95020,356.0
1715690,-121.590158548,37.0102130557,M,7.25,4852.0,Gilroy,0.0,2.0,Santa Clara,8383.4531196,Residential,,1981.0,,29504NANANANA,,False,True,HM,95020,356.0
2050310,-121.572161695,36.992301766,M,7.25,0.0,Gilroy,0.0,0.0,Santa Clara,21848.7799291,Vacant,,,,29504NANANANA,,False,True,,95020,356.0
1714694,-121.575854975,36.9982366551,S,16.0,1645.0,Gilroy,0.0,2.0,Santa Clara,1173.46709298,Residential,,1988.0,,29504NAb3NANA,b3,False,True,HM,95020,356.0
1714614,-121.576173437,36.9981403468,S,16.0,1645.0,Gilroy,0.0,2.0,Santa Clara,1264.43536615,Residential,,1988.0,,29504NAb3NANA,b3,False,True,HM,95020,356.0
1714685,-121.575977158,36.9985015675,S,16.0,2523.0,Gilroy,0.0,3.0,Santa Clara,2611.02447103,Residential,,1988.0,,29504NAb3NANA,b3,False,True,HM,95020,356.0
1725067,-121.56538184,37.012277456,S,16.0,1362.0,Gilroy,0.0,3.0,Santa Clara,441.110309974,Residential,,1988.0,,29504NAb2NANA,b2,False,True,HM,95020,356.0
1714671,-121.574818158,36.998581674,S,16.0,1663.0,Gilroy,0.0,2.0,Santa Clara,2628.35945,Residential,,1988.0,,29504NAb3NANA,b3,False,True,HM,95020,356.0
2053434,-121.591362985,37.0218767307,S,7.25,0.0,Gilroy,0.0,0.0,Santa Clara,1315.17476568,Vacant,,,,29504NANANANA,,False,True,,95020,356.0
