parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1259983,-122.43246364,37.4604812664,H,,2524.0,Half Moon Bay,2524.0,0.0,San Mateo,379359.518659,Residential,,1989.0,,31708NANANANA,,True,True,HM,94019,578.0
1199436,-122.432611179,37.4426100154,H,,0.0,Half Moon Bay,0.0,0.0,San Mateo,2502.97527209,Vacant,,,,31708NANANANA,,True,True,,94019,578.0
1156260,-122.449903377,37.4880431733,VH,,0.0,Half Moon Bay,0.0,0.0,San Mateo,3676.9611153,Vacant,,,,31708NANANANA,,True,True,,94019,578.0
1197673,-122.441909381,37.4584854391,H,,0.0,Half Moon Bay,0.0,0.0,San Mateo,4700.65563493,Vacant,,,,31708NANANANA,,True,True,,94019,578.0
1156746,-122.436101834,37.4783171471,H,8.7,0.0,Half Moon Bay,0.0,0.0,San Mateo,2500.03724533,Vacant,,,0.5,31708NANANANA,,False,True,,94019,578.0
1156235,-122.45164379,37.4885703078,VH,,0.0,Half Moon Bay,0.0,0.0,San Mateo,3677.00013512,Vacant,,,,31708NANANANA,,True,True,,94019,578.0
1198895,-122.440010796,37.4448642492,H,,0.0,Half Moon Bay,0.0,0.0,San Mateo,7509.43854276,Vacant,,,,31708NANANANA,,True,True,,94019,578.0
1198692,-122.44185571,37.4479341881,H,,0.0,Half Moon Bay,0.0,0.0,San Mateo,2816.00192689,Vacant,,,,31708NANANANA,,True,True,,94019,578.0
1199318,-122.434698459,37.4407098585,H,,0.0,Half Moon Bay,0.0,0.0,San Mateo,5142.11510021,Vacant,,,,31708NANANANA,,True,True,,94019,578.0
1197766,-122.437458743,37.4585688176,H,8.7,0.0,Half Moon Bay,0.0,0.0,San Mateo,2279.86005773,Vacant,,,0.5,31708NANANANA,,False,True,,94019,578.0
1199347,-122.435697397,37.4421593795,H,,0.0,Half Moon Bay,0.0,0.0,San Mateo,2513.23848963,Vacant,,,,31708NANANANA,,True,True,,94019,578.0
