parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
284637,-122.09522966,37.6251542422,M,17.0,0.0,Hayward,0.0,0.0,Alameda,435995.741703,Vacant,,,2.66666666667,33000NAb2NANA,b2,False,True,,94545,388.0
185717,-122.037481177,37.6302298026,M,4.3,0.0,Hayward,0.0,0.0,Alameda,45725.0940378,Vacant,,,2.0,33000NANANANA,,False,True,,94544,405.0
185721,-122.032830565,37.6306944589,M,4.3,0.0,Hayward,0.0,0.0,Alameda,75157.1960589,Vacant,,,2.0,33000NANANANA,,False,True,,94544,405.0
185465,-122.038098967,37.6316268256,M,12.0,10904.0,Hayward,0.0,10.0,Alameda,597510.8085,Residential,,1974.0,2.66666666667,33000NANANANA,,False,True,HM,94544,405.0
265127,-122.089785205,37.6719705972,S,17.0,2146.0,Hayward,0.0,2.0,Alameda,6884.29479902,Residential,,1961.0,2.66666666667,33000NAbart2NANA,bart2,False,True,HS,94541,381.0
185715,-122.038066821,37.6302856276,M,4.3,0.0,Hayward,0.0,0.0,Alameda,20001.8451333,Vacant,,,2.0,33000NANANANA,,False,True,,94544,405.0
284641,-122.098212659,37.6254140619,M,17.0,0.0,Hayward,0.0,0.0,Alameda,347009.898924,Vacant,,,2.66666666667,33000NAb2NANA,b2,False,True,,94545,388.0
269039,-122.091922217,37.6611118057,S,34.0,1663.78168077,Hayward,0.0,1.0,Alameda,456669.789868,Residential,hay1,1979.0,2.66666666667,33000HAY1b2NANA,b2,False,True,HS,94544,405.0
267259,-122.09740071,37.667719901,S,,0.0,Hayward,0.0,0.0,Alameda,1537.33226436,Vacant,hay1,,,33000HAY1b2NANA,b2,False,False,,94541,381.0
264761,-122.0873085,37.6799831514,S,17.0,4900.0,Hayward,0.0,4.0,Alameda,7466.74734932,Residential,,1968.0,2.66666666667,33000NAb1NANA,b1,False,True,HM,94541,381.0
264985,-122.08870881,37.6743131409,S,,1740.0,Hayward,0.0,2.0,Alameda,7583.05858297,Residential,hay4,1973.0,,33000HAY4bart2NANA,bart2,False,False,HM,94541,381.0
263795,-122.079726339,37.6746237508,S,65.0,2850.0,Hayward,2850.0,0.0,Alameda,1925.79366221,Retail,hay2,1954.0,1.5,33000HAY2b1NANA,b1,True,False,RS,94541,381.0
263993,-122.076466427,37.6767524141,S,17.0,5118.0,Hayward,1142.0,2.0,Alameda,10374.1126425,Residential,,1965.0,2.66666666667,33000NAb2NANA,b2,False,True,HS,94541,381.0
265340,-122.083114583,37.673696365,S,65.0,1780.0,Hayward,1780.0,0.0,Alameda,2729.56498153,Retail,hay2,1966.0,1.5,33000HAY2bart2NANA,bart2,True,False,RS,94541,381.0
264995,-122.089663596,37.675314347,S,17.0,2885.0,Hayward,0.0,4.0,Alameda,9361.23417846,Residential,,1956.0,2.66666666667,33000NAbart2NANA,bart2,False,True,HM,94541,381.0
267039,-122.093405717,37.6705594488,S,17.0,1453.0,Hayward,0.0,2.0,Alameda,4451.93345875,Residential,,1961.0,2.66666666667,33000NAbart2NANA,bart2,False,True,HS,94541,381.0
267789,-122.089339368,37.6623978143,S,17.0,3792.0,Hayward,0.0,6.0,Alameda,9697.15933921,Residential,,1979.0,2.66666666667,33000NAb2NANA,b2,False,True,HM,94541,381.0
268825,-122.099392661,37.6654646606,M,34.0,0.0,Hayward,0.0,0.0,Alameda,2464.56793489,Vacant,hay1,,2.66666666667,33000HAY1b3NANA,b3,False,True,,94544,405.0
270506,-122.130623178,37.6542343568,M,,0.0,Hayward,0.0,0.0,Alameda,5586.44629452,Vacant,,,,33000NANANANA,,True,False,,94545,388.0
270949,-122.126915916,37.6499063734,M,,7200.0,Hayward,7200.0,0.0,Alameda,19891.9588261,Industrial,,1969.0,,33000NANANANA,,True,False,IL,94545,388.0
270977,-122.124130857,37.6459796976,M,,11400.0,Hayward,11400.0,0.0,Alameda,20285.156429,Industrial,,1966.0,,33000NANANANA,,True,False,IL,94545,388.0
271084,-122.125601279,37.6407365616,M,,109600.0,Hayward,109600.0,0.0,Alameda,199900.288251,Industrial,,1982.0,,33000NANANANA,,True,False,IW,94545,388.0
271712,-122.105304074,37.6370132596,M,8.7,3740.0,Hayward,0.0,2.0,Alameda,6441.23136942,Residential,,1967.0,2.0,33000NAb2NANA,b2,False,True,HS,94545,388.0
272648,-122.110979962,37.6476079919,M,8.7,4498.0,Hayward,0.0,2.0,Alameda,5165.87540018,Residential,,1986.0,2.0,33000NAb2NANA,b2,False,True,HS,94545,388.0
275327,-122.081220315,37.6653227216,M,,12991.0,Hayward,0.0,15.0,Alameda,31371.1347669,Residential,hay4,1970.0,,33000HAY4bart2NANA,bart2,False,False,HS,94544,405.0
275426,-122.077760766,37.6612497028,M,34.0,29450.0,Hayward,29450.0,0.0,Alameda,51994.0926104,Industrial,hay4,1980.0,2.66666666667,33000HAY4b3NANA,b3,False,True,IW,94544,405.0
284192,-122.102578676,37.6261098879,M,8.7,2639.0,Hayward,0.0,2.0,Alameda,6591.09425696,Residential,,1961.0,2.0,33000NAb2NANA,b2,False,True,HM,94545,388.0
287330,-122.082855262,37.6148898549,M,,24000.0,Hayward,24000.0,0.0,Alameda,48618.1275814,Industrial,,1983.0,,33000NAb3NANA,b3,True,False,IW,94545,388.0
293083,-122.091135695,37.5895981929,M,,0.0,Hayward,0.0,0.0,Alameda,6799.71732096,Vacant,,,,33000NANANANA,,False,False,,94545,388.0
184416,-122.026439714,37.6512405924,M,4.3,3224.0,Hayward,0.0,2.0,Alameda,7713.81754407,Residential,,1978.0,2.0,33000NANANANA,,False,True,HS,94542,363.0
261648,-122.036451081,37.6621296872,MH,4.3,1939.0,Hayward,1939.0,0.0,Alameda,10140.4355886,Residential,,1966.0,2.0,33000NANANANA,,False,True,HS,94542,363.0
265551,-122.082423453,37.6691105205,S,65.0,0.0,Hayward,0.0,0.0,Alameda,11602.4888905,Vacant,hay2,,1.5,33000HAY2bart2NANA,bart2,True,True,,94541,381.0
268635,-122.085288422,37.6656574797,S,65.0,0.0,Hayward,0.0,0.0,Alameda,9076.05335615,Office,hay2,1959.0,1.5,33000HAY2bart2NANA,bart2,True,False,OF,94541,381.0
270552,-122.11906721,37.6664042448,M,,5782.0,Hayward,5782.0,0.0,Alameda,24528.2863593,Retail,,1973.0,,33000NAb3NANA,b3,False,False,RS,94541,381.0
271053,-122.122446851,37.6390655392,M,,12000.0,Hayward,12000.0,0.0,Alameda,51777.8951844,Industrial,,1966.0,,33000NANANANA,,True,False,IL,94545,388.0
272492,-122.11899609,37.6482732888,M,,0.0,Hayward,0.0,0.0,Alameda,43339.2841187,Vacant,,,,33000NANANANA,,True,False,,94545,388.0
273941,-122.093935593,37.6434214985,M,,0.0,Hayward,0.0,0.0,Alameda,70061.2933445,Residential,,1989.0,,33000NANANANA,,False,False,HM,94545,388.0
276859,-122.058746698,37.6655999065,MH,,0.0,Hayward,0.0,0.0,Alameda,59216.8911173,Industrial,,1989.0,,33000NAb3NANA,b3,False,False,IL,94542,363.0
287055,-122.08342165,37.6161185865,M,,0.0,Hayward,0.0,0.0,Alameda,154580.71704,Vacant,,,,33000NAb3NANA,b3,True,False,,94545,388.0
287070,-122.077580887,37.6162263419,M,,7743.0,Hayward,7743.0,0.0,Alameda,17349.909471,Industrial,,1981.0,,33000NANANANA,,True,False,IW,94545,388.0
257318,-122.064308025,37.6837627955,M,65.0,1520.0,Hayward,0.0,2.0,Alameda,6460.58328171,Residential,,1957.0,1.5,33000NANANANA,,True,False,HS,94541,381.0
257649,-122.063036729,37.6832523777,M,8.7,2259.0,Hayward,2259.0,0.0,Alameda,20853.3539127,Office,,1951.0,2.0,33000NANANANA,,False,True,OF,94541,381.0
262264,-122.03194469,37.660425029,MH,,1392.0,Hayward,0.0,1.0,Alameda,57638.305067,Residential,,1954.0,,33000NANANANA,,False,False,HS,94542,363.0
265339,-122.082974416,37.6735317002,S,65.0,12700.0,Hayward,12700.0,0.0,Alameda,11636.4512283,Residential,hay2,1930.0,1.5,33000HAY2bart2NANA,bart2,True,False,MR,94541,381.0
267441,-122.090610425,37.6675744566,S,34.0,9269.0,Hayward,9269.0,0.0,Alameda,17096.2090317,Industrial,hay1,1947.0,2.66666666667,33000HAY1bart2NANA,bart2,False,True,IL,94541,381.0
270969,-122.129094654,37.6498665298,M,,29590.0,Hayward,29590.0,0.0,Alameda,112121.529488,Industrial,,1985.0,,33000NANANANA,,True,False,IW,94545,388.0
271286,-122.128777581,37.6364727115,M,,9000.0,Hayward,9000.0,0.0,Alameda,199282.90297,Industrial,,1985.0,,33000NANANANA,,True,False,IL,94545,388.0
271318,-122.125358252,37.6376342607,M,,8000.0,Hayward,8000.0,0.0,Alameda,17209.2992716,Industrial,,1980.0,,33000NANANANA,,True,False,IW,94545,388.0
