parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1971300,-122.853860319,38.6023434811,S,0.1,0.0,Healdsburg,0.0,0.0,Sonoma,80289.8735189,Vacant,,,2.33333333333,33056NANAexp1_npNA,,False,True,,95448,483.0
1971562,-122.854824692,38.6094911652,M,6.0,0.0,Healdsburg,0.0,0.0,Sonoma,55801.8929289,Vacant,,,2.33333333333,33056NANANANA,,False,True,,95448,483.0
1869954,-122.847267987,38.6115937372,M,3.0,0.0,Healdsburg,0.0,0.0,Sonoma,66507.6325885,Vacant,,,2.33333333333,33056NANANANA,,False,True,,95448,483.0
1971090,-122.848626082,38.615866933,M,3.0,0.0,Healdsburg,0.0,0.0,Sonoma,28064.0029275,Vacant,,,2.33333333333,33056NANANANA,,False,True,,95448,483.0
1972874,-122.861368958,38.6459472742,M,0.01667,0.0,Healdsburg,0.0,0.0,Sonoma,11286687.9301,Office,,1967.0,2.33333333333,33056NANANANA,,False,True,OF,95448,483.0
1971490,-122.854786123,38.6114726726,M,6.0,0.0,Healdsburg,0.0,0.0,Sonoma,34939.5234779,Vacant,,,2.33333333333,33056NANANANA,,False,True,,95448,483.0
1870331,-122.850861233,38.6105421428,M,6.0,2592.0,Healdsburg,0.0,2.0,Sonoma,4019.40290533,Residential,,1980.0,2.33333333333,33056NANANANA,,False,True,HS,95448,483.0
1871412,-122.861476652,38.6416311345,M,20.0,0.0,Healdsburg,0.0,0.0,Sonoma,6561.18362912,Office,,1967.0,2.33333333333,33056NANANANA,,False,True,OF,95448,483.0
1971235,-122.859009337,38.610798499,M,3.0,2959.0,Healdsburg,0.0,2.0,Sonoma,35806.9975832,Residential,,1933.0,2.33333333333,33056NANANANA,,False,True,HS,95448,483.0
1868312,-122.864759927,38.614448726,M,8.0,8276.00101572,Healdsburg,0.0,5.0,Sonoma,10522.1382709,Residential,,1975.0,2.33333333333,33056NANANANA,,False,True,HM,95448,483.0
1867970,-122.862917499,38.6159729618,M,6.0,0.0,Healdsburg,0.0,0.0,Sonoma,14539.5959365,Vacant,,,2.33333333333,33056NANANANA,,False,True,,95448,483.0
1868151,-122.869857551,38.6144048236,M,6.0,15200.0,Healdsburg,15200.0,0.0,Sonoma,6835.75030989,Office,,1936.0,2.33333333333,33056NANANANA,,False,True,OF,95448,483.0
1868160,-122.870352227,38.6147923461,M,6.0,7704.0,Healdsburg,7704.0,0.0,Sonoma,5813.4670533,Office,,1936.0,2.33333333333,33056NANANANA,,False,True,OF,95448,483.0
1868229,-122.867502976,38.6143770373,M,8.0,2568.0,Healdsburg,2568.0,0.0,Sonoma,9766.869421,Office,,1936.0,2.33333333333,33056NANANANA,,False,True,OF,95448,483.0
1869315,-122.850865228,38.6208239569,M,3.0,1850.0,Healdsburg,0.0,1.0,Sonoma,72298.8552723,Residential,,1959.0,2.33333333333,33056NANANANA,,False,True,HS,95448,483.0
1870809,-122.872951384,38.6084799952,S,16.0,14686.0,Healdsburg,14686.0,0.0,Sonoma,34785.9028215,Office,,1984.0,0.8,33056NANANANA,,True,True,OF,95448,483.0
1870944,-122.873011183,38.6236601511,S,16.0,4697.0,Healdsburg,4697.0,0.0,Sonoma,24967.6168495,Retail,,1987.0,0.8,33056NANANANA,,True,True,RS,95448,483.0
1971803,-122.882206841,38.6386012582,MH,1.0,2625.0,Healdsburg,0.0,1.0,Sonoma,44158.4424558,Residential,,1986.0,2.33333333333,33056NANANANA,,False,True,HS,95448,483.0
1971804,-122.882304545,38.6391057349,MH,1.0,2479.0,Healdsburg,0.0,1.0,Sonoma,51995.4491462,Residential,,1987.0,2.33333333333,33056NANANANA,,False,True,HS,95448,483.0
1971840,-122.873671438,38.6403830619,M,21.78,0.0,Healdsburg,0.0,0.0,Sonoma,133778.872305,Office,,1967.0,0.5,33056NANANANA,,False,False,OF,95448,483.0
1971854,-122.876760077,38.6364303312,M,21.78,0.0,Healdsburg,0.0,0.0,Sonoma,44225.2999747,Vacant,,,0.5,33056NANANANA,,False,False,,95448,483.0
1972892,-122.873557683,38.6341893921,M,1.0,1995.0,Healdsburg,0.0,1.0,Sonoma,57856.9392615,Residential,,1974.0,2.33333333333,33056NANANANA,,False,True,HS,95448,483.0
1868520,-122.867957334,38.6111611613,S,8.0,0.0,Healdsburg,0.0,0.0,Sonoma,10641.9854525,Vacant,,,2.33333333333,33056NANANANA,,False,True,,95448,483.0
1867992,-122.864248112,38.6164248485,M,6.0,3310.40040629,Healdsburg,0.0,2.0,Sonoma,6406.24920202,Residential,,1963.0,2.33333333333,33056NANANANA,,False,True,HS,95448,483.0
