parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
655763,-122.283777553,38.0183383684,M,43.56,0.0,Hercules,0.0,0.0,Contra Costa,24261.0235063,Vacant,her2,,1.0,33308HER2b3NANA,b3,False,False,,94547,282.0
650062,-122.278723918,38.0145806318,M,17.424,0.0,Hercules,0.0,0.0,Contra Costa,7682.35692477,Vacant,her2,,0.4,33308HER2b1NANA,b1,True,True,,94547,282.0
651720,-122.276131034,38.0160835911,M,17.424,0.0,Hercules,0.0,0.0,Contra Costa,2809.11635358,Vacant,her2,,0.4,33308HER2b1NANA,b1,True,True,,94547,282.0
666527,-122.273534983,38.0321102662,M,21.78,0.0,Hercules,0.0,0.0,Contra Costa,16444.1467025,Vacant,,,0.5,33308NAb3NANA,b3,False,False,,94547,282.0
651177,-122.278423802,38.0154191912,M,17.424,0.0,Hercules,0.0,0.0,Contra Costa,9069.1838586,Vacant,her2,,0.4,33308HER2b1NANA,b1,True,True,,94547,282.0
651166,-122.276098197,38.0155473009,M,17.424,0.0,Hercules,0.0,0.0,Contra Costa,14411.3744689,Vacant,her2,,0.4,33308HER2b1NANA,b1,True,True,,94547,282.0
651033,-122.275833113,38.015982922,M,17.424,0.0,Hercules,0.0,0.0,Contra Costa,2876.39702459,Vacant,her2,,0.4,33308HER2b1NANA,b1,True,True,,94547,282.0
639733,-122.250567557,38.0092602157,H,7.0,4656.0,Hercules,0.0,2.0,Contra Costa,6132.05923818,Residential,,1982.0,2.33333333333,33308NANANANA,,False,True,HS,94547,282.0
640029,-122.270599285,38.0080536275,MH,43.56,122066.0,Hercules,122066.0,0.0,Contra Costa,262151.01413,Retail,,1989.0,1.0,33308NAb2NANA,b2,True,False,RS,94547,282.0
642795,-122.256355657,38.0104365721,H,7.0,2432.0,Hercules,0.0,2.0,Contra Costa,7993.77761338,Residential,,1980.0,2.33333333333,33308NANANANA,,False,True,HS,94547,282.0
652693,-122.28964811,38.016754247,M,12.0,0.0,Hercules,0.0,0.0,Contra Costa,9737.41426463,Vacant,her2,,3.0,33308HER2NANANA,,False,True,,94547,282.0
650571,-122.286525232,38.0131616217,M,12.0,246654.0,Hercules,0.0,193.0,Contra Costa,74756.3886732,Residential,,1987.0,3.0,33308NAb2NANA,b2,False,True,HM,94547,282.0
638408,-122.279894879,38.0081789508,M,30.0,8535.0,Hercules,0.0,5.0,Contra Costa,6195.88321037,Residential,,1993.0,4.0,33308NAb3NANA,b3,False,True,HS,94547,282.0
635871,-122.280684174,38.0070926324,M,30.0,7405.0,Hercules,0.0,5.0,Contra Costa,6184.53885711,Residential,,1992.0,4.0,33308NAb2NANA,b2,False,True,HS,94547,282.0
639587,-122.279760347,38.0087257016,M,30.0,7405.0,Hercules,0.0,5.0,Contra Costa,6096.25278224,Residential,,1992.0,4.0,33308NAb2NANA,b2,False,True,HS,94547,282.0
650053,-122.257566041,38.0147814882,MH,12.0,20902.0,Hercules,0.0,14.0,Contra Costa,30982.8176214,Residential,,1987.0,3.0,33308NANANANA,,False,True,HS,94547,282.0
640756,-122.281356675,38.0091080193,M,30.0,17934.0,Hercules,0.0,14.0,Contra Costa,18553.5745841,Residential,,1991.0,4.0,33308NAb2NANA,b2,False,True,HM,94547,282.0
612181,-122.264396107,37.9974730592,MH,7.0,0.0,Hercules,0.0,0.0,Contra Costa,1603.55955932,Vacant,,,2.33333333333,33308NANANANA,,False,True,,94547,282.0
612623,-122.241026587,37.9977225479,H,7.0,4342.0,Hercules,0.0,2.0,Contra Costa,9366.07500279,Residential,,1992.0,2.33333333333,33308NANANANA,,False,True,HS,94547,282.0
631500,-122.239898117,38.005677498,H,7.0,4656.0,Hercules,0.0,2.0,Contra Costa,13487.1643455,Residential,,1983.0,2.33333333333,33308NANANANA,,False,True,HS,94547,282.0
638035,-122.282050866,38.0077298372,M,30.0,0.0,Hercules,0.0,0.0,Contra Costa,26845.4669852,Vacant,,,4.0,33308NAb2NANA,b2,False,True,,94547,282.0
652681,-122.258253466,38.0170558143,MH,12.0,0.0,Hercules,0.0,0.0,Contra Costa,16518.2988009,Vacant,,,3.0,33308NANANANA,,False,True,,94547,282.0
659415,-122.271655411,38.0222058607,M,43.56,0.0,Hercules,0.0,0.0,Contra Costa,172091.727222,Parking,wcc1_g,1971.0,1.0,33308WCC1_gb1NANA,b1,False,False,PA2,94547,282.0
662930,-122.26501868,38.0237483954,M,21.78,0.0,Hercules,0.0,0.0,Contra Costa,364369.987015,Vacant,,,0.5,33308NAb3NANA,b3,True,False,,94547,282.0
603731,-122.238754134,37.9948998785,H,7.0,6903.0,Hercules,0.0,3.0,Contra Costa,6633.04036822,Residential,,1993.0,2.33333333333,33308NANANANA,,False,True,HS,94547,282.0
609132,-122.242300955,37.9966128997,H,7.0,4602.0,Hercules,0.0,2.0,Contra Costa,8122.78887007,Residential,,1992.0,2.33333333333,33308NANANANA,,False,True,HS,94547,282.0
610275,-122.261660297,37.9965248878,MH,,0.0,Hercules,0.0,0.0,Contra Costa,93734.7155972,Vacant,,,,33308NANANANA,,False,False,,94547,282.0
623106,-122.242431127,38.0018400298,H,7.0,5196.0,Hercules,0.0,2.0,Contra Costa,7595.30880901,Residential,,1993.0,2.33333333333,33308NANANANA,,False,True,HS,94547,282.0
628919,-122.257033258,38.0042090925,MH,7.0,3162.0,Hercules,0.0,2.0,Contra Costa,11769.788322,Residential,,1978.0,2.33333333333,33308NANANANA,,False,True,HS,94547,282.0
630764,-122.242637968,38.0054490926,H,7.0,2878.0,Hercules,0.0,2.0,Contra Costa,8242.24928092,Residential,,1982.0,2.33333333333,33308NANANANA,,False,True,HS,94547,282.0
631023,-122.26802901,38.0050111024,MH,7.0,2754.0,Hercules,0.0,2.0,Contra Costa,17236.0540332,Residential,,1979.0,2.33333333333,33308NANANANA,,False,True,HS,94547,282.0
643035,-122.278661948,38.0101942339,M,30.0,0.0,Hercules,0.0,0.0,Contra Costa,10386.211405,Vacant,,,4.0,33308NAb2NANA,b2,False,True,,94547,282.0
644884,-122.278890102,38.0106600705,M,30.0,0.0,Hercules,0.0,2.0,Contra Costa,18239.4631791,Parking,,1991.0,4.0,33308NAb2NANA,b2,False,True,PA2,94547,282.0
652821,-122.257693001,38.016915829,MH,12.0,0.0,Hercules,0.0,0.0,Contra Costa,31078.1034669,Vacant,,,3.0,33308NANANANA,,False,True,,94547,282.0
605915,-122.245965564,37.9951726813,H,12.0,45864.0,Hercules,0.0,36.0,Contra Costa,124090.438718,Residential,,1993.0,3.0,33308NANANANA,,False,True,HS,94547,282.0
640413,-122.278822807,38.0090770723,M,30.0,7405.0,Hercules,0.0,5.0,Contra Costa,5873.47305021,Residential,,1991.0,4.0,33308NAb2NANA,b2,False,True,HS,94547,282.0
641187,-122.279044221,38.0093978963,M,30.0,7405.0,Hercules,0.0,5.0,Contra Costa,5919.18565174,Residential,,1992.0,4.0,33308NAb2NANA,b2,False,True,HS,94547,282.0
602849,-122.263427481,37.9940841952,H,7.0,4550.0,Hercules,0.0,2.0,Contra Costa,11048.1385726,Residential,,1992.0,2.33333333333,33308NANANANA,,False,True,HS,94547,282.0
635663,-122.263300483,38.0064627003,MH,12.0,0.0,Hercules,0.0,0.0,Contra Costa,37959.2227346,Vacant,,,3.0,33308NANANANA,,False,True,,94547,282.0
637928,-122.282300377,38.0079218817,M,30.0,0.0,Hercules,0.0,0.0,Contra Costa,14988.3154491,Vacant,,,4.0,33308NAb2NANA,b2,False,True,,94547,282.0
647757,-122.29269869,38.0124741752,M,7.0,0.0,Hercules,0.0,0.0,Contra Costa,568.179219126,Vacant,,,2.33333333333,33308NAb2NANA,b2,False,True,,94547,282.0
641102,-122.251956654,38.0097609253,H,7.0,4656.0,Hercules,0.0,2.0,Contra Costa,7719.05063817,Residential,,1983.0,2.33333333333,33308NANANANA,,False,True,HS,94547,282.0
651966,-122.258179427,38.0165138212,MH,12.0,0.0,Hercules,0.0,0.0,Contra Costa,13936.7191089,Vacant,,,3.0,33308NANANANA,,False,True,,94547,282.0
634763,-122.281850735,38.0065279148,M,30.0,0.0,Hercules,0.0,0.0,Contra Costa,12743.8520295,Vacant,,,4.0,33308NAb2NANA,b2,False,True,,94547,282.0
651850,-122.257572638,38.0166178652,MH,12.0,0.0,Hercules,0.0,0.0,Contra Costa,580.762638373,Vacant,,,3.0,33308NANANANA,,False,True,,94547,282.0
654614,-122.259096735,38.0187624269,MH,12.0,11448.0,Hercules,0.0,12.0,Contra Costa,4992.87436658,Residential,,1987.0,3.0,33308NANANANA,,False,True,HS,94547,282.0
635950,-122.281897882,38.0071770073,M,30.0,0.0,Hercules,0.0,0.0,Contra Costa,9978.77410833,Vacant,,,4.0,33308NAb2NANA,b2,False,True,,94547,282.0
609925,-122.24324986,37.9968529405,H,7.0,4342.0,Hercules,0.0,2.0,Contra Costa,6672.56328049,Residential,,1992.0,2.33333333333,33308NANANANA,,False,True,HS,94547,282.0
619656,-122.267932913,38.0001218784,MH,7.0,3970.0,Hercules,0.0,2.0,Contra Costa,8520.30564975,Residential,,1980.0,2.33333333333,33308NANANANA,,False,True,HS,94547,282.0
621859,-122.236453974,38.0017229182,H,7.0,5196.0,Hercules,0.0,2.0,Contra Costa,7507.50396829,Residential,,1993.0,2.33333333333,33308NANANANA,,False,True,HS,94547,282.0
639122,-122.283501349,38.0083594794,M,30.0,0.0,Hercules,0.0,0.0,Contra Costa,8726.74780926,Vacant,,,4.0,33308NAb2NANA,b2,False,True,,94547,282.0
661369,-122.267259021,38.0242880831,M,21.78,0.0,Hercules,0.0,0.0,Contra Costa,5469.92038144,Vacant,,,0.5,33308NAb3NANA,b3,True,False,,94547,282.0
629325,-122.269180317,38.0042467673,MH,7.0,2750.0,Hercules,0.0,2.0,Contra Costa,14367.2586229,Residential,,1979.0,2.33333333333,33308NANANANA,,False,True,HS,94547,282.0
602769,-122.238096692,37.9947201388,H,7.0,3454.0,Hercules,0.0,2.0,Contra Costa,7203.93018908,Residential,,1993.0,2.33333333333,33308NANANANA,,False,True,HS,94547,282.0
656301,-122.261796662,38.0198244011,MH,12.0,20034.0,Hercules,0.0,21.0,Contra Costa,10758.8892938,Residential,,1989.0,3.0,33308NANANANA,,False,True,HM,94547,282.0
635825,-122.282619312,38.0070828276,M,30.0,10016.0,Hercules,0.0,8.0,Contra Costa,4524.05380388,Residential,,1988.0,4.0,33308NAb2NANA,b2,False,True,HS,94547,282.0
643961,-122.273973432,38.0149344538,M,17.424,0.0,Hercules,0.0,0.0,Contra Costa,456599.432568,Vacant,her2,,0.4,33308HER2b1NANA,b1,True,True,,94547,282.0
644136,-122.27982267,38.0230576485,M,43.56,54863.0,Hercules,54863.0,0.0,Contra Costa,967516.496967,Industrial,,1986.0,1.0,33308NANANANA,,False,False,IL,94547,282.0
648006,-122.29107136,38.012583894,M,7.0,0.0,Hercules,0.0,0.0,Contra Costa,1065.03363886,Vacant,,,2.33333333333,33308NAb2NANA,b2,False,True,,94547,282.0
651093,-122.255107239,38.0151374259,MH,30.0,71219.0,Hercules,0.0,84.0,Contra Costa,153544.084337,Residential,,1987.0,4.0,33308NANANANA,,False,True,HM,94547,282.0
657376,-122.273706102,38.0200900542,M,43.56,0.0,Hercules,0.0,0.0,Contra Costa,197848.901157,Parking,,1971.0,1.0,33308NAb1NANA,b1,False,False,PA2,94547,282.0
643769,-122.25778369,38.0141698952,MH,12.0,0.0,Hercules,0.0,0.0,Contra Costa,19266.7747296,Vacant,,,3.0,33308NANANANA,,False,True,,94547,282.0
617816,-122.240833292,37.999849121,H,7.0,0.0,Hercules,0.0,0.0,Contra Costa,47.9911911803,Vacant,,,2.33333333333,33308NANANANA,,False,True,,94547,282.0
630361,-122.260343243,38.0046732951,MH,12.0,0.0,Hercules,0.0,0.0,Contra Costa,56505.6128795,Vacant,,,3.0,33308NANANANA,,False,True,,94547,282.0
638545,-122.283193781,38.0079763782,M,30.0,0.0,Hercules,0.0,0.0,Contra Costa,33869.1078036,Vacant,,,4.0,33308NAb2NANA,b2,False,True,,94547,282.0
638817,-122.277384356,38.0072775445,M,30.0,0.0,Hercules,0.0,0.0,Contra Costa,39209.162322,Vacant,,,4.0,33308NAb2NANA,b2,False,True,,94547,282.0
636325,-122.279070654,38.0072367463,M,30.0,0.0,Hercules,0.0,0.0,Contra Costa,3303.9063898,Vacant,,,4.0,33308NAb3NANA,b3,False,True,,94547,282.0
605590,-122.244799981,37.9950892426,H,12.0,42042.0,Hercules,0.0,33.0,Contra Costa,126570.213517,Residential,,1993.0,3.0,33308NANANANA,,False,True,HS,94547,282.0
636685,-122.282927092,38.0074247351,M,30.0,13118.0,Hercules,0.0,14.0,Contra Costa,6386.38652648,Residential,,1989.0,4.0,33308NAb2NANA,b2,False,True,HS,94547,282.0
608129,-122.241122906,37.9963553878,H,7.0,8079.0,Hercules,0.0,3.0,Contra Costa,7715.12069018,Residential,,1992.0,2.33333333333,33308NANANANA,,False,True,HS,94547,282.0
647087,-122.293017814,38.0117293574,M,7.0,0.0,Hercules,0.0,0.0,Contra Costa,5321.02437341,Vacant,,,2.33333333333,33308NAb2NANA,b2,False,True,,94547,282.0
649738,-122.288972673,38.0138731586,M,7.0,0.0,Hercules,0.0,0.0,Contra Costa,25431.3256683,Vacant,,,2.33333333333,33308NAb2NANA,b2,False,True,,94547,282.0
658651,-122.270680821,38.0221781044,M,43.56,0.0,Hercules,0.0,0.0,Contra Costa,228.726043996,Vacant,wcc1_g,,1.0,33308WCC1_gb1NANA,b1,False,False,,94547,282.0
