parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1133530,-122.354255026,37.5321395863,M,2.0,0.0,Hillsborough,0.0,0.0,San Mateo,145383.397663,Vacant,,,0.25,33798NANANANA,,False,True,,94010,1061.0
1114919,-122.364752862,37.5587502362,M,2.0,2530.0,Hillsborough,0.0,1.0,San Mateo,85309.3952656,Residential,,1959.0,0.25,33798NANANANA,,False,True,HS,94010,1061.0
1114950,-122.365267364,37.5565826621,M,2.0,11040.0,Hillsborough,0.0,1.0,San Mateo,111307.684767,Residential,,1953.0,0.25,33798NANANANA,,False,True,HS,94010,1061.0
1116417,-122.346752156,37.55488698,M,2.0,0.0,Hillsborough,0.0,0.0,San Mateo,4489.29588516,Vacant,,,0.25,33798NANANANA,,False,True,,94010,1061.0
1116055,-122.351970216,37.5583221849,M,2.0,4360.0,Hillsborough,0.0,1.0,San Mateo,63208.2096917,Residential,,1940.0,0.25,33798NANANANA,,False,True,HS,94010,1061.0
1116382,-122.343434217,37.5564455064,M,2.0,0.0,Hillsborough,0.0,0.0,San Mateo,43466.9640686,Vacant,,,0.25,33798NANANANA,,False,True,,94010,1061.0
1111935,-122.370457967,37.5662192523,M,,0.0,Hillsborough,0.0,0.0,San Mateo,82006.1575322,Vacant,,,,33798NANANANA,,False,False,,94010,1061.0
1112127,-122.373625356,37.5614535286,M,2.0,1945.37009674,Hillsborough,0.0,1.0,San Mateo,48578.8546307,Residential,,1964.0,0.25,33798NANANANA,,False,True,HS,94010,1061.0
1133454,-122.337240375,37.5400101019,M,,0.0,Hillsborough,0.0,0.0,San Mateo,442865.541185,Vacant,,,,33798NANANANA,,False,False,,94010,1061.0
1133456,-122.340932356,37.5408203207,M,,0.0,Hillsborough,0.0,0.0,San Mateo,37959.9456524,Vacant,,,,33798NANANANA,,False,False,,94010,1061.0
1110999,-122.370144296,37.5717816745,M,2.0,1945.37009674,Hillsborough,0.0,1.0,San Mateo,48294.641068,Residential,,1964.0,0.25,33798NANANANA,,False,True,HS,94010,1061.0
1110545,-122.387352011,37.568358892,M,2.0,1945.37009674,Hillsborough,0.0,1.0,San Mateo,65799.0255603,Residential,,1964.0,0.25,33798NANANANA,,False,True,HS,94010,1061.0
1133528,-122.349621234,37.5359859562,M,2.0,5750.0,Hillsborough,0.0,1.0,San Mateo,51620.9054479,Residential,,1977.0,0.25,33798NANANANA,,False,True,HS,94010,1061.0
1133738,-122.350748123,37.5467482768,M,2.0,0.0,Hillsborough,0.0,0.0,San Mateo,95261.3414624,Vacant,,,0.25,33798NANANANA,,False,True,,94010,1061.0
1110853,-122.371772928,37.5803195282,M,,0.0,Hillsborough,0.0,0.0,San Mateo,736.28567005,Vacant,,,,33798NAbrt2NANA,brt2,False,False,,94010,1061.0
1110852,-122.3715838,37.5800549905,M,8.0,0.0,Hillsborough,0.0,0.0,San Mateo,1957.84604321,Vacant,,,2.0,33798NAbrt2NANA,brt2,False,True,,94010,1061.0
