parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
407164,-122.11626739,37.9173333317,MH,0.1,0.0,Lafayette,0.0,0.0,Contra Costa,87648.020015,Vacant,,,,39122NANANANA,,False,False,,94549,606.0
703909,-122.093243945,37.8737001096,M,6.0,10832.0,Lafayette,10832.0,0.0,Contra Costa,113915.720736,Office,,1960.0,,39122NANANANA,,False,True,OF,94549,606.0
443769,-122.108386742,37.9352690145,MH,0.1,0.0,Lafayette,0.0,0.0,Contra Costa,169309.405713,Vacant,,,,39122NANANANA,,False,False,,94549,606.0
709333,-122.098966853,37.8821878035,M,2.0,3569.0,Lafayette,0.0,1.0,Contra Costa,97293.8332618,Residential,,1965.0,,39122NANANANA,,False,True,HS,94549,606.0
727199,-122.156422935,37.8996785542,MH,2.0,0.0,Lafayette,0.0,0.0,Contra Costa,104216.548785,Vacant,,,,39122NANANANA,,False,True,,94549,606.0
708476,-122.098282135,37.8821895761,M,2.0,3392.0,Lafayette,0.0,1.0,Contra Costa,44016.8501555,Residential,,1979.0,,39122NANANANA,,False,True,HS,94549,606.0
726396,-122.122939189,37.8999170805,MH,6.0,0.0,Lafayette,0.0,0.0,Contra Costa,276.100972678,Vacant,,,,39122NAbart3NANA,bart3,False,True,,94549,606.0
715778,-122.131212687,37.8883089101,MH,17.0,0.0,Lafayette,0.0,0.0,Contra Costa,13052.1076533,Residential,,1951.0,,39122NAbart3NANA,bart3,False,True,HM,94549,606.0
720998,-122.098694089,37.8937510928,M,6.0,1910.0,Lafayette,0.0,1.0,Contra Costa,70243.5027741,Residential,,1959.0,,39122NANANANA,,False,True,HS,94549,606.0
719369,-122.121626279,37.8919107105,MH,21.78,0.0,Lafayette,0.0,0.0,Contra Costa,2795.17593652,Parking,laf1,1963.0,0.5,39122LAF1bart3NANA,bart3,True,True,PA2,94549,606.0
727415,-122.126042974,37.9002481463,MH,2.0,3896.0,Lafayette,0.0,1.0,Contra Costa,46994.3490365,Residential,,1959.0,,39122NANANANA,,False,True,HS,94549,606.0
734938,-122.149156345,37.9049969789,MH,2.0,3440.0,Lafayette,0.0,1.0,Contra Costa,50146.0700559,Residential,,1951.0,,39122NANANANA,,False,True,HS,94549,606.0
735029,-122.161731541,37.905510789,MH,2.0,2970.0,Lafayette,0.0,1.0,Contra Costa,179176.311659,Residential,,1953.0,,39122NANANANA,,False,True,HS,94549,606.0
735631,-122.158755947,37.9059392784,MH,2.0,0.0,Lafayette,0.0,1.0,Contra Costa,89691.3212747,Parking,,1968.0,,39122NANANANA,,False,True,PA2,94549,606.0
