parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
764586,-122.514052466,37.9415176106,M,14.0,0.0,Larkspur,0.0,0.0,Marin,2852.39112777,Vacant,,,,40438NAb2NANA,b2,False,True,,94904,766.0
764323,-122.534364469,37.9406879667,M,21.0,0.0,Larkspur,0.0,0.0,Marin,701.745964197,Office,,1973.0,0.6,40438NAb3NANA,b3,False,True,OF,94939,743.0
763189,-122.531269918,37.9460820479,M,21.0,40588.4850085,Larkspur,0.0,20.0,Marin,23727.1101715,Residential,,1968.0,0.6,40438NAb3NANA,b3,False,True,HM,94904,766.0
760816,-122.509842073,37.9491811801,M,15.246,0.0,Larkspur,0.0,0.0,Marin,31907.522023,Vacant,,,0.35,40438NAcr4NANA,cr4,False,False,,94939,743.0
763119,-122.530593648,37.9424458275,M,5.0,4058.84850085,Larkspur,0.0,2.0,Marin,10693.0229585,Residential,,1963.0,0.4,40438NAb3NANA,b3,False,True,HM,94939,743.0
761121,-122.549423021,37.9504067682,M,5.0,2324.0,Larkspur,2324.0,0.0,Marin,14467.841327,Office,,1956.0,0.4,40438NAb2NANA,b2,False,True,OF,94904,766.0
761438,-122.543660998,37.9433702304,M,21.0,164383.364284,Larkspur,0.0,81.0,Marin,144328.784869,Residential,,1963.0,0.6,40438NAb3NANA,b3,False,True,HM,94939,743.0
761441,-122.540827949,37.9416717671,M,5.0,2029.42425042,Larkspur,0.0,1.0,Marin,963271.736115,Residential,,1988.0,0.4,40438NAb3NANA,b3,False,True,HS,94939,743.0
761190,-122.546817366,37.947446011,M,17.424,4005.0,Larkspur,4005.0,0.0,Marin,14252.7609909,Retail,,1966.0,0.4,40438NAb3NANA,b3,True,False,RS,94939,743.0
761414,-122.540064013,37.9441726833,M,15.246,63569.0,Larkspur,63569.0,0.0,Marin,100827.298807,Office,,1971.0,0.35,40438NAb3NANA,b3,False,False,OF,94939,743.0
763043,-122.531946488,37.9488972783,M,21.0,48706.1820102,Larkspur,0.0,24.0,Marin,46487.320258,Residential,,1968.0,0.6,40438NAb3NANA,b3,False,True,HM,94904,766.0
