parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
229116,-121.79562029,37.6553791331,M,2.0,0.0,Livermore,0.0,0.0,Alameda,146385.616246,Vacant,,,,41992NANANANA,,False,True,,94550,422.0
244166,-121.713003932,37.7172768076,H,3.0,0.0,Livermore,0.0,0.0,Alameda,56385.5745984,Vacant,,,,41992NANANANA,,False,True,,94551,428.0
233416,-121.764649779,37.6607331044,M,2.0,0.0,Livermore,0.0,0.0,Alameda,98560.6943795,Vacant,,,,41992NANANANA,,False,True,,94550,422.0
233877,-121.755489123,37.6637636477,M,3.5,0.0,Livermore,0.0,0.0,Alameda,621568.604581,Vacant,,,,41992NANANANA,,False,True,,94550,422.0
233875,-121.752781804,37.664291884,M,3.5,0.0,Livermore,0.0,0.0,Alameda,182403.462373,Vacant,,,,41992NANANANA,,False,True,,94550,422.0
241994,-121.719887818,37.6866382775,MH,3.0,0.0,Livermore,0.0,0.0,Alameda,208603.648651,Vacant,,,,41992NANANANA,,False,True,,94550,422.0
227671,-121.777294293,37.6941570411,M,55.0,0.0,Livermore,0.0,0.0,Alameda,101951.384753,Vacant,,,,41992NANANANA,,False,True,,94551,428.0
228818,-121.800241433,37.661333433,M,3.0,0.0,Livermore,0.0,0.0,Alameda,109175.473486,Vacant,,,,41992NANANANA,,False,True,,94550,422.0
237470,-121.793036999,37.6533271985,M,2.0,0.0,Livermore,0.0,0.0,Alameda,245872.437566,Vacant,,,,41992NANANANA,,False,True,,94550,422.0
228043,-121.7938103,37.6794766344,M,4.5,0.0,Livermore,0.0,0.0,Alameda,141298.20212,Vacant,,,,41992NAb3NANA,b3,False,True,,94551,428.0
244249,-121.713059262,37.7222807074,H,,0.0,Livermore,0.0,0.0,Alameda,265031.798067,Vacant,,,,41992NANANANA,,False,False,,94551,428.0
228885,-121.803456925,37.6635969028,M,3.0,0.0,Livermore,0.0,0.0,Alameda,126573.805467,Vacant,,,,41992NANANANA,,False,True,,94550,422.0
243512,-121.716148284,37.7205814422,H,3.0,0.0,Livermore,0.0,0.0,Alameda,76091.7741429,Vacant,,,,41992NANANANA,,False,True,,94551,428.0
227806,-121.776899849,37.6950265072,M,55.0,0.0,Livermore,0.0,0.0,Alameda,68295.6443626,Vacant,,,,41992NANANANA,,False,True,,94551,428.0
219192,-121.778483086,37.6777125302,M,6.0,2728.0,Livermore,0.0,2.0,Alameda,5000.09287816,Residential,,1956.0,,41992NAb2NANA,b2,False,True,HS,94550,422.0
243514,-121.722857695,37.7215298097,H,4.5,0.0,Livermore,0.0,0.0,Alameda,231024.403904,Vacant,,,,41992NANANANA,,False,True,,94551,428.0
228782,-121.802931826,37.6616755187,M,3.0,0.0,Livermore,0.0,0.0,Alameda,240037.531138,Vacant,,,,41992NANANANA,,False,True,,94550,422.0
245904,-121.712617866,37.728673488,H,2.0,0.0,Livermore,0.0,0.0,Alameda,291906.940935,Vacant,,,,41992NANANANA,,False,True,,94551,428.0
221657,-121.765703515,37.6853187907,M,130.68,0.0,Livermore,0.0,0.0,Alameda,175.989492315,Vacant,liv1,,3.0,41992LIV1b2NANA,b2,True,True,,94550,422.0
226628,-121.734456201,37.7113467515,MH,6.0,1196.0,Livermore,1196.0,0.0,Alameda,5909.47457076,Residential,,1971.0,,41992NANANANA,,False,True,HS,94551,428.0
227038,-121.735896161,37.71186225,MH,6.0,1392.0,Livermore,1392.0,0.0,Alameda,6143.80347645,Residential,,1963.0,,41992NANANANA,,False,True,HS,94551,428.0
225306,-121.758371672,37.6766851374,M,13.068,67037.0,Livermore,67037.0,0.0,Alameda,133085.694299,Retail,,1961.0,0.3,41992NANANANA,,True,True,RS,94550,422.0
234215,-121.746158336,37.682360269,M,4.5,3136.0,Livermore,0.0,2.0,Alameda,7197.59613319,Residential,,1963.0,,41992NANANANA,,False,True,HS,94550,422.0
235920,-121.749572525,37.7109669736,MH,6.0,1110.0,Livermore,1110.0,0.0,Alameda,5674.94329874,Residential,,1986.0,,41992NANANANA,,False,True,HS,94551,428.0
237628,-121.779666897,37.6949845141,M,55.0,0.0,Livermore,0.0,0.0,Alameda,432.001263235,Vacant,,,,41992NANANANA,,False,True,,94551,428.0
239092,-121.726802783,37.6893777564,MH,4.5,2028.0,Livermore,2028.0,0.0,Alameda,7739.92639517,Residential,,1971.0,,41992NANANANA,,False,True,HS,94550,422.0
218790,-121.765417145,37.6785194515,M,6.0,2520.0,Livermore,0.0,2.0,Alameda,7670.05329425,Residential,,1961.0,,41992NAb2NANA,b2,False,True,HS,94550,422.0
220349,-121.778919545,37.6634095205,M,4.5,2052.0,Livermore,0.0,2.0,Alameda,8400.05018984,Residential,,1976.0,,41992NANANANA,,False,True,HS,94550,422.0
221741,-121.763117899,37.6867666986,M,55.0,3849.0,Livermore,0.0,4.0,Alameda,8779.25637887,Residential,,1967.0,,41992NAb2NANA,b2,False,True,HM,94551,428.0
221921,-121.762372263,37.6903023634,M,4.5,4140.0,Livermore,0.0,2.0,Alameda,6912.65240068,Residential,,1959.0,,41992NANANANA,,False,True,HS,94551,428.0
222083,-121.780990534,37.6817044556,M,6.0,1964.0,Livermore,0.0,2.0,Alameda,5000.07232967,Residential,,1953.0,,41992NAb3NANA,b3,False,True,HS,94551,428.0
222092,-121.780667667,37.6827516227,M,6.0,1698.0,Livermore,0.0,2.0,Alameda,5000.06281129,Residential,,1953.0,,41992NAb3NANA,b3,False,True,HM,94551,428.0
219210,-121.777645666,37.6787115399,M,130.68,7120.0,Livermore,7120.0,0.0,Alameda,15000.256593,Retail,liv1,1975.0,3.0,41992LIV1b2NANA,b2,True,True,RS,94550,422.0
219239,-121.782556132,37.6732580225,M,4.5,0.0,Livermore,0.0,0.0,Alameda,15000.3210056,Vacant,,,,41992NAb3NANA,b3,False,True,,94550,422.0
220217,-121.770968618,37.6661566744,M,4.5,3946.0,Livermore,0.0,2.0,Alameda,7000.59939921,Residential,,1973.0,,41992NANANANA,,False,True,HS,94550,422.0
220977,-121.761693575,37.6848656482,M,130.68,0.0,Livermore,0.0,0.0,Alameda,164.013423698,Vacant,liv1,,3.0,41992LIV1b2NANA,b2,True,True,,94550,422.0
224669,-121.776008674,37.680207323,M,130.68,6675.0,Livermore,6675.0,0.0,Alameda,14824.1489618,Retail,liv1,1956.0,3.0,41992LIV1b2NANA,b2,True,True,RS,94550,422.0
227053,-121.740194554,37.7155730464,MH,,1392.0,Livermore,1392.0,0.0,Alameda,6842.95989151,Residential,,1963.0,,41992NANANANA,,False,False,HS,94551,428.0
227615,-121.78538073,37.6968968563,M,13.068,0.0,Livermore,0.0,0.0,Alameda,23925.6056341,Vacant,liv3,,0.3,41992LIV3NANANA,,True,False,,94551,428.0
238694,-121.730092787,37.6906707769,MH,4.5,1507.0,Livermore,1507.0,0.0,Alameda,6199.99074122,Residential,,1972.0,,41992NANANANA,,False,True,HS,94550,422.0
238229,-121.764570542,37.670121589,M,4.5,0.0,Livermore,0.0,0.0,Alameda,43628.6785382,Vacant,,,,41992NANANANA,,False,False,,94550,422.0
241061,-121.737576534,37.6896481588,MH,6.0,1769.0,Livermore,1769.0,0.0,Alameda,3042.10716441,Residential,,1991.0,,41992NANANANA,,False,True,HS,94550,422.0
242706,-121.726985381,37.7103766102,MH,4.5,5646.0,Livermore,0.0,3.0,Alameda,8806.19643116,Residential,,1990.0,,41992NANANANA,,False,True,HS,94551,428.0
244680,-121.725248154,37.7032938597,MH,130.68,0.0,Livermore,0.0,0.0,Alameda,65998.3022774,Vacant,,,3.0,41992NANANANA,,False,False,,94551,428.0
244537,-121.713570524,37.7026430239,H,130.68,234240.0,Livermore,234240.0,0.0,Alameda,477475.084258,Industrial,liv2,1991.0,3.0,41992LIV2NANANA,,False,False,IW,94550,422.0
227807,-121.774762761,37.6940000456,M,55.0,0.0,Livermore,0.0,0.0,Alameda,78159.4947353,Vacant,,,,41992NANANANA,,False,True,,94551,428.0
232483,-121.773359902,37.656166905,M,2.0,0.0,Livermore,0.0,0.0,Alameda,42193.5975498,Vacant,,,,41992NANANANA,,False,True,,94550,422.0
227028,-121.737386252,37.7129509433,MH,6.0,1280.0,Livermore,1280.0,0.0,Alameda,6006.00750576,Residential,,1963.0,,41992NANANANA,,False,True,HS,94551,428.0
222434,-121.78081652,37.6888079406,M,6.0,1760.0,Livermore,0.0,2.0,Alameda,5000.05091573,Residential,,1952.0,,41992NANANANA,,False,True,HM,94551,428.0
219152,-121.776604284,37.6755881369,M,6.0,2672.0,Livermore,0.0,4.0,Alameda,5040.1297447,Residential,,1963.0,,41992NAb2NANA,b2,False,True,HM,94550,422.0
220317,-121.771244892,37.6674983739,M,4.5,5670.0,Livermore,0.0,3.0,Alameda,7340.11438811,Residential,,1974.0,,41992NANANANA,,False,True,HS,94550,422.0
225336,-121.757274191,37.6802796052,M,55.0,3619.5,Livermore,0.0,3.0,Alameda,8570.01833692,Residential,,1972.0,,41992NANANANA,,False,True,HS,94550,422.0
225528,-121.755392701,37.6823007847,M,6.0,2068.0,Livermore,0.0,2.0,Alameda,7450.58081566,Residential,,1956.0,,41992NANANANA,,False,True,HS,94550,422.0
226515,-121.742941545,37.7092001846,MH,6.0,2790.0,Livermore,0.0,2.0,Alameda,2591.86312367,Residential,,1985.0,,41992NANANANA,,False,True,HM,94551,428.0
226611,-121.734647076,37.7127676085,MH,6.0,1262.0,Livermore,1262.0,0.0,Alameda,6456.16114775,Residential,,1965.0,,41992NANANANA,,False,True,HS,94551,428.0
227079,-121.737635532,37.7145743401,MH,,1196.0,Livermore,1196.0,0.0,Alameda,5500.08822295,Residential,,1971.0,,41992NANANANA,,False,False,HS,94551,428.0
227061,-121.738926524,37.714927275,MH,,1392.0,Livermore,1392.0,0.0,Alameda,9047.52549051,Residential,,1963.0,,41992NANANANA,,False,False,HS,94551,428.0
227243,-121.759268858,37.687109071,M,13.068,30720.0,Livermore,30720.0,0.0,Alameda,58887.6571582,Industrial,,1982.0,0.3,41992NANANANA,,True,False,IW,94551,428.0
231134,-121.788470241,37.6630515842,M,4.5,0.0,Livermore,0.0,0.0,Alameda,6001.42268133,Residential,,1968.0,,41992NANANANA,,False,True,HS,94550,422.0
235676,-121.730860944,37.7082234322,MH,6.0,3090.0,Livermore,0.0,2.0,Alameda,5034.67019384,Residential,,1980.0,,41992NANANANA,,False,True,HS,94551,428.0
