parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1337906,-122.136709151,37.3678648474,MH,1.0,3983.0,Los Altos Hills,0.0,1.0,Santa Clara,43851.8251812,Residential,,1968.0,0.13774104,43294NANANANA,,False,False,HS,94022,1251.0
1336158,-122.13041863,37.3888440361,MH,1.0,2209.0,Los Altos Hills,0.0,1.0,Santa Clara,48326.5712684,Residential,,1959.0,0.13774104,43294NANANANA,,False,False,HS,94022,1251.0
1337876,-122.143805096,37.3701968101,MH,1.0,3148.0,Los Altos Hills,0.0,1.0,Santa Clara,50812.6858746,Residential,,1972.0,2.13333333333,43294NANANANA,,False,False,HS,94022,1251.0
1337981,-122.163897309,37.3827716487,MH,1.0,2959.0,Los Altos Hills,0.0,1.0,Santa Clara,119932.072603,Residential,,1952.0,0.13774104,43294NANANANA,,False,False,HS,94022,1251.0
1336883,-122.122827012,37.372793441,MH,1.0,4294.0,Los Altos Hills,0.0,1.0,Santa Clara,45527.5006183,Residential,,1989.0,0.13774104,43294NANANANA,,False,False,HS,94022,1251.0
1338615,-122.167075943,37.3934845607,MH,1.0,6372.0,Los Altos Hills,0.0,2.0,Santa Clara,46905.3122838,Residential,,1969.0,0.13774104,43294NANANANA,,False,False,HS,94304,0.0
1339049,-122.164383102,37.3794757579,MH,1.0,2887.0,Los Altos Hills,0.0,1.0,Santa Clara,124080.775447,Residential,,1979.0,0.13774104,43294NANANANA,,False,False,HS,94022,1251.0
1337316,-122.146221167,37.3828750744,MH,1.0,0.0,Los Altos Hills,0.0,0.0,Santa Clara,236.709199557,Vacant,,,0.13774104,43294NANANANA,,False,False,,94022,1251.0
1337530,-122.138935694,37.3842705778,MH,1.0,0.0,Los Altos Hills,0.0,0.0,Santa Clara,26697.4654718,Vacant,,,0.13774104,43294NANANANA,,False,False,,94022,1251.0
1337860,-122.15210687,37.3758171614,MH,1.0,0.0,Los Altos Hills,0.0,0.0,Santa Clara,3306.39928144,Vacant,,,0.13774104,43294NANANANA,,False,False,,94022,1251.0
1338280,-122.139647318,37.3537349452,MH,92.928,0.0,Los Altos Hills,0.0,0.0,Santa Clara,33650.2900174,Vacant,,,2.13333333333,43294NANANANA,,False,False,,94022,1251.0
1338351,-122.159293063,37.3664822541,MH,1.0,5873.0,Los Altos Hills,0.0,1.0,Santa Clara,50459.4500985,Residential,,1984.0,0.13774104,43294NANANANA,,False,False,HS,94022,1251.0
1456135,-122.115370413,37.359887688,MH,1.0,1310.0,Los Altos Hills,0.0,1.0,Santa Clara,77674.0544026,Residential,,1977.0,0.13774104,43294NANANANA,,False,False,HS,94024,1166.0
1456485,-122.121287691,37.3420692242,MH,1.0,4153.0,Los Altos Hills,0.0,1.0,Santa Clara,66783.6804757,Residential,,1982.0,0.13774104,43294NANANANA,,False,False,HS,94024,1166.0
