parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1335294,-122.111540222,37.3749185623,M,38.0,13177.0,Los Altos,0.0,2.0,Santa Clara,20749.2195537,Residential,,1974.0,,43280NAb3NANA,b3,False,True,HM,94022,1251.0
1335564,-122.111526703,37.3979570661,M,15.0,1440.0,Los Altos,0.0,2.0,Santa Clara,653.767939601,Residential,,1969.0,,43280NAbrt2NANA,brt2,False,True,HM,94022,1251.0
1335582,-122.11110121,37.3975683139,M,15.0,1568.0,Los Altos,0.0,2.0,Santa Clara,762.885405042,Residential,,1969.0,,43280NAbrt2NANA,brt2,False,True,HM,94022,1251.0
1332584,-122.115040429,37.3800468503,M,87.12,4303.0,Los Altos,4303.0,0.0,Santa Clara,14573.7942724,Office,,1975.0,2.0,43280NANANANA,,True,True,OF,94022,1251.0
1332591,-122.115583959,37.3791665544,M,87.12,0.0,Los Altos,0.0,0.0,Santa Clara,4502.24369457,Vacant,,,2.0,43280NANANANA,,True,True,,94022,1251.0
1333320,-122.113884638,37.4002096653,M,65.34,7266.0,Los Altos,7266.0,0.0,Santa Clara,6120.86991303,Retail,,1948.0,1.5,43280NAbrt2NANA,brt2,True,True,RS,94022,1251.0
1333322,-122.1136072,37.4005153048,M,65.34,8817.0,Los Altos,8817.0,0.0,Santa Clara,11920.3157759,Retail,,1960.0,1.5,43280NAbrt2NANA,brt2,True,True,RS,94022,1251.0
1333342,-122.112727347,37.3993240223,M,65.34,1296.0,Los Altos,0.0,2.0,Santa Clara,4923.70229229,Residential,,1929.0,1.5,43280NAbrt2NANA,brt2,True,True,HS,94022,1251.0
1334708,-122.107912916,37.3810968329,M,4.0,3730.0,Los Altos,0.0,2.0,Santa Clara,10031.5698416,Residential,,1952.0,,43280NANANANA,,False,True,HS,94022,1251.0
1340802,-122.094887362,37.3783881732,M,4.0,0.0,Los Altos,0.0,0.0,Santa Clara,15665.8106296,Vacant,,,,43280NANANANA,,False,True,,94024,1166.0
1345405,-122.073035232,37.3548457232,M,4.0,0.0,Los Altos,0.0,0.0,Santa Clara,2534.68634104,Vacant,,,,43280NANANANA,,False,True,,94024,1166.0
1335494,-122.113836548,37.3829560317,M,4.0,4526.0,Los Altos,0.0,2.0,Santa Clara,16292.3657549,Residential,,1974.0,,43280NANANANA,,False,True,HS,94022,1251.0
1335561,-122.111685543,37.3977431752,M,15.0,1440.0,Los Altos,0.0,2.0,Santa Clara,689.761071023,Residential,,1969.0,,43280NAbrt2NANA,brt2,False,True,HM,94022,1251.0
1332752,-122.115827498,37.3759473343,M,87.12,4970.0,Los Altos,4970.0,0.0,Santa Clara,6707.05339608,Office,vta1_d,1991.0,2.0,43280VTA1_db3NANA,b3,True,True,OF,94022,1251.0
