parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1589727,-121.983213944,37.2209537743,M,26.136,0.0,Los Gatos,0.0,0.0,Santa Clara,5960.91093982,Vacant,,,0.6,44112NANANANA,,False,False,,95030,949.0
1497399,-121.974674498,37.2632646481,M,12.0,1520.0,Los Gatos,0.0,2.0,Santa Clara,1738.78289923,Residential,,1976.0,2.0,44112NAb3NANA,b3,False,False,HM,95032,793.0
2050740,-121.971315735,37.2563262561,M,5.0,0.0,Los Gatos,0.0,0.0,Santa Clara,34489.8483664,Vacant,,,2.0,44112NAlrt3NANA,lrt3,False,False,,95032,793.0
1511706,-121.96484635,37.2536354283,M,12.0,1691.0,Los Gatos,0.0,2.0,Santa Clara,1984.6564035,Residential,,1977.0,2.0,44112NAlrt3NANA,lrt3,False,False,HM,95032,793.0
2049456,-121.95800101,37.2223200817,MH,1.0,0.0,Los Gatos,0.0,0.0,Santa Clara,41313.2347381,Vacant,,,2.0,44112NANANANA,,False,False,,95030,949.0
1584895,-121.987666189,37.2232486208,M,12.0,3608.0,Los Gatos,0.0,2.0,Santa Clara,12479.0790388,Residential,,1963.0,2.0,44112NANANANA,,False,False,HM,95030,949.0
1587950,-121.944343854,37.2295069054,M,1.0,6271.0,Los Gatos,0.0,1.0,Santa Clara,44155.0012181,Residential,,1989.0,2.0,44112NANANANA,,False,False,HS,95032,793.0
1590084,-121.976858766,37.232492587,M,20.0,87120.0,Los Gatos,0.0,8.0,Santa Clara,29862.1375456,Residential,,1973.0,2.33333333333,44112NANANANA,,False,False,HM,95032,793.0
1591103,-121.969212641,37.2152488429,MH,1.0,4992.0,Los Gatos,0.0,1.0,Santa Clara,52370.4349952,Residential,,1992.0,2.0,44112NANANANA,,False,False,HS,95030,949.0
1592289,-121.955254322,37.2229757024,MH,1.0,4584.0,Los Gatos,0.0,1.0,Santa Clara,47912.0671766,Residential,,1967.0,2.0,44112NANANANA,,False,False,HS,95030,949.0
2049371,-121.9169646,37.2147369317,MH,,0.0,Los Gatos,0.0,0.0,Santa Clara,10237.229434,Vacant,,,,44112NANANANA,,False,False,,95032,793.0
1584832,-121.986265804,37.22403615,M,12.0,3908.0,Los Gatos,0.0,2.0,Santa Clara,2959.60801225,Residential,,1919.0,2.0,44112NANANANA,,False,False,HS,95030,949.0
1586097,-121.959039137,37.2357584467,M,5.0,4204.0,Los Gatos,0.0,2.0,Santa Clara,8648.77038136,Residential,,1964.0,2.0,44112NANANANA,,False,False,HS,95032,793.0
1589903,-121.979672049,37.2268429354,M,26.136,41487.0,Los Gatos,41487.0,0.0,Santa Clara,19678.7026372,Office,,1937.0,0.6,44112NANANANA,,False,False,OF,95030,949.0
2053168,-121.972553069,37.2285102616,M,12.0,0.0,Los Gatos,0.0,0.0,Santa Clara,159882.830567,Residential,,1978.0,2.0,44112NANANANA,,False,False,HM,95032,793.0
