parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
767754,-122.562948366,37.9233959041,MH,,0.0,Marin County,0.0,0.0,Marin,204302.08184,Vacant,,,,00041NANANANA,,False,False,,94941,780.0
823411,-122.778721697,38.0162273146,H,0.032258064,0.0,Marin County,0.0,0.0,Marin,16465873.6019,Vacant,,,,00041NANANANA,,False,True,,94956,0.0
838316,-122.549505054,37.8430531524,MH,,0.0,Marin County,0.0,0.0,Marin,1600152.07225,Vacant,,,,00041NANANANA,,False,False,,94965,809.0
825531,-122.637132082,37.999247229,H,2.0,0.0,Marin County,0.0,0.0,Marin,2293.28270016,Vacant,,,0.15,00041NANANANA,,False,True,,94973,515.0
794982,-122.801789293,38.2330006461,MH,0.032258064,0.0,Marin County,0.0,0.0,Marin,160072.953107,Vacant,,,,00041NANANANA,,False,True,,94952,442.0
777141,-122.503825465,37.8958785225,M,7.0,0.0,Marin County,0.0,0.0,Marin,25469.7723639,Vacant,,,,00041NANANANA,,False,True,,94941,780.0
794900,-122.898170208,38.2417670399,MH,0.1,0.0,Marin County,0.0,0.0,Marin,163420.401572,Vacant,,,,00041NANANANA,,False,True,,94952,442.0
821272,-122.54648991,38.0347435735,MH,7.0,0.0,Marin County,0.0,0.0,Marin,2676.70225295,Vacant,,,0.3,00041NANANANA,,False,True,,94903,496.0
792781,-122.550323284,37.9574635764,M,,0.0,Marin County,0.0,0.0,Marin,4820.03923028,Vacant,,,,00041NAb2NANA,b2,False,False,,94904,766.0
823406,-122.791487155,38.0360124794,H,0.032258064,0.0,Marin County,0.0,0.0,Marin,20857.9816295,Vacant,,,,00041NANANANA,,False,True,,94956,0.0
782883,-122.505422002,37.8728652921,MH,7.0,0.0,Marin County,0.0,0.0,Marin,361.940929246,Vacant,,,,00041NAb2NANA,b2,False,False,,94965,809.0
782739,-122.515354856,37.8718612317,M,7.0,0.0,Marin County,0.0,0.0,Marin,5970.26085246,Vacant,mco1,,0.3,00041MCO1b2NANA,b2,False,True,,94965,809.0
795360,-122.867847517,38.0908093683,H,,0.0,Marin County,0.0,0.0,Marin,3747354.5991,Vacant,,,,00041NANANANA,,False,False,,94937,668.0
814455,-122.495838778,38.1046070513,H,1.0,0.0,Marin County,0.0,0.0,Marin,56909.4280487,Vacant,,,,00041NANAexp1NA,,False,True,,94945,404.0
814457,-122.50086102,38.1029859902,H,1.0,0.0,Marin County,0.0,0.0,Marin,2591.34661654,Vacant,,,,00041NANAexp1NA,,False,True,,94945,404.0
824255,-122.665791297,38.0128388061,H,4.0,0.0,Marin County,0.0,0.0,Marin,2744.97488812,Vacant,,,0.25,00041NANANANA,,False,True,,94963,0.0
824839,-122.632796658,38.0101971677,H,1.0,0.0,Marin County,0.0,0.0,Marin,10311.6323531,Vacant,,,0.09,00041NANANANA,,False,True,,94973,515.0
824812,-122.643246078,38.0126426505,H,20.0,2675.0,Marin County,2675.0,0.0,Marin,7560.36100211,Office,,1952.0,0.5,00041NANANANA,,True,False,OF,94973,515.0
825789,-122.599332678,37.9949372857,MH,0.25,2029.42425042,Marin County,0.0,1.0,Marin,231383.016704,Residential,,1962.0,1.86666666667,00041NANAubzNA,,False,True,HS,94930,547.0
828822,-122.581175503,38.0158234277,M,1.0,2029.42425042,Marin County,0.0,1.0,Marin,148097.358091,Residential,,1980.0,,00041NANANANA,,False,True,HS,94960,621.0
831612,-122.526433815,38.0115345128,M,7.0,4058.84850085,Marin County,0.0,2.0,Marin,10818.9345683,Residential,,1953.0,0.3,00041NANANANA,,False,True,HM,94903,496.0
782736,-122.514826125,37.8692889853,M,4.0,24353.0910051,Marin County,0.0,12.0,Marin,7747.54357734,Residential,mco1,1991.0,,00041MCO1b2NANA,b2,False,True,HM,94965,809.0
791671,-122.536100808,37.957446938,M,2.0,2029.42425042,Marin County,0.0,1.0,Marin,93244.8724667,Residential,,1951.0,0.15,00041NAb3NANA,b3,False,True,HS,94904,766.0
793422,-122.556559251,37.9511531833,M,1.0,5639.0,Marin County,0.0,1.0,Marin,58370.1911307,Residential,,1945.0,0.09,00041NANANANA,,False,True,HS,94904,766.0
793497,-122.552367165,37.9588533434,M,30.0,976.0,Marin County,976.0,0.0,Marin,703.13446101,Office,,1962.0,,00041NAb2NANA,b2,False,True,OF,94904,766.0
793702,-122.555027957,37.9437044042,M,1.0,2029.42425042,Marin County,0.0,1.0,Marin,71270.898178,Residential,,1959.0,0.09,00041NANANANA,,False,True,HS,94904,766.0
794806,-122.904097727,38.2484472833,MH,20.0,2029.42425042,Marin County,0.0,1.0,Marin,43701.9990472,Residential,,1976.0,0.5,00041NANANANA,,False,True,HM,94971,0.0
795224,-122.699350579,38.1929849752,MH,0.1,1753.0,Marin County,0.0,1.0,Marin,499735.700061,Residential,,1951.0,,00041NANANANA,,False,True,HS,94952,442.0
796585,-122.832027212,38.069415146,H,1.0,2029.42425042,Marin County,0.0,1.0,Marin,74965.3216392,Residential,,1975.0,,00041NANANANA,,False,True,HS,94956,0.0
797099,-122.802027793,38.0774021379,MH,2.0,2029.42425042,Marin County,0.0,1.0,Marin,204739.511749,Residential,,1981.0,,00041NANANANA,,False,True,HM,94956,0.0
