parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
584997,-122.08345359,37.9881771933,M,12.45,0.0,Martinez,0.0,0.0,Contra Costa,356397.638024,Vacant,,,1.66666666667,46114NANANANA,,False,True,,94553,344.0
595942,-122.085990146,37.9937059984,M,7.26,0.0,Martinez,0.0,0.0,Contra Costa,7009.78533456,Vacant,,,1.66666666667,46114NANANANA,,False,True,,94553,344.0
640586,-122.136767,38.0111531876,M,,0.0,Martinez,0.0,0.0,Contra Costa,12924.8662385,Vacant,,,,46114NAb2NANA,b2,False,True,,94553,344.0
628794,-122.101551919,38.0066490969,M,4.36,0.0,Martinez,0.0,0.0,Contra Costa,3823.74148102,Vacant,,,1.66666666667,46114NANANANA,,False,True,,94553,344.0
595149,-122.116557259,37.9922366579,M,29.04,0.0,Martinez,0.0,0.0,Contra Costa,112983.618901,Vacant,,,2.0,46114NANANANA,,False,True,,94553,344.0
646096,-122.123530917,38.013721983,M,12.45,0.0,Martinez,0.0,0.0,Contra Costa,5176.4107786,Residential,,1928.0,1.66666666667,46114NANANANA,,False,True,HM,94553,344.0
595775,-122.086720685,37.9935881833,M,7.26,0.0,Martinez,0.0,0.0,Contra Costa,6857.76855324,Parking,,1986.0,1.66666666667,46114NANANANA,,False,True,PA2,94553,344.0
637688,-122.139324881,38.0100060191,M,7.26,0.0,Martinez,0.0,0.0,Contra Costa,2167.41064689,Vacant,,,1.66666666667,46114NAb2NANA,b2,False,True,,94553,344.0
580534,-122.081889256,37.9882816254,M,17.42,3204.0,Martinez,0.0,2.0,Contra Costa,5140.11697691,Residential,,1987.0,1.66666666667,46114NANANANA,,False,True,HS,94553,344.0
587000,-122.109050939,37.9892322217,M,1.09,2115.0,Martinez,0.0,1.0,Contra Costa,214151.509557,Residential,,1963.0,1.66666666667,46114NANANANA,,False,True,HS,94553,344.0
629034,-122.126327109,38.0063292492,M,7.26,0.0,Martinez,0.0,0.0,Contra Costa,7397.10891367,Vacant,,,1.66666666667,46114NAb2NANA,b2,False,True,,94553,344.0
632944,-122.13022274,38.008065728,M,12.45,0.0,Martinez,0.0,0.0,Contra Costa,8131.17030348,Residential,,1978.0,1.66666666667,46114NAb2NANA,b2,False,True,HM,94553,344.0
627250,-122.125471234,38.0056751313,M,7.26,0.0,Martinez,0.0,0.0,Contra Costa,518.375654523,Vacant,,,1.66666666667,46114NAb2NANA,b2,False,True,,94553,344.0
639745,-122.133796566,38.0109215505,M,12.45,2016.0,Martinez,0.0,2.0,Contra Costa,4979.50920676,Residential,,1924.0,1.66666666667,46114NAb2NANA,b2,False,True,HS,94553,344.0
640309,-122.126032216,38.0112296983,M,7.26,4728.0,Martinez,0.0,2.0,Contra Costa,7446.92991312,Residential,,1958.0,1.66666666667,46114NAb2NANA,b2,False,True,HS,94553,344.0
614340,-122.097220295,38.0002205144,M,6.22,0.0,Martinez,0.0,0.0,Contra Costa,15640.7873652,Vacant,,,1.66666666667,46114NANANANA,,False,True,,94553,344.0
625821,-122.109828476,38.0051224471,M,10.89,5400.0,Martinez,5400.0,0.0,Contra Costa,43283.9088645,Industrial,,1974.0,0.25,46114NANANANA,,False,False,IL,94553,344.0
569260,-122.086870574,37.9842216558,M,5.81,0.0,Martinez,0.0,0.0,Contra Costa,2681.39557394,Parking,,1965.0,1.66666666667,46114NANANANA,,False,True,PA2,94553,344.0
581281,-122.092600992,37.9884367263,M,5.81,0.0,Martinez,0.0,0.0,Contra Costa,6935.81295195,Residential,,1969.0,1.66666666667,46114NANANANA,,False,True,HM,94553,344.0
617013,-122.117359774,38.0007646146,M,,0.0,Martinez,0.0,0.0,Contra Costa,53863.0216113,Vacant,,,,46114NANANANA,,False,False,,94553,344.0
631230,-122.136738855,38.0071806183,M,4.36,0.0,Martinez,0.0,0.0,Contra Costa,10243.6875628,Vacant,,,1.66666666667,46114NAb2NANA,b2,False,True,,94553,344.0
635902,-122.131594038,38.0092894584,M,12.45,0.0,Martinez,0.0,0.0,Contra Costa,5050.48811683,Residential,,1986.0,1.66666666667,46114NAb2NANA,b2,False,True,HM,94553,344.0
637063,-122.123513332,38.0098914427,M,7.26,2880.0,Martinez,0.0,2.0,Contra Costa,5169.21497632,Residential,,1925.0,1.66666666667,46114NAb2NANA,b2,False,True,HS,94553,344.0
639652,-122.139348823,38.0107597761,M,7.26,0.0,Martinez,0.0,0.0,Contra Costa,15334.7400203,Vacant,,,1.66666666667,46114NAb3NANA,b3,False,True,,94553,344.0
642499,-122.130019074,38.0120367899,M,17.42,4132.5,Martinez,0.0,5.0,Contra Costa,6322.26276747,Residential,,1964.0,1.66666666667,46114NAb2NANA,b2,False,True,HM,94553,344.0
646105,-122.125178063,38.0137256816,M,12.45,1453.0,Martinez,1453.0,0.0,Contra Costa,6433.34983399,Office,,1920.0,1.66666666667,46114NANANANA,,False,True,OF,94553,344.0
649727,-122.128010121,38.0164964703,M,12.45,2340.0,Martinez,0.0,2.0,Contra Costa,5030.85948583,Residential,mar1,1958.0,1.66666666667,46114MAR1b3NANA,b3,False,True,HS,94553,344.0
572218,-122.111396447,37.9845474243,M,1.09,1911.0,Martinez,0.0,1.0,Contra Costa,45758.1276889,Residential,,1964.0,1.66666666667,46114NANANANA,,False,True,HS,94553,344.0
