parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1213638,-122.213450874,37.4318092164,M,2.9,37520.0,Menlo Park,0.0,14.0,San Mateo,230405.851236,Residential,,1986.0,1.86666666667,46870NANANANA,,False,True,HS,94025,1176.0
1213075,-122.193716402,37.421838008,M,4.4,0.0,Menlo Park,0.0,0.0,San Mateo,243760.035401,Vacant,,,1.86666666667,46870NAb3NANA,b3,False,True,,94025,1176.0
1175852,-122.155912426,37.4797003934,S,19.602,0.0,Menlo Park,0.0,0.0,San Mateo,11231.983242,Vacant,,,0.45,46870NAbrt2NANA,brt2,False,False,,94025,1176.0
1174975,-122.180141053,37.4798836913,S,23.958,45403.0,Menlo Park,45403.0,0.0,San Mateo,91774.5880911,Office,,1984.0,0.55,46870NANANANA,,False,False,OF,94025,1176.0
1189571,-122.182636129,37.4570527563,S,18.5,7781.48038695,Menlo Park,0.0,4.0,San Mateo,24750.1878686,Residential,,1976.0,2.33333333333,46870NAcr3NANA,cr3,False,True,HM,94025,1176.0
1189712,-122.167616494,37.4767613639,S,18.5,13308.0,Menlo Park,0.0,4.0,San Mateo,5298.69806341,Residential,,1958.0,2.33333333333,46870NANANANA,,False,True,HM,94025,1176.0
1175549,-122.164334074,37.4752273712,S,6.2,1820.0,Menlo Park,0.0,2.0,San Mateo,5750.01092225,Residential,,1953.0,1.86666666667,46870NANANANA,,False,True,HS,94025,1176.0
1189427,-122.17778064,37.4590713074,S,12.4,29272.0,Menlo Park,0.0,8.0,San Mateo,7202.34652717,Residential,,1956.0,1.86666666667,46870NAcr3NANA,cr3,False,True,HM,94025,1176.0
1209272,-122.17801575,37.4469619985,M,6.2,5420.0,Menlo Park,0.0,2.0,San Mateo,8089.87316249,Residential,,1946.0,1.86666666667,46870NAbrt2NANA,brt2,False,True,HS,94025,1176.0
1209277,-122.177607892,37.4465875345,M,12.4,12055.0,Menlo Park,0.0,5.0,San Mateo,9301.9851702,Residential,,1954.0,1.86666666667,46870NAbrt2NANA,brt2,False,True,HS,94025,1176.0
1213273,-122.209581444,37.4293237497,M,4.4,4280.0,Menlo Park,0.0,2.0,San Mateo,13515.4678763,Residential,,1965.0,1.86666666667,46870NANANANA,,False,True,HS,94025,1176.0
1175896,-122.135775724,37.4923749146,S,,0.0,Menlo Park,0.0,0.0,San Mateo,618903.354121,Office,,1976.0,,46870NANANANA,,False,False,OF,94025,1176.0
1189487,-122.180891981,37.4573779657,S,18.5,0.0,Menlo Park,0.0,0.0,San Mateo,5029.67635676,Vacant,,,2.33333333333,46870NAcr3NANA,cr3,False,True,,94025,1176.0
1189704,-122.188456515,37.4579823475,S,18.5,0.0,Menlo Park,0.0,0.0,San Mateo,7896.41601519,Residential,,1988.0,2.33333333333,46870NAcr3NANA,cr3,False,True,HS,94025,1176.0
1207449,-122.18611422,37.4540956085,M,18.5,0.0,Menlo Park,0.0,0.0,San Mateo,7507.31526489,Vacant,,,2.33333333333,46870NAcr3NANA,cr3,False,True,,94025,1176.0
1211150,-122.225718485,37.422940196,M,1.089,0.0,Menlo Park,0.0,0.0,San Mateo,78342.6094659,Vacant,,,0.025,46870NANANANA,,False,False,,94025,1176.0
1259257,-122.152531448,37.4606042105,M,12.4,0.0,Menlo Park,0.0,0.0,San Mateo,5227.77764037,Vacant,,,1.86666666667,46870NAbrt3NANA,brt3,False,True,,94025,1176.0
1263962,-122.149611009,37.4571772335,M,6.2,0.0,Menlo Park,0.0,0.0,Santa Clara,5219.72387187,Vacant,,,1.86666666667,46870NANANANA,,False,True,,94025,1176.0
1175523,-122.164519628,37.4755384057,S,6.2,3148.0,Menlo Park,0.0,2.0,San Mateo,5750.11091259,Residential,,1950.0,1.86666666667,46870NANANANA,,False,True,HS,94025,1176.0
1175941,-122.148908855,37.4741680806,S,23.958,13440.0,Menlo Park,13440.0,0.0,San Mateo,31062.8395085,Industrial,,1968.0,0.55,46870NAb3NANA,b3,False,False,IW,94025,1176.0
1189469,-122.180765308,37.4573114934,S,18.5,11186.0,Menlo Park,0.0,7.0,San Mateo,6027.10474567,Residential,,1949.0,2.33333333333,46870NAcr3NANA,cr3,False,True,HM,94025,1176.0
1189479,-122.181391051,37.4571425109,S,18.5,19453.7009674,Menlo Park,0.0,10.0,San Mateo,8590.57881942,Residential,,1976.0,2.33333333333,46870NAcr3NANA,cr3,False,True,HM,94025,1176.0
1192033,-122.160361355,37.4604374231,M,17.424,1578.0,Menlo Park,1578.0,0.0,San Mateo,6469.80847007,Office,,1945.0,0.4,46870NAbrt3NANA,brt3,True,False,OF,94025,1176.0
1195138,-122.144829296,37.4606932445,S,18.5,29180.5514511,Menlo Park,0.0,15.0,San Mateo,12929.0953761,Residential,,1982.0,2.33333333333,46870NANANANA,,False,True,HM,94025,1176.0
1208423,-122.18732962,37.4469045179,M,18.5,11672.2205804,Menlo Park,0.0,6.0,San Mateo,5627.3336707,Residential,,1961.0,2.33333333333,46870NANANANA,,False,True,HM,94025,1176.0
1208430,-122.186652001,37.4461534724,M,18.5,4134.0,Menlo Park,0.0,2.0,San Mateo,7642.14320365,Residential,,1955.0,2.33333333333,46870NANANANA,,False,True,HM,94025,1176.0
1208569,-122.183678313,37.450290264,M,10.89,9726.85048369,Menlo Park,0.0,5.0,San Mateo,7584.14086814,Residential,men1,1974.0,0.25,46870MEN1cr3NANA,cr3,False,True,HM,94025,1176.0
1191811,-122.163057671,37.4543911662,M,17.424,0.0,Menlo Park,0.0,0.0,San Mateo,6006.65447015,Vacant,,,0.4,46870NAb2NANA,b2,True,False,,94025,1176.0
1208457,-122.18706002,37.4473360493,M,18.5,7781.48038695,Menlo Park,0.0,4.0,San Mateo,7792.61663535,Residential,,1979.0,2.33333333333,46870NAbrt2NANA,brt2,False,True,HM,94025,1176.0
1208564,-122.182704206,37.4531652861,M,18.5,0.0,Menlo Park,0.0,0.0,San Mateo,2681.90498812,Retail,men1,1968.0,1.0,46870MEN1cr3NANA,cr3,True,True,RS,94025,1176.0
1192508,-122.154127919,37.4625464362,M,6.2,3890.74019347,Menlo Park,0.0,2.0,San Mateo,9375.09824501,Residential,,1954.0,1.86666666667,46870NAbrt3NANA,brt3,False,True,HS,94025,1176.0
1209398,-122.175066069,37.4486897055,M,18.5,1695.0,Menlo Park,1695.0,0.0,San Mateo,10478.7742979,Retail,men1,1972.0,0.55,46870MEN1brt2NANA,brt2,True,True,RS,94025,1176.0
1209480,-122.176332381,37.4451455622,M,12.4,5836.11029021,Menlo Park,0.0,3.0,San Mateo,9023.70952157,Residential,,1974.0,1.86666666667,46870NAbrt2NANA,brt2,False,True,HS,94025,1176.0
1193119,-122.169190785,37.4555436478,S,18.5,0.0,Menlo Park,0.0,0.0,San Mateo,2589.39475503,Vacant,,,2.33333333333,46870NAb3NANA,b3,False,True,,94025,1176.0
1175254,-122.165249011,37.4788010513,S,6.2,3890.74019347,Menlo Park,0.0,2.0,San Mateo,10000.1301749,Residential,,1955.0,1.86666666667,46870NANANANA,,False,True,HS,94025,1176.0
1191921,-122.161283073,37.459140915,M,6.2,3890.74019347,Menlo Park,0.0,2.0,San Mateo,5005.07837586,Residential,,1954.0,1.86666666667,46870NAbrt3NANA,brt3,False,True,HS,94025,1176.0
1175213,-122.17160512,37.4779016409,M,6.2,3280.0,Menlo Park,0.0,2.0,San Mateo,5500.1500102,Residential,,1947.0,1.86666666667,46870NANANANA,,False,True,HS,94025,1176.0
1174910,-122.178866428,37.4844262324,S,23.958,13134.0,Menlo Park,13134.0,0.0,San Mateo,47112.0654799,Office,,1972.0,0.55,46870NANANANA,,False,False,OF,94025,1176.0
1174917,-122.176293691,37.484261667,S,23.958,44948.0,Menlo Park,44948.0,0.0,San Mateo,103972.580149,Industrial,,1971.0,0.55,46870NANANANA,,False,False,IL,94025,1176.0
1174929,-122.168620419,37.4829519835,S,23.958,47592.0,Menlo Park,47592.0,0.0,San Mateo,67510.0700723,Industrial,,1977.0,0.55,46870NANANANA,,False,False,IL,94025,1176.0
1174941,-122.173327114,37.4832464768,S,23.958,93201.0,Menlo Park,93201.0,0.0,San Mateo,120124.497282,Industrial,,1972.0,0.55,46870NANANANA,,False,False,IL,94025,1176.0
1175257,-122.167513486,37.4779783924,S,12.4,11766.0,Menlo Park,0.0,6.0,San Mateo,5606.39113517,Residential,,1951.0,1.86666666667,46870NANANANA,,False,True,HM,94025,1176.0
1191625,-122.165318397,37.4560760599,M,13.068,64336.0,Menlo Park,64336.0,0.0,San Mateo,88620.8833224,Office,,1967.0,0.3,46870NAb3NANA,b3,False,False,OF,94025,1176.0
1191194,-122.155804501,37.4651415592,M,6.2,3120.0,Menlo Park,0.0,2.0,San Mateo,7000.16077668,Residential,,1948.0,1.86666666667,46870NAbrt3NANA,brt3,False,True,HS,94025,1176.0
1213625,-122.214035162,37.4307730407,M,2.9,5020.0,Menlo Park,0.0,2.0,San Mateo,4559.08863884,Residential,,1987.0,1.86666666667,46870NANANANA,,False,True,HS,94025,1176.0
1175019,-122.167404507,37.478939794,S,13.068,1368.0,Menlo Park,1368.0,0.0,San Mateo,23144.2288101,Office,,1977.0,0.3,46870NANANANA,,False,False,OF,94025,1176.0
1191759,-122.162249582,37.4624390379,M,18.5,15562.9607739,Menlo Park,0.0,8.0,San Mateo,17758.5383462,Residential,,1954.0,2.33333333333,46870NAbrt3NANA,brt3,False,True,HM,94025,1176.0
1208799,-122.181512271,37.4501970053,M,18.5,3890.74019347,Menlo Park,0.0,2.0,San Mateo,5629.80868004,Residential,,1974.0,2.33333333333,46870NAcr3NANA,cr3,False,True,HM,94025,1176.0
