parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
770380,-122.547640349,37.9084138042,M,25.0,8117.6970017,Mill Valley,0.0,4.0,Marin,7232.99083314,Residential,,1916.0,2.33333333333,47710NAb3NANA,b3,False,True,HM,94941,780.0
772088,-122.525300385,37.9006599867,M,12.0,45680.0,Mill Valley,0.0,10.0,Marin,9555.30233832,Residential,,1962.0,2.33333333333,47710NAb3NANA,b3,False,True,HM,94941,780.0
771075,-122.555623316,37.9228347455,M,,0.0,Mill Valley,0.0,0.0,Marin,6096.86698167,Vacant,,,,47710NANANANA,,False,False,,94941,780.0
770708,-122.535990005,37.9094598061,M,7.26,700.0,Mill Valley,700.0,0.0,Marin,5565.87488885,Office,,1964.0,1.66666666667,47710NAb3NANA,b3,False,True,OF,94941,780.0
768709,-122.544851586,37.9054667593,M,10.89,2898.0,Mill Valley,2898.0,0.0,Marin,5030.01191098,Office,,1955.0,0.25,47710NAb3NANA,b3,False,False,OF,94941,780.0
779664,-122.532279838,37.8925525667,M,12.0,10147.1212521,Mill Valley,0.0,5.0,Marin,11063.8905926,Residential,,1961.0,2.33333333333,47710NAb3NANA,b3,False,True,HM,94941,780.0
769732,-122.540647095,37.9011639494,M,12.44571429,12449.0,Mill Valley,4332.0,4.0,Marin,17344.4665118,Residential,,1951.0,2.33333333333,47710NAb3NANA,b3,False,True,HM,94941,780.0
768131,-122.552169503,37.9148178844,M,5.808,0.0,Mill Valley,0.0,0.0,Marin,5953.84023351,Office,,1950.0,1.66666666667,47710NANANANA,,False,True,OF,94941,780.0
768589,-122.55994389,37.9052602207,M,4.356,0.0,Mill Valley,0.0,0.0,Marin,434.591381922,Vacant,,,1.66666666667,47710NANANANA,,False,True,,94941,780.0
768765,-122.542340056,37.9046523326,M,10.89,2335.0,Mill Valley,2335.0,0.0,Marin,6758.54480536,Office,,1948.0,0.25,47710NAb3NANA,b3,False,False,OF,94941,780.0
767881,-122.565087058,37.9195484781,M,0.1,2029.42425042,Mill Valley,0.0,1.0,Marin,137152.396736,Residential,,1954.0,1.66666666667,47710NANANANA,,False,True,HS,94941,780.0
768066,-122.555787792,37.9155554989,M,4.356,4938.0,Mill Valley,0.0,2.0,Marin,13849.4528111,Residential,,1928.0,1.66666666667,47710NANANANA,,False,True,HM,94941,780.0
770934,-122.53681242,37.9043533468,M,7.26,4058.84850085,Mill Valley,0.0,2.0,Marin,6048.27347072,Residential,,1951.0,1.66666666667,47710NAb3NANA,b3,False,True,HM,94941,780.0
768222,-122.570405778,37.9137934361,MH,1.013023255,2029.42425042,Mill Valley,0.0,1.0,Marin,72660.24101,Residential,,1971.0,1.66666666667,47710NANANANA,,False,True,HM,94941,780.0
768531,-122.559518556,37.9068066955,M,4.356,6088.27275127,Mill Valley,0.0,3.0,Marin,8354.87776093,Residential,,1952.0,1.66666666667,47710NANANANA,,False,True,HM,94941,780.0
768736,-122.542683839,37.9054846467,M,7.26,4058.84850085,Mill Valley,0.0,2.0,Marin,6466.36360296,Residential,,1951.0,1.66666666667,47710NAb3NANA,b3,False,True,HM,94941,780.0
