parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1276172,-121.874770942,37.4390952018,M,20.0,1150.0,Milpitas,0.0,2.0,Santa Clara,786.769197276,Residential,,1973.0,,47766NANANANA,,False,True,HM,95035,539.0
1276245,-121.87495646,37.4397976625,M,20.0,980.0,Milpitas,0.0,2.0,Santa Clara,844.003802079,Residential,,1973.0,,47766NANANANA,,False,True,HM,95035,539.0
1279858,-121.896599526,37.4280691157,S,17.424,0.0,Milpitas,0.0,0.0,Santa Clara,7318.29524695,Vacant,,,0.4,47766NAb2NANA,b2,False,False,,95035,539.0
1268647,-121.912492995,37.4342897692,M,20.0,3699.0,Milpitas,0.0,2.0,Santa Clara,10919.6995473,Residential,,1974.0,,47766NAb2NANA,b2,False,True,HM,95035,539.0
1268650,-121.911740027,37.4341739094,M,20.0,3699.0,Milpitas,0.0,2.0,Santa Clara,9270.19788414,Residential,,1974.0,,47766NAb2NANA,b2,False,True,HM,95035,539.0
1279051,-121.906796551,37.4071391002,S,5.0,2088.0,Milpitas,0.0,2.0,Santa Clara,4923.33410771,Residential,,1979.0,,47766NAb2NANA,b2,False,True,HS,95035,539.0
1274720,-121.904953656,37.4396748256,M,11.0,1698.0,Milpitas,0.0,2.0,Santa Clara,2997.75999958,Residential,,1983.0,,47766NAb2NANA,b2,False,True,HS,95035,539.0
1274722,-121.904915175,37.4398495491,M,11.0,1860.0,Milpitas,0.0,2.0,Santa Clara,2812.21173086,Residential,,1983.0,,47766NAb2NANA,b2,False,True,HM,95035,539.0
2048898,-121.920884054,37.4554869111,M,17.424,0.0,Milpitas,0.0,0.0,Santa Clara,173534.975108,Vacant,,,0.4,47766NANANANA,,False,False,,95035,539.0
1268931,-121.918337471,37.4402591004,M,5.0,3516.0,Milpitas,0.0,2.0,Santa Clara,6453.40744686,Residential,,1958.0,,47766NAb2NANA,b2,False,True,HS,95035,539.0
1275228,-121.88501882,37.4490565121,M,0.1,3688.73511753,Milpitas,0.0,2.0,Santa Clara,142512.468545,Residential,,1983.0,,47766NANANANA,,False,True,HS,95035,539.0
1279400,-121.90600267,37.4295524256,M,40.0,44034.0,Milpitas,44034.0,0.0,Santa Clara,38282.5791563,Retail,,1986.0,1.0,47766NAb2NANA,b2,True,True,RS,95035,539.0
1270520,-121.917684748,37.4529145718,M,20.0,2750.0,Milpitas,0.0,6.0,Santa Clara,858.033043623,Residential,,1991.0,,47766NAb2NANA,b2,False,True,HM,95035,539.0
1284229,-121.870046306,37.4183884442,M,20.0,0.0,Milpitas,0.0,0.0,Santa Clara,797.156345012,Residential,,1971.0,,47766NAb1NANA,b1,False,True,HM,95035,539.0
1278324,-121.911501362,37.4123709114,S,5.0,0.0,Milpitas,0.0,0.0,Santa Clara,5069.4542819,Vacant,,,,47766NAlrt1NANA,lrt1,False,True,,95035,539.0
1279307,-121.905805954,37.404895724,S,5.0,3741.0,Milpitas,0.0,3.0,Santa Clara,5905.00311615,Residential,,1979.0,,47766NAb2NANA,b2,False,True,HS,95035,539.0
1268626,-121.913108211,37.4343316222,M,,0.0,Milpitas,0.0,0.0,Santa Clara,749.683473363,Vacant,,,,47766NAb2NANA,b2,False,False,,95035,539.0
1279922,-121.92947533,37.4206834633,S,,0.0,Milpitas,0.0,0.0,Santa Clara,444583.566507,Vacant,,,,47766NAb3NANA,b3,False,False,,95035,539.0
1272768,-121.89859957,37.4521152121,M,,0.0,Milpitas,0.0,0.0,Santa Clara,128702.392605,Vacant,,,,47766NAb2NANA,b2,False,False,,95035,539.0
1275349,-121.889602105,37.4438566382,M,11.0,6156.0,Milpitas,0.0,3.0,Santa Clara,7285.74097653,Residential,,1974.0,,47766NANANANA,,False,True,HM,95035,539.0
1270150,-121.917357923,37.4408856407,M,11.0,3624.0,Milpitas,0.0,2.0,Santa Clara,3067.56995874,Residential,,1985.0,,47766NAb2NANA,b2,False,True,HS,95035,539.0
1275723,-121.885741092,37.4394197651,M,5.0,2016.0,Milpitas,0.0,2.0,Santa Clara,7062.38347393,Residential,,1964.0,,47766NAb2NANA,b2,False,True,HS,95035,539.0
1278662,-121.90823535,37.4110417421,S,5.0,2380.0,Milpitas,0.0,2.0,Santa Clara,5130.9343197,Residential,,1981.0,,47766NAlrt1NANA,lrt1,False,True,HS,95035,539.0
1279807,-121.892119547,37.4060047945,S,20.0,36578.0,Milpitas,36578.0,0.0,Santa Clara,98969.299162,Industrial,mpt1,1984.0,,47766MPT1bart1NANA,bart1,False,True,IL,95035,539.0
1281166,-121.884987443,37.4312342218,M,20.0,8976.0,Milpitas,0.0,6.0,Santa Clara,7820.78469691,Residential,,1975.0,,47766NAb2NANA,b2,False,True,HM,95035,539.0
1281169,-121.885058846,37.4315555435,M,20.0,22770.0,Milpitas,0.0,6.0,Santa Clara,10352.56205,Residential,,1974.0,,47766NAb2NANA,b2,False,True,HM,95035,539.0
1282781,-121.869935959,37.4266591321,M,5.0,190950.0,Milpitas,190950.0,0.0,Santa Clara,232703.47618,Office,,1950.0,,47766NANANANA,,False,True,OF,95035,539.0
1283910,-121.876512222,37.419523654,M,21.78,10982.0,Milpitas,10982.0,0.0,Santa Clara,32001.630894,Office,,1987.0,0.5,47766NAb1NANA,b1,False,False,OF,95035,539.0
1270524,-121.917757887,37.4526760524,M,20.0,2330.0,Milpitas,0.0,6.0,Santa Clara,793.252978092,Residential,,1991.0,,47766NAb2NANA,b2,False,True,HM,95035,539.0
1270506,-121.917525015,37.4518186943,M,20.0,2291.66666666,Milpitas,0.0,5.0,Santa Clara,781.420607145,Residential,,1991.0,,47766NAb2NANA,b2,False,True,HM,95035,539.0
1276042,-121.879330275,37.4431570058,M,20.0,1122.0,Milpitas,0.0,2.0,Santa Clara,805.308740435,Residential,,1974.0,,47766NANANANA,,False,True,HM,95035,539.0
1270558,-121.917563492,37.4513490475,M,20.0,2291.66666666,Milpitas,0.0,5.0,Santa Clara,747.873779262,Residential,,1991.0,,47766NAb2NANA,b2,False,True,HM,95035,539.0
1276217,-121.875145984,37.4378308164,M,20.0,980.0,Milpitas,0.0,2.0,Santa Clara,818.449257872,Residential,,1973.0,,47766NANANANA,,False,True,HM,95035,539.0
1269891,-121.917544316,37.443119296,M,11.0,2690.0,Milpitas,0.0,2.0,Santa Clara,1359.25758396,Residential,,1978.0,,47766NANANANA,,False,True,HM,95035,539.0
1274666,-121.905367358,37.4316656287,M,17.424,0.0,Milpitas,0.0,0.0,Santa Clara,11335.0272272,Vacant,,,0.4,47766NAb2NANA,b2,False,False,,95035,539.0
1277244,-121.87376557,37.4384187312,M,15.0,1462.0,Milpitas,0.0,2.0,Santa Clara,1240.47730244,Residential,,1986.0,,47766NANANANA,,False,True,HM,95035,539.0
1276227,-121.873812284,37.439462752,M,20.0,980.0,Milpitas,0.0,2.0,Santa Clara,862.260568839,Residential,,1973.0,,47766NANANANA,,False,True,HM,95035,539.0
1276133,-121.878392567,37.4406698322,M,20.0,976.0,Milpitas,0.0,2.0,Santa Clara,814.697848214,Residential,,1972.0,,47766NAb2NANA,b2,False,True,HM,95035,539.0
1281094,-121.886121474,37.4314859361,M,21.78,1420.0,Milpitas,1420.0,0.0,Santa Clara,758.824901467,Office,,1982.0,0.5,47766NAb2NANA,b2,False,False,OF,95035,539.0
1281086,-121.884999167,37.4290226838,M,21.78,0.0,Milpitas,0.0,0.0,Santa Clara,30607.0424945,Vacant,,,0.5,47766NAb2NANA,b2,False,False,,95035,539.0
1276162,-121.877654942,37.4397035178,M,20.0,19968.0,Milpitas,0.0,2.0,Santa Clara,46701.7648069,Residential,,1965.0,,47766NAb2NANA,b2,False,True,HM,95035,539.0
1279842,-121.89156125,37.4272726911,S,17.424,19350.0,Milpitas,19350.0,0.0,Santa Clara,62594.4690158,Industrial,,1990.0,0.4,47766NANANANA,,False,False,IL,95035,539.0
1281099,-121.885860911,37.4309268925,M,21.78,1653.0,Milpitas,1653.0,0.0,Santa Clara,1351.87868923,Office,,1982.0,0.5,47766NAb2NANA,b2,False,False,OF,95035,539.0
1270001,-121.921639858,37.453829108,M,,0.0,Milpitas,0.0,0.0,Santa Clara,23850.0849682,Vacant,,,,47766NANANANA,,False,False,,95035,539.0
1279784,-121.908135799,37.4257389957,M,11.0,4200.0,Milpitas,0.0,4.0,Santa Clara,8700.0359226,Residential,,1974.0,,47766NAb2NANA,b2,False,True,HM,95035,539.0
1279544,-121.910762149,37.425484507,M,11.0,6300.0,Milpitas,0.0,6.0,Santa Clara,9465.38846319,Residential,,1977.0,,47766NAb2NANA,b2,False,True,HM,95035,539.0
