parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1499528,-121.995400911,37.2460512302,M,1.0,5305.0,Monte Sereno,0.0,1.0,Santa Clara,51695.4824262,Residential,,1970.0,,48956NANANANA,,False,True,HS,95030,949.0
1583659,-121.999788497,37.2354774014,M,1.0,3711.0,Monte Sereno,0.0,1.0,Santa Clara,85119.5288305,Residential,,1971.0,,48956NANANANA,,False,True,HS,95030,949.0
1583692,-121.992056583,37.2353253345,M,1.0,2531.0,Monte Sereno,0.0,1.0,Santa Clara,46028.5899379,Residential,,1974.0,,48956NANANANA,,False,True,HS,95030,949.0
1583704,-121.992218785,37.2331578155,M,1.0,1706.0,Monte Sereno,0.0,1.0,Santa Clara,43749.4723776,Residential,,1957.0,,48956NANANANA,,False,True,HS,95030,949.0
1584104,-121.989117555,37.230944042,M,2.0,5610.0,Monte Sereno,0.0,2.0,Santa Clara,26364.9708879,Residential,,1975.0,,48956NANANANA,,False,True,HS,95030,949.0
1584440,-122.000942564,37.2309254552,M,1.0,6000.0,Monte Sereno,0.0,3.0,Santa Clara,27105.8585622,Residential,,1959.0,,48956NANANANA,,False,True,HS,95030,949.0
1584458,-121.999903992,37.2300017189,M,1.0,1937.0,Monte Sereno,0.0,1.0,Santa Clara,43728.2178701,Residential,,1964.0,,48956NANANANA,,False,True,HS,95030,949.0
1498317,-121.97749176,37.2459200328,M,1.0,3790.0,Monte Sereno,0.0,1.0,Santa Clara,48664.2844655,Residential,,1983.0,,48956NANANANA,,False,True,HS,95030,949.0
1499336,-121.991715474,37.2387282214,M,1.0,2036.0,Monte Sereno,0.0,1.0,Santa Clara,46068.9959974,Residential,,1968.0,,48956NANANANA,,False,True,HS,95030,949.0
1499421,-121.991384517,37.247538687,M,1.0,3253.0,Monte Sereno,0.0,1.0,Santa Clara,50725.2830094,Residential,,1977.0,,48956NANANANA,,False,True,HS,95030,949.0
1499582,-121.990674522,37.2490471052,M,1.0,4036.0,Monte Sereno,0.0,1.0,Santa Clara,73620.5445626,Residential,,1958.0,,48956NANANANA,,False,True,HS,95030,949.0
1511291,-121.974054518,37.2423364201,M,5.0,6918.0,Monte Sereno,0.0,3.0,Santa Clara,20464.0881543,Residential,,1953.0,,48956NANANANA,,False,True,HS,95030,949.0
1511269,-121.975348448,37.2419610023,M,5.0,2444.0,Monte Sereno,0.0,2.0,Santa Clara,11979.3458839,Residential,,1954.0,,48956NANANANA,,False,True,HS,95030,949.0
1583709,-121.990360108,37.2321674739,M,1.0,1964.0,Monte Sereno,0.0,1.0,Santa Clara,43857.2050262,Residential,,1958.0,,48956NANANANA,,False,True,HS,95030,949.0
1583592,-122.004622242,37.2389936855,M,1.0,3606.0,Monte Sereno,0.0,1.0,Santa Clara,54051.9081591,Residential,,1972.0,,48956NANANANA,,False,True,HS,95030,949.0
1584184,-121.999547123,37.2341704955,M,1.0,3472.0,Monte Sereno,0.0,1.0,Santa Clara,70300.0802871,Residential,,1927.0,,48956NANANANA,,False,True,HS,95030,949.0
2052905,-121.990957122,37.2453580677,M,1.0,0.0,Monte Sereno,0.0,0.0,Santa Clara,24102.6630602,Vacant,,,,48956NANANANA,,False,True,,95030,949.0
2054500,-121.987663805,37.2439952211,M,,0.0,Monte Sereno,0.0,0.0,Santa Clara,378821.169307,Vacant,,,,48956NANANANA,,False,False,,95030,949.0
1511254,-121.975694415,37.2411869653,M,5.0,4744.0,Monte Sereno,0.0,2.0,Santa Clara,11738.7552727,Residential,,1958.0,,48956NANANANA,,False,True,HS,95030,949.0
1498534,-121.984681174,37.2429996879,M,1.0,2986.0,Monte Sereno,0.0,1.0,Santa Clara,46969.0877836,Residential,,1977.0,,48956NANANANA,,False,True,HS,95030,949.0
1498321,-121.974066211,37.2489413914,M,1.0,2760.0,Monte Sereno,0.0,1.0,Santa Clara,46796.462851,Residential,,1983.0,,48956NANANANA,,False,True,HS,95030,949.0
1585122,-122.001068694,37.23636076,M,1.0,3344.0,Monte Sereno,0.0,1.0,Santa Clara,115856.351772,Residential,,1927.0,,48956NANANANA,,False,True,HS,95030,949.0
1498541,-121.988196969,37.2412873489,M,1.0,0.0,Monte Sereno,0.0,0.0,Santa Clara,28600.2099735,Vacant,,,,48956NANANANA,,False,True,,95030,949.0
1498162,-121.980384024,37.2484451389,M,1.0,4128.0,Monte Sereno,0.0,1.0,Santa Clara,443979.038398,Residential,,1957.0,,48956NANANANA,,False,True,HS,95030,949.0
1499280,-121.986025664,37.2369987147,M,1.0,5698.0,Monte Sereno,0.0,1.0,Santa Clara,69537.5211113,Residential,,1985.0,,48956NANANANA,,False,True,HS,95030,949.0
1499243,-121.98579481,37.2352669836,M,5.0,1612.0,Monte Sereno,0.0,2.0,Santa Clara,8750.80090129,Residential,,1951.0,,48956NANANANA,,False,True,HS,95030,949.0
1499553,-121.994168856,37.2504675157,M,1.0,4475.0,Monte Sereno,0.0,1.0,Santa Clara,46227.3356637,Residential,,1963.0,,48956NANANANA,,False,True,HS,95032,793.0
1499554,-121.995008147,37.2501769598,M,1.0,6059.0,Monte Sereno,0.0,1.0,Santa Clara,66615.3938511,Residential,,1993.0,,48956NANANANA,,False,True,HS,95030,949.0
1511290,-121.973687037,37.2422794791,M,5.0,5523.0,Monte Sereno,0.0,3.0,Santa Clara,20729.2991329,Residential,,1952.0,,48956NANANANA,,False,True,HS,95030,949.0
1583725,-121.989872415,37.2340151647,M,1.0,3556.0,Monte Sereno,0.0,2.0,Santa Clara,9062.46965223,Residential,,1950.0,,48956NANANANA,,False,True,HS,95030,949.0
1584139,-121.992043541,37.2319987926,M,1.0,3554.0,Monte Sereno,0.0,2.0,Santa Clara,52694.0972099,Residential,,1963.0,,48956NANANANA,,False,True,HS,95030,949.0
1584988,-121.998141738,37.2317738388,M,1.0,6104.0,Monte Sereno,0.0,2.0,Santa Clara,54808.5215097,Residential,,1986.0,,48956NANANANA,,False,True,HS,95030,949.0
2053388,-121.984252436,37.2476873155,M,,0.0,Monte Sereno,0.0,0.0,Santa Clara,427014.535925,Vacant,,,,48956NANANANA,,False,False,,95030,949.0
1584143,-121.995680321,37.2315002677,M,1.0,2076.0,Monte Sereno,0.0,1.0,Santa Clara,60680.3824199,Residential,,1956.0,,48956NANANANA,,False,True,HS,95030,949.0
1583591,-122.003650293,37.238563694,M,1.0,1821.0,Monte Sereno,0.0,1.0,Santa Clara,71206.2171253,Residential,,1962.0,,48956NANANANA,,False,True,HS,95030,949.0
1583678,-121.99443312,37.2365605428,M,1.0,7042.0,Monte Sereno,0.0,2.0,Santa Clara,42626.5551476,Residential,,1974.0,,48956NANANANA,,False,True,HS,95030,949.0
1583682,-121.995049203,37.2353631269,M,1.0,6347.0,Monte Sereno,0.0,1.0,Santa Clara,46887.557567,Residential,,1936.0,,48956NANANANA,,False,True,HS,95030,949.0
1584148,-121.996174019,37.2298625865,M,1.0,6893.0,Monte Sereno,0.0,1.0,Santa Clara,46694.7394673,Residential,,1933.0,,48956NANANANA,,False,True,HS,95030,949.0
1584185,-121.998539535,37.2346405162,M,1.0,2229.0,Monte Sereno,0.0,1.0,Santa Clara,69322.5744986,Residential,,1931.0,,48956NANANANA,,False,True,HS,95030,949.0
1585068,-121.995435932,37.2286550492,M,1.0,2769.0,Monte Sereno,0.0,1.0,Santa Clara,57273.239855,Residential,,1973.0,,48956NANANANA,,False,True,HS,95030,949.0
1583703,-121.993936059,37.2338057359,M,1.0,3226.0,Monte Sereno,0.0,1.0,Santa Clara,56144.2963384,Residential,,1962.0,,48956NANANANA,,False,True,HS,95030,949.0
1584174,-121.993568643,37.2326152811,M,1.0,0.0,Monte Sereno,0.0,0.0,Santa Clara,47831.161353,Vacant,,,,48956NANANANA,,False,True,,95030,949.0
1583687,-121.996540555,37.2350382638,M,1.0,10176.0,Monte Sereno,0.0,2.0,Santa Clara,51746.7606068,Residential,,1924.0,,48956NANANANA,,False,True,HS,95030,949.0
