parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
687102,-122.154838446,37.8402026438,MH,3.0,0.0,Moraga,0.0,0.0,Contra Costa,137849.971568,Vacant,,,,49187NANANANA,,False,True,,94563,607.0
697100,-122.131678688,37.8618065521,MH,2.0,2734.0,Moraga,0.0,2.0,Contra Costa,34954.3754762,Residential,,1957.0,,49187NANANANA,,False,True,HS,94556,555.0
685127,-122.135572476,37.8377223903,MH,0.2,0.0,Moraga,0.0,0.0,Contra Costa,150.954959017,Vacant,,,,49187NANANANA,,False,False,,94556,555.0
686592,-122.155507648,37.8404678468,MH,0.2,0.0,Moraga,0.0,0.0,Contra Costa,10193.33852,Vacant,,,,49187NANANANA,,False,False,,94563,607.0
685157,-122.147805798,37.837180441,MH,3.0,0.0,Moraga,0.0,0.0,Contra Costa,91416.8436283,Vacant,,,,49187NANANANA,,False,True,,94556,555.0
685636,-122.150018363,37.8386295924,MH,3.0,0.0,Moraga,0.0,0.0,Contra Costa,11034.1712066,Vacant,,,,49187NANANANA,,False,True,,94563,607.0
696112,-122.134176934,37.859925034,MH,6.0,0.0,Moraga,0.0,0.0,Contra Costa,11249.6819333,Vacant,,,,49187NANANANA,,False,True,,94556,555.0
701770,-122.123851794,37.8703662971,MH,3.0,0.0,Moraga,0.0,0.0,Contra Costa,908.932411696,Vacant,,,,49187NANANANA,,False,True,,94556,555.0
689077,-122.100079236,37.8460854659,MH,,3490.0,Moraga,0.0,1.0,Contra Costa,164592.484879,Residential,,1974.0,,49187NANANANA,,False,False,HS,94556,555.0
692781,-122.124532601,37.854556281,MH,65.34,8455.0,Moraga,8455.0,0.0,Contra Costa,20494.7070437,Retail,,1967.0,1.5,49187NANANANA,,True,False,RS,94556,555.0
686786,-122.155321445,37.8409413323,MH,3.0,0.0,Moraga,0.0,0.0,Contra Costa,10075.8718986,Vacant,,,,49187NANANANA,,False,True,,94563,607.0
693733,-122.12933679,37.8561646696,MH,6.0,5569.0,Moraga,0.0,5.0,Contra Costa,30462.9881519,Residential,,1969.0,,49187NANANANA,,False,True,HS,94556,555.0
696432,-122.130994524,37.8604884097,MH,6.0,0.0,Moraga,0.0,2.0,Contra Costa,39957.6357835,Parking,,1968.0,,49187NANANANA,,False,True,PA2,94556,555.0
685326,-122.147624299,37.8379851083,MH,3.0,0.0,Moraga,0.0,0.0,Contra Costa,10443.5396207,Vacant,,,,49187NANANANA,,False,True,,94563,607.0
696069,-122.134116738,37.8599316256,MH,6.0,2758.0,Moraga,0.0,2.0,Contra Costa,3781.541505,Residential,,1975.0,,49187NANANANA,,False,True,HS,94556,555.0
694960,-122.129697097,37.8577600445,MH,6.0,16674.0,Moraga,0.0,14.0,Contra Costa,12314.8872717,Residential,,1975.0,,49187NANANANA,,False,True,HM,94556,555.0
696323,-122.131209127,37.860448626,MH,6.0,26999.0,Moraga,0.0,19.0,Contra Costa,6343.80849886,Residential,,1968.0,,49187NANANANA,,False,True,HM,94556,555.0
676895,-122.106566635,37.8207288027,MH,2.0,0.0,Moraga,0.0,0.0,Contra Costa,958.18634011,Vacant,,,,49187NANANANA,,False,True,,94556,555.0
677032,-122.12543466,37.8206410322,MH,3.0,4364.0,Moraga,0.0,2.0,Contra Costa,10765.9533285,Residential,,1966.0,,49187NANANANA,,False,True,HS,94556,555.0
678451,-122.109411684,37.8243378647,MH,2.0,7720.0,Moraga,0.0,2.0,Contra Costa,19133.4461329,Residential,,1987.0,,49187NANANANA,,False,True,HS,94556,555.0
679566,-122.124071471,37.8265621427,MH,3.0,0.0,Moraga,0.0,0.0,Contra Costa,11783.5191611,Vacant,,,,49187NANANANA,,False,True,,94556,555.0
680053,-122.133751324,37.8263666273,MH,3.0,0.0,Moraga,0.0,0.0,Contra Costa,35075.3381347,Vacant,,,,49187NANANANA,,False,True,,94556,555.0
685210,-122.148599689,37.8376385647,MH,3.0,0.0,Moraga,0.0,0.0,Contra Costa,11971.0206824,Vacant,,,,49187NANANANA,,False,True,,94556,555.0
685501,-122.136007677,37.8380325949,MH,3.0,0.0,Moraga,0.0,0.0,Contra Costa,22713.0909141,Vacant,,,,49187NANANANA,,False,True,,94556,555.0
691114,-122.127958322,37.8504259788,MH,1.0,2415.0,Moraga,0.0,1.0,Contra Costa,140873.33451,Residential,,1972.0,,49187NANANANA,,False,True,HS,94556,555.0
691873,-122.122196209,37.8517031208,MH,2.0,3349.0,Moraga,0.0,1.0,Contra Costa,591994.352984,Residential,,1978.0,,49187NANANANA,,False,True,HS,94556,555.0
692636,-122.125550568,37.8541352691,MH,6.0,19015.0,Moraga,0.0,25.0,Contra Costa,46723.311386,Residential,,1966.0,,49187NANANANA,,False,True,HM,94556,555.0
703769,-122.135852091,37.8734851823,MH,2.0,3884.0,Moraga,0.0,2.0,Contra Costa,15470.3311518,Residential,,1975.0,,49187NANANANA,,False,True,HS,94556,555.0
