parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1720010,-121.636155441,37.1203448823,S,78.408,2644.0,Morgan Hill,2644.0,0.0,Santa Clara,2115.31465663,Industrial,,1984.0,1.8,49278NANANANA,,False,False,IL,95037,404.0
1693734,-121.643849472,37.1298164273,S,21.0,1613.0,Morgan Hill,0.0,3.0,Santa Clara,1676.19251092,Residential,,1991.0,1.2,49278NAb3NANA,b3,False,True,HM,95037,404.0
1693711,-121.644993435,37.1283011472,S,21.0,1473.0,Morgan Hill,0.0,2.0,Santa Clara,1869.32554146,Residential,,1989.0,1.2,49278NAb3NANA,b3,False,True,HM,95037,404.0
1718928,-121.59898824,37.1347045075,MH,5.0,0.0,Morgan Hill,0.0,0.0,Santa Clara,7586.34776578,Vacant,,,1.0,49278NANANANA,,False,True,,95037,404.0
1694337,-121.646100427,37.1346792414,S,5.0,4122.0,Morgan Hill,0.0,3.0,Santa Clara,6933.08902332,Residential,,1980.0,1.0,49278NANANANA,,False,True,HS,95037,404.0
1694459,-121.644609952,37.136844081,S,5.0,3594.0,Morgan Hill,0.0,2.0,Santa Clara,4341.84106855,Residential,,1987.0,1.0,49278NANANANA,,False,True,HS,95037,404.0
1701765,-121.657216439,37.1258300586,S,14.0,7968.0,Morgan Hill,0.0,3.0,Santa Clara,12010.4404272,Residential,,1968.0,1.0,49278NAb2NANA,b2,False,True,HM,95037,404.0
1702237,-121.648190138,37.1209915021,S,43.56,5400.0,Morgan Hill,5400.0,0.0,Santa Clara,54132.2882544,Retail,,1990.0,1.0,49278NAb3NANA,b3,False,False,RS,95037,404.0
1720707,-121.630535999,37.1051962468,S,,5688.0,Morgan Hill,0.0,2.0,Santa Clara,20853.5145081,Residential,,1949.0,,49278NANANANA,,False,False,HM,95037,404.0
1705915,-121.641722346,37.0977088948,M,14.0,3082.0,Morgan Hill,0.0,2.0,Santa Clara,2590.23975603,Residential,,1981.0,1.0,49278NANANANA,,False,True,HM,95037,404.0
1705910,-121.641139772,37.097662588,M,14.0,2701.5,Morgan Hill,0.0,3.0,Santa Clara,1761.38488819,Residential,,1981.0,1.0,49278NANANANA,,False,True,HM,95037,404.0
1700626,-121.675663166,37.1358344351,MH,1.0,0.0,Morgan Hill,0.0,0.0,Santa Clara,108101.267435,Vacant,,,0.6,49278NAb3NANA,b3,False,True,,95037,404.0
1700629,-121.681094974,37.1347087902,MH,1.0,2148.0,Morgan Hill,0.0,1.0,Santa Clara,49232.5105131,Residential,,1993.0,0.6,49278NANANANA,,False,True,HS,95037,404.0
1701153,-121.665242675,37.1347958497,S,14.0,2638.5,Morgan Hill,0.0,3.0,Santa Clara,1796.02333364,Residential,,1988.0,1.0,49278NAb3NANA,b3,False,True,HM,95037,404.0
1699938,-121.671983814,37.1505462499,MH,3.0,0.0,Morgan Hill,0.0,0.0,Santa Clara,302315.150642,Vacant,,,0.8,49278NAb3NANA,b3,False,True,,95037,404.0
1699845,-121.696053207,37.1227207174,MH,,0.0,Morgan Hill,0.0,0.0,Santa Clara,2831.60287948,Vacant,,,,49278NANANANA,,False,True,,95037,404.0
2053532,-121.659462889,37.1347762902,S,14.0,0.0,Morgan Hill,0.0,0.0,Santa Clara,5143.00565214,Vacant,,,1.0,49278NAb2NANA,b2,False,True,,95037,404.0
1694609,-121.642864689,37.1409537224,S,3.0,6330.0,Morgan Hill,0.0,3.0,Santa Clara,37245.1600242,Residential,,1979.0,0.8,49278NANANANA,,False,True,HS,95037,404.0
1697712,-121.588042346,37.1489240141,MH,3.0,3890.0,Morgan Hill,0.0,1.0,Santa Clara,46509.2030811,Residential,,1978.0,0.8,49278NANANANA,,False,True,HS,95037,404.0
