parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1321653,-122.097982498,37.3996952592,S,35.0,257108.0,Mountain View,0.0,199.0,Santa Clara,82913.9028151,Residential,,1972.0,,49670NAb2NANA,b2,False,True,HM,94040,1030.0
1323823,-122.073208613,37.3974347412,M,,394495.0,Mountain View,0.0,307.0,Santa Clara,120815.859162,Residential,mvw2,1976.0,,49670MVW2cr2NANA,cr2,False,False,HM,94043,846.0
1313504,-122.097176406,37.4133457438,M,35.0,4865.0,Mountain View,0.0,2.0,Santa Clara,7018.67210208,Residential,,1966.0,,49670NAb3NANA,b3,False,True,HM,94043,846.0
1318052,-122.086068483,37.4025559893,M,12.0,1366.0,Mountain View,0.0,2.0,Santa Clara,1398.04892949,Residential,,1970.0,,49670NANANANA,,False,True,HM,94043,846.0
1320381,-122.079507077,37.3993887123,M,12.0,101808.0,Mountain View,0.0,72.0,Santa Clara,47964.4093467,Residential,mvw2,1985.0,,49670MVW2cr2NANA,cr2,False,True,HM,94043,846.0
1318029,-122.085059392,37.4028500684,M,12.0,1590.0,Mountain View,0.0,2.0,Santa Clara,1457.86793921,Residential,,1970.0,,49670NANANANA,,False,True,HM,94043,846.0
2048785,-122.089960354,37.3848514234,S,6.0,0.0,Mountain View,0.0,0.0,Santa Clara,1952.28628872,Vacant,,,,49670NAbrt2NANA,brt2,False,True,,94040,1030.0
1316146,-122.110524005,37.4001456661,S,21.78,0.0,Mountain View,0.0,0.0,Santa Clara,9856.3480968,Vacant,mvw3,,0.5,49670MVW3brt2NANA,brt2,True,False,,94040,1030.0
2051383,-122.080320836,37.3813449669,M,35.0,0.0,Mountain View,0.0,0.0,Santa Clara,17937.8459105,Residential,,1992.0,,49670NAbrt2NANA,brt2,False,True,HM,94040,1030.0
2052196,-122.093520312,37.4084912654,M,35.0,0.0,Mountain View,0.0,0.0,Santa Clara,28293.3070174,Residential,,1984.0,,49670NAb2NANA,b2,False,True,HM,94043,846.0
1316369,-122.106433842,37.4024643652,S,21.78,256.0,Mountain View,256.0,0.0,Santa Clara,269.373314095,Office,mvw3,1983.0,0.5,49670MVW3cr3NANA,cr3,True,False,OF,94040,1030.0
1316384,-122.107646447,37.3992261985,S,,244256.0,Mountain View,244256.0,0.0,Santa Clara,82257.5840066,Office,mvw4,1987.0,,49670MVW4brt2NANA,brt2,False,False,OF,94040,1030.0
1317717,-122.08740556,37.4032051368,M,6.0,3918.0,Mountain View,0.0,3.0,Santa Clara,5811.22564528,Residential,,1952.0,,49670NANANANA,,False,True,HS,94043,846.0
1319866,-122.071874836,37.4057863315,M,6.0,2120.0,Mountain View,0.0,2.0,Santa Clara,7569.81481641,Residential,,1967.0,,49670NAlrt2NANA,lrt2,False,True,HS,94043,846.0
1320501,-122.091530884,37.400263366,S,12.0,3496.0,Mountain View,3496.0,0.0,Santa Clara,8614.29142529,Industrial,,1951.0,,49670NAb2NANA,b2,False,True,IL,94040,1030.0
