parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
869896,-122.327435632,38.3119571267,MH,4.35,0.0,Napa,0.0,0.0,Napa,27090.6735601,Parking,,1992.0,0.3,50258NANANANA,,False,True,PA2,94558,372.0
880785,-122.316055913,38.2997081727,M,6.22,0.0,Napa,0.0,0.0,Napa,20428.2394211,Vacant,,,0.3,50258NANANANA,,False,True,,94558,372.0
877834,-122.268141367,38.2871980611,M,13.068,0.0,Napa,0.0,0.0,Napa,76881.6165361,Vacant,,,0.3,50258NANANANA,,False,True,,94559,417.0
873105,-122.307682925,38.2761149489,M,4.35,0.0,Napa,0.0,0.0,Napa,208820.691986,Vacant,,,0.3,50258NANANANA,,False,True,,94558,372.0
873183,-122.288099102,38.2763860342,M,8.71,0.0,Napa,0.0,0.0,Napa,25613.1344068,Vacant,,,0.3,50258NANANANA,,False,True,,94559,417.0
870160,-122.329765772,38.3100674134,MH,17.424,0.0,Napa,0.0,0.0,Napa,69863.5438929,Vacant,,,0.4,50258NANANANA,,False,False,,94558,372.0
844387,-122.300629987,38.2918761774,S,21.78,589.0,Napa,589.0,0.0,Napa,10227.3124066,Industrial,,1946.0,0.5,50258NANANANA,,False,False,IL,94559,417.0
846488,-122.285116319,38.2920926889,S,13.068,5310.58115942,Napa,0.0,3.0,Napa,6442.60779315,Residential,,1935.0,0.3,50258NAb3NANA,b3,False,True,HS,94559,417.0
847490,-122.278379635,38.2952693332,M,40.0,0.0,Napa,0.0,0.0,Napa,141552.34282,Parking,nap1,1982.0,2.0,50258NAP1b3NANA,b3,False,True,PA2,94559,417.0
849111,-122.322378,38.3220304388,M,6.22,3016.0,Napa,0.0,2.0,Napa,7252.38140332,Residential,,1964.0,0.3,50258NANANANA,,False,True,HS,94558,372.0
873772,-122.29375768,38.3226707259,S,13.068,84464.0,Napa,84464.0,0.0,Napa,102998.815362,Retail,,1976.0,0.3,50258NANANANA,,False,True,RS,94558,372.0
875503,-122.278969331,38.3049555579,M,43.56,0.0,Napa,0.0,0.0,Napa,178243.440061,Parking,nap1,1940.0,1.0,50258NAP1b3NANA,b3,True,False,PA2,94559,417.0
876566,-122.263436246,38.2938801633,M,4.35,7137.0,Napa,0.0,3.0,Napa,14161.3629826,Residential,,1985.0,0.3,50258NANANANA,,False,True,HS,94559,417.0
876950,-122.264815078,38.2854368468,M,13.068,8850.96859903,Napa,0.0,5.0,Napa,6316.61858154,Residential,,1977.0,0.3,50258NANANANA,,False,True,HS,94559,417.0
841819,-122.298327661,38.3007999517,S,13.068,2310.0,Napa,0.0,2.0,Napa,8893.99343376,Residential,,1945.0,0.3,50258NAb3NANA,b3,False,True,HS,94559,417.0
842077,-122.296119625,38.2965908324,S,13.068,2160.0,Napa,0.0,2.0,Napa,5640.27629729,Residential,,1927.0,0.3,50258NAb3NANA,b3,False,True,HS,94559,417.0
843259,-122.29349438,38.2954429113,S,15.0,2615.0,Napa,2615.0,0.0,Napa,5716.28440463,Office,,1910.0,0.4,50258NAb3NANA,b3,False,True,OF,94559,417.0
845247,-122.309718201,38.2843776595,M,4.35,5094.0,Napa,0.0,6.0,Napa,30358.152609,Residential,,1980.0,0.3,50258NANANANA,,False,True,HS,94558,372.0
872361,-122.309659223,38.2723811834,M,1.08,3360.0,Napa,0.0,1.0,Napa,44173.4494487,Residential,,1980.0,0.3,50258NANAexp1_npNA,,False,True,HS,94558,372.0
865179,-122.32132499,38.3382723091,S,10.89,4395.0,Napa,0.0,3.0,Napa,4567.04966695,Residential,,1990.0,0.3,50258NANANANA,,False,True,HS,94558,372.0
865530,-122.313503889,38.3274674772,S,13.068,4544.0,Napa,0.0,4.0,Napa,8242.4308587,Residential,,1979.0,0.3,50258NANANANA,,False,True,HM,94558,372.0
875652,-122.270305883,38.3066020003,M,13.068,2036.0,Napa,0.0,2.0,Napa,6571.18824936,Residential,,1945.0,0.3,50258NANANANA,,False,True,HS,94559,417.0
877448,-122.261717798,38.2821770715,M,8.71,2590.0,Napa,0.0,2.0,Napa,6229.25720159,Residential,,1959.0,0.3,50258NANANANA,,False,True,HS,94559,417.0
840796,-122.3005694,38.3158350103,S,8.71,2462.0,Napa,0.0,2.0,Napa,6897.8290844,Residential,,1956.0,0.3,50258NANANANA,,False,True,HS,94558,372.0
840875,-122.304799896,38.3207782517,S,17.424,0.0,Napa,0.0,0.0,Napa,41530.6471098,Parking,,1961.0,0.4,50258NANANANA,,True,True,PA2,94558,372.0
845289,-122.303992282,38.2937114174,M,13.068,3232.0,Napa,0.0,4.0,Napa,10472.3307245,Residential,,1975.0,0.3,50258NANANANA,,False,True,HS,94558,372.0
845312,-122.301634332,38.2833794635,M,15.246,13783.0,Napa,13783.0,0.0,Napa,31226.3550155,Retail,,1959.0,0.35,50258NANANANA,,True,True,RS,94558,372.0
845331,-122.303142171,38.2822519446,M,13.068,23872.1309179,Napa,4400.0,11.0,Napa,11189.9457472,Residential,,1986.0,0.3,50258NANANANA,,False,True,HS,94558,372.0
847065,-122.277217911,38.3012003847,M,13.068,3540.38743961,Napa,0.0,2.0,Napa,5829.4541262,Residential,nap1,1961.0,0.3,50258NAP1b3NANA,b3,False,True,HS,94559,417.0
848198,-122.329803898,38.3289764374,M,8.71,2894.0,Napa,0.0,2.0,Napa,5964.40485189,Residential,,1978.0,0.3,50258NANANANA,,False,True,HS,94558,372.0
848926,-122.316856708,38.3279071563,M,8.71,3064.0,Napa,0.0,2.0,Napa,5813.55541257,Residential,,1977.0,0.3,50258NANANANA,,False,True,HS,94558,372.0
865157,-122.322984683,38.3394315284,S,13.068,0.0,Napa,0.0,0.0,Napa,21589.8999539,Parking,,1954.0,0.3,50258NANANANA,,False,True,PA2,94558,372.0
867181,-122.293472654,38.331464925,S,13.068,3320.0,Napa,0.0,2.0,Napa,1619.8216543,Residential,,1989.0,0.3,50258NANANANA,,False,True,HM,94558,372.0
878191,-122.271854302,38.2452375313,M,17.424,0.0,Napa,0.0,0.0,Napa,227101.601312,Industrial,,1991.0,0.4,50258NANANANA,,False,False,IL,94558,372.0
873947,-122.287120008,38.3192186686,S,13.068,23760.0,Napa,0.0,10.0,Napa,27925.1356246,Residential,,1955.0,0.3,50258NANANANA,,False,True,HS,94558,372.0
874209,-122.284853481,38.3120820084,S,13.068,0.0,Napa,0.0,0.0,Napa,4274.73756712,Vacant,,,0.3,50258NANANANA,,False,True,,94558,372.0
877176,-122.267842058,38.2818333335,M,13.068,7080.77487923,Napa,0.0,4.0,Napa,12030.5671636,Residential,,1977.0,0.3,50258NANANANA,,False,True,HS,94559,417.0
