parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
213010,-122.025870698,37.5404214063,M,13.068,0.0,Newark,0.0,0.0,Alameda,39523.2289965,Vacant,,,0.3,50916NAb3NANA,b3,True,False,,94560,477.0
357228,-122.002696157,37.5263074264,M,13.068,800000.0,Newark,800000.0,0.0,Alameda,781706.65598,Retail,,1981.0,0.3,50916NAb2NANA,b2,True,False,RS,94560,477.0
206295,-122.028104829,37.5279565215,M,17.424,0.0,Newark,0.0,0.0,Alameda,2147.68445368,Vacant,,,0.4,50916NANANANA,,True,False,,94560,477.0
357767,-121.996790814,37.5179410409,M,30.0,1627.0,Newark,1627.0,0.0,Alameda,2524.81240382,Residential,,1990.0,,50916NANANANA,,False,True,HS,94560,477.0
357592,-121.998829861,37.5200293966,M,13.068,0.0,Newark,0.0,0.0,Alameda,98368.0839262,Vacant,,,0.3,50916NANANANA,,True,False,,94560,477.0
207475,-122.052271282,37.5401374656,M,13.068,1950.0,Newark,1950.0,0.0,Alameda,4023.78203939,Residential,,1975.0,0.3,50916NANANANA,,True,False,HS,94560,477.0
208583,-122.046456391,37.5484974668,M,13.068,2274.0,Newark,2274.0,0.0,Alameda,23988.1528021,Retail,,1978.0,0.3,50916NAb2NANA,b2,True,False,RS,94560,477.0
209286,-122.04343626,37.5472105123,M,13.068,4091.25,Newark,0.0,5.0,Alameda,5949.61447995,Residential,,1968.0,0.3,50916NAb2NANA,b2,True,False,HM,94560,477.0
213022,-122.028983448,37.5379738023,M,13.068,12000.0,Newark,12000.0,0.0,Alameda,41889.5614267,Office,,1961.0,0.3,50916NAb3NANA,b3,True,False,OF,94560,477.0
358102,-121.99646338,37.5167263954,M,30.0,1766.0,Newark,1766.0,0.0,Alameda,2068.15182185,Residential,,1991.0,,50916NANANANA,,False,True,HS,94560,477.0
209447,-122.05075105,37.5448562161,M,8.5,2640.0,Newark,0.0,2.0,Alameda,5990.90825338,Residential,,1962.0,,50916NAb2NANA,b2,False,True,HS,94560,477.0
209478,-122.051265926,37.5436537436,M,8.5,2200.0,Newark,0.0,2.0,Alameda,6116.62033603,Residential,,1963.0,,50916NAb3NANA,b3,False,True,HS,94560,477.0
357248,-121.997356275,37.5122752028,M,15.246,0.0,Newark,0.0,0.0,Alameda,915908.349257,Vacant,,,0.35,50916NANANANA,,False,False,,94560,477.0
357769,-121.996995016,37.5180988165,M,30.0,1627.0,Newark,1627.0,0.0,Alameda,1868.89632871,Residential,,1990.0,,50916NANANANA,,False,True,HS,94560,477.0
208596,-122.048528418,37.541004405,M,13.068,2772.0,Newark,0.0,2.0,Alameda,5974.10703889,Residential,,1964.0,0.3,50916NANANANA,,True,False,HS,94560,477.0
214668,-122.016827314,37.5259335934,M,13.068,3632.0,Newark,0.0,2.0,Alameda,6865.53962899,Residential,,1970.0,0.3,50916NANANANA,,True,False,HS,94560,477.0
214763,-122.013467666,37.5279186139,M,8.5,1856.0,Newark,1856.0,0.0,Alameda,4913.67432215,Residential,,1984.0,,50916NAb2NANA,b2,False,True,HS,94560,477.0
344440,-122.054758142,37.5227443022,M,21.78,0.0,Newark,0.0,0.0,Alameda,821.49191989,Vacant,,,0.5,50916NAbrt3NANA,brt3,False,False,,94560,477.0
344445,-122.065672036,37.5200532368,M,21.78,0.0,Newark,0.0,0.0,Alameda,219307.579824,Vacant,,,0.5,50916NANANANA,,False,False,,94560,477.0
357244,-121.998998133,37.5156597,M,13.068,0.0,Newark,0.0,0.0,Alameda,29404.084046,Vacant,,,0.3,50916NANANANA,,True,False,,94560,477.0
357384,-122.005494625,37.521302548,M,13.068,3038.0,Newark,0.0,2.0,Alameda,4646.95084052,Residential,,1986.0,0.3,50916NAb2NANA,b2,True,False,HS,94560,477.0
357513,-121.997729779,37.5188325588,M,30.0,2264.0,Newark,0.0,2.0,Alameda,1050.47091571,Residential,,1987.0,,50916NANANANA,,False,True,HM,94560,477.0
357518,-121.998121935,37.5185874561,M,30.0,2438.0,Newark,0.0,2.0,Alameda,2311.23865044,Residential,,1987.0,,50916NANANANA,,False,True,HM,94560,477.0
358092,-121.99737926,37.5181466671,M,30.0,1627.0,Newark,1627.0,0.0,Alameda,2258.16976609,Residential,,1990.0,,50916NANANANA,,False,True,HS,94560,477.0
