parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
798292,-122.605303568,38.1238022821,M,20.0,2029.42425042,Novato,0.0,1.0,Marin,133127.991869,Residential,,1984.0,2.33333333333,52582NANANANA,,False,True,HM,94945,404.0
810538,-122.552478897,38.0813284734,S,10.0,2029.42425042,Novato,0.0,1.0,Marin,54547.3503079,Residential,,1975.0,2.0,52582NANANANA,,False,True,HM,94947,410.0
812102,-122.567986568,38.1080334051,S,43.56,0.0,Novato,0.0,0.0,Marin,1750.0151353,Vacant,,,1.0,52582NAb2NANA,b2,True,False,,94945,404.0
804151,-122.578958224,38.0973295622,S,17.424,0.0,Novato,0.0,0.0,Marin,819.322024654,Vacant,,,0.4,52582NANANANA,,True,False,,94947,410.0
800972,-122.59174049,38.1150819449,S,5.0,3516.0,Novato,0.0,3.0,Marin,8950.38772278,Residential,,1958.0,2.0,52582NANANANA,,False,True,HS,94947,410.0
805434,-122.579415823,38.1192626435,S,5.0,1900.0,Novato,0.0,2.0,Marin,997.187877228,Residential,,1988.0,2.0,52582NANANANA,,False,True,HS,94945,404.0
812487,-122.566637589,38.1000744631,S,17.424,538.0,Novato,538.0,0.0,Marin,5940.15766146,Office,,1961.0,0.4,52582NAb3NANA,b3,True,False,OF,94945,404.0
812506,-122.562599371,38.0960725704,S,17.424,41777.0,Novato,41777.0,0.0,Marin,72133.1312277,Retail,,1978.0,0.4,52582NANANANA,,True,False,RS,94945,404.0
797881,-122.593628337,38.1198515383,S,5.0,4058.84850085,Novato,0.0,2.0,Marin,8119.43712185,Residential,,1968.0,2.0,52582NANANANA,,False,True,HS,94945,404.0
802819,-122.572578512,38.1002385565,S,26.136,7200.0,Novato,7200.0,0.0,Marin,330.002892933,Office,,1964.0,0.6,52582NAb3NANA,b3,True,False,OF,94947,410.0
807322,-122.59505493,38.0995077967,S,5.0,2156.0,Novato,0.0,1.0,Marin,54310.8161149,Residential,,1967.0,2.0,52582NANANANA,,False,True,HS,94947,410.0
811930,-122.554198062,38.0837911948,S,10.0,0.0,Novato,0.0,0.0,Marin,1546.69022181,Residential,,1990.0,2.0,52582NAb3NANA,b3,False,True,HS,94947,410.0
811984,-122.567183205,38.1094899188,S,43.56,3215.0,Novato,3215.0,0.0,Marin,10500.0904667,Office,,1955.0,1.0,52582NAb2NANA,b2,True,False,OF,94945,404.0
814620,-122.492036096,38.0620429479,M,,0.0,Novato,0.0,0.0,Marin,17438111.8721,Vacant,,,,52582NANANANA,,False,False,,94949,405.0
815282,-122.535230436,38.0687084126,M,17.424,0.0,Novato,0.0,0.0,Marin,11388.8785552,Vacant,,,0.4,52582NAb2NANA,b2,False,False,,94949,405.0
817275,-122.541414272,38.0698561312,S,10.0,30441.3637564,Novato,0.0,15.0,Marin,13719.0944666,Residential,,1984.0,2.0,52582NAb2NANA,b2,False,True,HM,94949,405.0
818697,-122.535183484,38.0504730843,MH,10.0,8117.6970017,Novato,0.0,4.0,Marin,6359.76714547,Residential,,1980.0,2.0,52582NAb3NANA,b3,False,True,HM,94949,405.0
803340,-122.593571303,38.1058083105,S,5.0,0.0,Novato,0.0,0.0,Marin,153872.522016,Office,,1964.0,2.0,52582NANANANA,,False,True,OF,94947,410.0
803692,-122.57592288,38.1024713675,S,5.0,0.0,Novato,0.0,0.0,Marin,6163.4154435,Vacant,,,2.0,52582NAb3NANA,b3,False,True,,94947,410.0
803696,-122.576477886,38.1011283065,S,30.0,4272.0,Novato,0.0,2.0,Marin,8086.39616239,Residential,,1972.0,2.33333333333,52582NAb3NANA,b3,False,False,HM,94947,410.0
806465,-122.526270598,38.1182989845,H,5.0,1781.0,Novato,0.0,1.0,Marin,61396.6535352,Residential,,1981.0,2.0,52582NANANANA,,False,True,HS,94945,404.0
807375,-122.594260716,38.0986861636,S,5.0,2029.42425042,Novato,0.0,1.0,Marin,58630.1622744,Residential,,1932.0,2.0,52582NANANANA,,False,True,HS,94947,410.0
809553,-122.574353655,38.0816365476,S,5.0,0.0,Novato,0.0,0.0,Marin,21734.3327423,Residential,,1990.0,2.0,52582NANANANA,,False,True,HS,94947,410.0
811478,-122.550788355,38.0817665728,S,10.0,0.0,Novato,0.0,0.0,Marin,2323.52708827,Residential,,1976.0,2.0,52582NANANANA,,False,True,HS,94947,410.0
815235,-122.535022274,38.0655789654,M,17.424,0.0,Novato,0.0,0.0,Marin,35671.5991008,Vacant,,,0.4,52582NAb2NANA,b2,False,False,,94949,405.0
815241,-122.533616078,38.0637806131,M,17.424,32352.0,Novato,32352.0,0.0,Marin,108428.852856,Retail,,1960.0,0.4,52582NAb2NANA,b2,True,False,RS,94949,405.0
817461,-122.542670362,38.0685183347,S,20.0,9054.0,Novato,9054.0,0.0,Marin,13409.6174033,Office,,1968.0,2.33333333333,52582NAb2NANA,b2,False,True,OF,94949,405.0
