parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
539386,-121.707631228,37.9774653527,MH,5.5,0.0,Oakley,0.0,0.0,Contra Costa,8092.43577031,Vacant,,,,53070NANANANA,,False,True,,94561,217.0
588539,-121.73821112,37.9952237379,MH,5.5,0.0,Oakley,0.0,0.0,Contra Costa,10000.8397352,Vacant,,,,53070NANANANA,,False,True,,94561,217.0
538537,-121.707222188,37.9770243966,MH,5.5,0.0,Oakley,0.0,0.0,Contra Costa,7803.17975656,Vacant,,,,53070NANANANA,,False,True,,94561,217.0
530705,-121.723399188,37.973645369,MH,2.3,0.0,Oakley,0.0,0.0,Contra Costa,10866.5058472,Vacant,,,,53070NANANANA,,False,True,,94561,217.0
537385,-121.697889607,37.9765239181,MH,5.5,0.0,Oakley,0.0,0.0,Contra Costa,21719.2694179,Vacant,,,,53070NANANANA,,False,True,,94561,217.0
543853,-121.707375119,37.9795368407,MH,5.5,0.0,Oakley,0.0,0.0,Contra Costa,9107.68947542,Vacant,,,,53070NANANANA,,False,True,,94561,217.0
536793,-121.708167532,37.9762581917,MH,5.5,0.0,Oakley,0.0,0.0,Contra Costa,7235.2115852,Vacant,,,,53070NANANANA,,False,True,,94561,217.0
539464,-121.706505491,37.9776328494,MH,5.5,0.0,Oakley,0.0,0.0,Contra Costa,6604.50049794,Vacant,,,,53070NANANANA,,False,True,,94561,217.0
576885,-121.72253314,37.9911559677,MH,5.5,0.0,Oakley,0.0,0.0,Contra Costa,6653.48945266,Vacant,,,,53070NANANANA,,False,True,,94561,217.0
530073,-121.704313917,37.9729564981,MH,5.5,0.0,Oakley,0.0,0.0,Contra Costa,99029.1913937,Vacant,,,,53070NANANANA,,False,True,,94561,217.0
544727,-121.705303037,37.9799135874,MH,5.5,0.0,Oakley,0.0,0.0,Contra Costa,8537.79710576,Vacant,,,,53070NANANANA,,False,True,,94561,217.0
529620,-121.723133198,37.9732314937,MH,2.3,0.0,Oakley,0.0,0.0,Contra Costa,11839.3490204,Vacant,,,,53070NANANANA,,False,True,,94561,217.0
544008,-121.705356863,37.9797087281,MH,5.5,0.0,Oakley,0.0,0.0,Contra Costa,6692.83892344,Vacant,,,,53070NANANANA,,False,True,,94561,217.0
523169,-121.72621116,37.9708565905,MH,3.8,0.0,Oakley,0.0,0.0,Contra Costa,7434.89076929,Vacant,,,,53070NANANANA,,False,True,,94561,217.0
