parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
697913,-122.182765339,37.8625581236,MH,1.1,0.0,Orinda,0.0,0.0,Contra Costa,23218.2648979,Vacant,,,1.8,54232NANANANA,,False,True,,94563,607.0
697354,-122.184251618,37.8618436217,MH,1.1,0.0,Orinda,0.0,0.0,Contra Costa,4953.18929867,Vacant,,,1.8,54232NANANANA,,False,True,,94563,607.0
700416,-122.185060938,37.8661145985,MH,1.1,0.0,Orinda,0.0,0.0,Contra Costa,876869.27781,Vacant,,,1.8,54232NANANANA,,False,True,,94563,607.0
701163,-122.185183853,37.8661403408,MH,1.1,0.0,Orinda,0.0,0.0,Contra Costa,1799115.60859,Vacant,,,1.8,54232NANANANA,,False,True,,94563,607.0
695581,-122.180760496,37.8574848306,MH,1.1,0.0,Orinda,0.0,0.0,Contra Costa,138690.991923,Vacant,,,1.8,54232NANANANA,,False,True,,94563,607.0
698040,-122.185177949,37.8627282116,MH,1.1,0.0,Orinda,0.0,0.0,Contra Costa,23881.2775038,Vacant,,,1.8,54232NANANANA,,False,True,,94563,607.0
699332,-122.183658272,37.8648236515,MH,1.1,0.0,Orinda,0.0,0.0,Contra Costa,12799.3474937,Vacant,,,1.8,54232NANANANA,,False,True,,94563,607.0
698653,-122.180446638,37.8637085655,MH,1.1,0.0,Orinda,0.0,0.0,Contra Costa,14666.9452915,Vacant,,,1.8,54232NANANANA,,False,True,,94563,607.0
698630,-122.186296648,37.8635569342,MH,1.1,0.0,Orinda,0.0,0.0,Contra Costa,16590.2583318,Vacant,,,1.8,54232NANANANA,,False,True,,94563,607.0
699962,-122.188217617,37.8656022277,MH,1.1,0.0,Orinda,0.0,0.0,Contra Costa,252230.012864,Vacant,,,1.8,54232NANANANA,,False,True,,94563,607.0
699149,-122.177771429,37.864428911,MH,2.2,0.0,Orinda,0.0,0.0,Contra Costa,118733.576579,Vacant,,,1.8,54232NANANANA,,False,True,,94563,607.0
