parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1098500,-122.510651559,37.5938348045,MH,9.0,0.0,Pacifica,0.0,0.0,San Mateo,2500.02711206,Vacant,,,2.33333333333,54806NAb3NANA,b3,False,True,,94044,633.0
1099372,-122.486103783,37.5956398878,MH,9.0,0.0,Pacifica,0.0,0.0,San Mateo,4684.74844527,Vacant,,,2.33333333333,54806NAb3NANA,b3,False,True,,94044,633.0
1100553,-122.490624494,37.5760544235,MH,0.2,0.0,Pacifica,0.0,0.0,San Mateo,5110.1133991,Vacant,,,2.4,54806NANANANA,,False,True,,94044,633.0
1096115,-122.49019364,37.604695722,MH,9.0,0.0,Pacifica,0.0,0.0,San Mateo,2452.04987737,Vacant,,,2.33333333333,54806NAb3NANA,b3,False,True,,94044,633.0
1096220,-122.485937151,37.6017078275,MH,2.0,0.0,Pacifica,0.0,0.0,San Mateo,15000.3346286,Vacant,,,2.33333333333,54806NAb3NANA,b3,False,True,,94044,633.0
1101002,-122.490208567,37.5794517232,MH,9.0,0.0,Pacifica,0.0,0.0,San Mateo,9051.84017463,Vacant,,,2.33333333333,54806NANANANA,,False,True,,94044,633.0
1081163,-122.492800198,37.6315234283,MH,13.068,0.0,Pacifica,0.0,0.0,San Mateo,5787.0534152,Vacant,,,0.3,54806NAb3NANA,b3,True,True,,94044,633.0
1065392,-122.491439172,37.6518296245,M,13.068,6675.0,Pacifica,6675.0,0.0,San Mateo,10134.7598127,Retail,,1961.0,0.3,54806NAb3NANA,b3,True,True,RS,94044,633.0
1098352,-122.510449811,37.5937609287,MH,9.0,0.0,Pacifica,0.0,0.0,San Mateo,6058.05219129,Vacant,,,2.33333333333,54806NAb3NANA,b3,False,True,,94044,633.0
1100520,-122.485604875,37.576971111,MH,0.2,0.0,Pacifica,0.0,0.0,San Mateo,122964.285974,Vacant,,,2.4,54806NANANANA,,False,True,,94044,633.0
1080322,-122.493874294,37.6360474928,MH,21.0,5836.11029021,Pacifica,0.0,3.0,San Mateo,7202.11511381,Residential,,1970.0,2.33333333333,54806NANANANA,,False,True,HM,94044,633.0
1081406,-122.488052038,37.6277711382,MH,9.0,9726.85048369,Pacifica,0.0,5.0,San Mateo,6406.86718594,Residential,,1961.0,2.33333333333,54806NAb3NANA,b3,False,True,HM,94044,633.0
1096207,-122.49034843,37.603912498,MH,4.591e-06,0.0,Pacifica,0.0,0.0,San Mateo,15046.9376573,Vacant,,,2.33333333333,54806NAb3NANA,b3,False,True,,94044,633.0
1096600,-122.503896154,37.5969128583,MH,,0.0,Pacifica,0.0,0.0,San Mateo,9529.52829263,Vacant,,,,54806NAb2NANA,b2,False,False,,94044,633.0
