parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1309312,-122.142612086,37.4248201749,S,40.0,247884.0,Palo Alto,0.0,182.0,Santa Clara,23300.1383045,Residential,pal1,1992.0,1.0,55282PAL1cr3NANA,cr3,False,True,HM,94306,1371.0
1303677,-122.111804737,37.4275954813,M,7.0,7624.0,Palo Alto,0.0,2.0,Santa Clara,8489.82192303,Residential,,1972.0,0.45,55282NAb3NANA,b3,False,True,HS,94303,1062.0
1333250,-122.121938554,37.4066512198,M,17.424,148920.0,Palo Alto,0.0,120.0,Santa Clara,31889.7738021,Residential,,1991.0,0.4,55282NAbrt2NANA,brt2,True,False,HM,94306,1371.0
1298916,-122.157581316,37.4464060337,S,40.0,10586.0,Palo Alto,0.0,2.0,Santa Clara,10141.7356407,Residential,,1970.0,1.0,55282NAcr3NANA,cr3,False,True,HM,94301,1578.0
1298938,-122.156505136,37.4462838404,S,40.0,2950.0,Palo Alto,2950.0,0.0,Santa Clara,9929.09258532,Office,,1973.0,1.0,55282NAcr3NANA,cr3,False,True,OF,94301,1578.0
1299615,-122.153411478,37.4404787588,S,7.0,4248.0,Palo Alto,0.0,2.0,Santa Clara,5455.97493522,Residential,,1922.0,0.45,55282NAb1NANA,b1,False,True,HS,94301,1578.0
1301515,-122.143947168,37.431554344,M,40.0,3656.0,Palo Alto,0.0,2.0,Santa Clara,6231.69271876,Residential,,1931.0,1.0,55282NAcr3NANA,cr3,False,True,HS,94301,1578.0
1308243,-122.141280002,37.4267522912,S,,0.0,Palo Alto,0.0,0.0,Santa Clara,60682.3638449,Vacant,pal1,,,55282PAL1cr3NANA,cr3,False,False,,94306,1371.0
1308531,-122.137135634,37.4208960409,S,17.424,0.0,Palo Alto,0.0,0.0,Santa Clara,7403.21411192,Retail,,1953.0,0.4,55282NAbrt2NANA,brt2,True,False,RS,94306,1371.0
1330965,-122.124089789,37.4037249276,M,7.0,2844.0,Palo Alto,0.0,2.0,Santa Clara,9763.13081539,Residential,,1959.0,0.45,55282NAbrt2NANA,brt2,False,True,HS,94306,1371.0
1311792,-122.127803988,37.413457405,M,40.0,3040.0,Palo Alto,0.0,5.0,Santa Clara,506.99294963,Residential,,1987.0,1.0,55282NAbrt2NANA,brt2,False,True,HM,94306,1371.0
1298377,-122.147538072,37.4441143633,S,7.0,0.0,Palo Alto,0.0,0.0,Santa Clara,6788.17558071,Residential,,1910.0,0.45,55282NAb2NANA,b2,False,True,HM,94301,1578.0
1307911,-122.134022925,37.4250469948,M,40.0,6952.0,Palo Alto,0.0,4.0,Santa Clara,9581.71888359,Residential,,1959.0,1.0,55282NAbrt3NANA,brt3,False,True,HM,94306,1371.0
1308419,-122.130988136,37.419934125,S,7.0,1560.0,Palo Alto,0.0,2.0,Santa Clara,3198.17671957,Residential,,1988.0,0.45,55282NAb2NANA,b2,False,True,HS,94306,1371.0
1309175,-122.131299447,37.4237934045,M,40.0,10140.0,Palo Alto,0.0,5.0,Santa Clara,7816.2291175,Residential,,1957.0,1.0,55282NAb2NANA,b2,False,True,HM,94306,1371.0
1310029,-122.153230548,37.4189666072,S,7.0,4332.0,Palo Alto,0.0,2.0,Santa Clara,4976.31305716,Residential,,1988.0,0.45,55282NAb2NANA,b2,False,True,HS,94306,1371.0
1267354,-122.123953279,37.4515861039,M,,120000.0,Palo Alto,120000.0,0.0,Santa Clara,257264.95688,Office,,1978.0,,55282NANANANA,,False,False,OF,94303,1062.0
1267350,-122.124350448,37.4526264132,M,,0.0,Palo Alto,0.0,0.0,Santa Clara,12245.5109181,Vacant,,,,55282NANANANA,,False,False,,94303,1062.0
1267381,-122.117929204,37.4495844658,M,17.424,17470.0,Palo Alto,17470.0,0.0,Santa Clara,100691.602394,Retail,,1970.0,0.4,55282NANANANA,,True,False,RS,94303,1062.0
1315340,-122.117438894,37.4104149573,S,7.0,0.0,Palo Alto,0.0,0.0,Santa Clara,1850.65547271,Vacant,,,0.45,55282NAbrt2NANA,brt2,False,True,,94306,1371.0
1298924,-122.158864715,37.4454493876,S,50.0,0.0,Palo Alto,0.0,0.0,Santa Clara,16760.9571392,Vacant,,,,55282NAcr3NANA,cr3,False,True,,94301,1578.0
1299429,-122.16204,37.4444890756,S,50.0,844.0,Palo Alto,844.0,0.0,Santa Clara,14900.34964,Retail,,1922.0,,55282NAcr3NANA,cr3,False,True,RS,94301,1578.0
1301621,-122.15841841,37.436096865,S,43.56,0.0,Palo Alto,0.0,0.0,Santa Clara,162.166629533,Vacant,,,1.0,55282NAb1NANA,b1,False,False,,94306,1371.0
1302128,-122.145371243,37.4276371853,S,87.12,12015.0,Palo Alto,12015.0,0.0,Santa Clara,11184.0234046,Retail,pal1,1953.0,2.0,55282PAL1cr3NANA,cr3,True,False,RS,94306,1371.0
1302153,-122.144493125,37.4271360126,S,87.12,12015.0,Palo Alto,12015.0,0.0,Santa Clara,12706.6483919,Retail,pal1,1946.0,2.0,55282PAL1cr3NANA,cr3,True,False,RS,94306,1371.0
1303078,-122.105338227,37.4292292421,M,21.78,0.0,Palo Alto,0.0,0.0,Santa Clara,5501.33702991,Vacant,,,0.5,55282NANANANA,,True,False,,94303,1062.0
1304628,-122.1083801,37.4336459537,M,21.78,0.0,Palo Alto,0.0,0.0,Santa Clara,8557.98326154,Vacant,,,0.5,55282NANANANA,,True,False,,94303,1062.0
1307926,-122.133038026,37.4246517071,M,40.0,0.0,Palo Alto,0.0,0.0,Santa Clara,16937.6105089,Vacant,,,1.0,55282NAb2NANA,b2,False,True,,94306,1371.0
1308763,-122.125545716,37.4188436209,S,7.0,0.0,Palo Alto,0.0,0.0,Santa Clara,509.157138727,Vacant,,,0.45,55282NAb3NANA,b3,False,True,,94306,1371.0
1303365,-122.105620582,37.4242025164,M,7.0,2494.0,Palo Alto,0.0,2.0,Santa Clara,8117.19305521,Residential,,1964.0,0.45,55282NAb3NANA,b3,False,True,HS,94303,1062.0
1297713,-122.103684225,37.432453472,M,21.78,32324.0,Palo Alto,32324.0,0.0,Santa Clara,46625.933452,Industrial,,1974.0,0.5,55282NANANANA,,True,False,IL,94303,1062.0
1299266,-122.165108787,37.4473633437,S,40.0,5770.0,Palo Alto,0.0,5.0,Santa Clara,5441.8569385,Residential,,1942.0,1.0,55282NAcr3NANA,cr3,False,True,HM,94301,1578.0
1299584,-122.157498663,37.440124471,S,50.094,3850.0,Palo Alto,3850.0,0.0,Santa Clara,7711.36232745,Office,,1946.0,1.15,55282NAcr3NANA,cr3,True,True,OF,94301,1578.0
1303155,-122.108995011,37.4275065457,M,7.0,2778.0,Palo Alto,0.0,2.0,Santa Clara,6648.03591357,Residential,,1964.0,0.45,55282NAb3NANA,b3,False,True,HS,94303,1062.0
1303428,-122.106287286,37.4209082674,M,7.0,2288.0,Palo Alto,0.0,2.0,Santa Clara,5925.43433007,Residential,,1962.0,0.45,55282NAb3NANA,b3,False,True,HS,94303,1062.0
1303935,-122.116407056,37.430810782,M,7.0,3522.0,Palo Alto,0.0,2.0,Santa Clara,7118.38270871,Residential,,1963.0,0.45,55282NAb3NANA,b3,False,True,HS,94303,1062.0
1304519,-122.12777536,37.433759841,M,17.424,0.0,Palo Alto,0.0,0.0,Santa Clara,5669.9758756,Parking,,1940.0,0.4,55282NAb2NANA,b2,True,False,PA2,94303,1062.0
1305065,-122.115148688,37.4296302421,M,7.0,2390.0,Palo Alto,0.0,2.0,Santa Clara,7210.87989104,Residential,,1963.0,0.45,55282NAb3NANA,b3,False,True,HS,94303,1062.0
1305277,-122.120721307,37.4283307577,M,7.0,6375.0,Palo Alto,0.0,3.0,Santa Clara,7686.98022388,Residential,,1969.0,0.45,55282NAb3NANA,b3,False,True,HS,94303,1062.0
1308797,-122.124268945,37.4168024952,S,7.0,2960.0,Palo Alto,0.0,2.0,Santa Clara,7464.19144022,Residential,,1970.0,0.45,55282NAbrt2NANA,brt2,False,True,HS,94306,1371.0
1309085,-122.123274965,37.4109276632,S,40.0,2642.0,Palo Alto,2642.0,0.0,Santa Clara,13777.7833195,Retail,,1989.0,1.0,55282NAbrt2NANA,brt2,False,True,RS,94306,1371.0
1310558,-122.130700367,37.4147618498,M,40.0,7552.0,Palo Alto,0.0,2.0,Santa Clara,17274.5989957,Residential,,1957.0,1.0,55282NAb2NANA,b2,False,True,HS,94306,1371.0
1312542,-122.14161487,37.4019769394,MH,,0.0,Palo Alto,0.0,0.0,Santa Clara,97620.3453674,Industrial,,1969.0,,55282NAbrt3NANA,brt3,False,False,IL,94304,0.0
1313429,-122.102210476,37.4133131929,M,40.0,60000.0,Palo Alto,0.0,2.0,Santa Clara,262648.847398,Residential,,1977.0,1.0,55282NAcr3NANA,cr3,False,True,HS,94306,1371.0
1315488,-122.117899349,37.4077791712,M,7.0,4432.0,Palo Alto,0.0,4.0,Santa Clara,6824.05024022,Residential,,1960.0,0.45,55282NAbrt2NANA,brt2,False,True,HS,94306,1371.0
1339094,-122.177678562,37.3749872129,MH,2.0,11410.0,Palo Alto,0.0,2.0,Santa Clara,118982.552383,Residential,,1990.0,,55282NANANANA,,False,False,HS,94304,0.0
1298197,-122.155305785,37.4466687523,S,40.0,19581.0,Palo Alto,0.0,3.0,Santa Clara,19100.0457684,Residential,,1983.0,1.0,55282NAb2NANA,b2,False,True,HM,94301,1578.0
1298685,-122.166731386,37.449981938,S,7.0,14607.5,Palo Alto,0.0,5.0,Santa Clara,8929.35034976,Residential,,1985.0,0.45,55282NAcr3NANA,cr3,False,True,HM,94301,1578.0
1299226,-122.167376247,37.4467801301,S,40.0,3057.0,Palo Alto,0.0,3.0,Santa Clara,9521.23339766,Residential,,1941.0,1.0,55282NAcr3NANA,cr3,False,True,HM,94301,1578.0
1299376,-122.164391345,37.4444323677,S,50.0,0.0,Palo Alto,0.0,0.0,Santa Clara,4552.24692273,Office,,1984.0,,55282NAcr3NANA,cr3,False,True,OF,94301,1578.0
1300204,-122.164630126,37.4440509939,S,50.0,445.0,Palo Alto,445.0,0.0,Santa Clara,383.521169396,Retail,,1984.0,,55282NAcr3NANA,cr3,False,True,RS,94301,1578.0
1305591,-122.104647364,37.4277286144,M,21.78,150000.0,Palo Alto,150000.0,0.0,Santa Clara,207329.780531,Industrial,,1991.0,0.5,55282NANANANA,,False,False,IL,94303,1062.0
1308434,-122.142273385,37.4238897181,S,40.0,80888.0,Palo Alto,80888.0,0.0,Santa Clara,41053.4464116,Office,,1949.0,1.0,55282NAcr3NANA,cr3,False,True,OF,94306,1371.0
1311905,-122.126744596,37.4139237957,M,40.0,6675.0,Palo Alto,6675.0,0.0,Santa Clara,29581.6159469,Retail,,1975.0,1.0,55282NAbrt2NANA,brt2,False,True,RS,94306,1371.0
