parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1883677,-122.618891915,38.221327545,MH,2.5,0.0,Petaluma,0.0,0.0,Sonoma,40332.2192296,Vacant,,,1.66666666667,56784NANANANA,,False,True,,94952,442.0
1899411,-122.59207414,38.2417292723,MH,5.0,0.0,Petaluma,0.0,0.0,Sonoma,67862.049164,Vacant,,,1.66666666667,56784NANANANA,,False,True,,94954,349.0
1898173,-122.590219408,38.2455295637,MH,5.0,0.0,Petaluma,0.0,0.0,Sonoma,196514.710098,Vacant,,,1.66666666667,56784NANANANA,,False,True,,94954,349.0
1875357,-122.599402209,38.2307032421,MH,8.712,62932.0,Petaluma,62932.0,0.0,Sonoma,201022.434561,Office,,1975.0,0.2,56784NANANANA,,False,False,OF,94954,349.0
2001687,-122.641340059,38.2679202647,M,18.0,0.0,Petaluma,0.0,0.0,Sonoma,229947.34895,Vacant,,,2.33333333333,56784NANANANA,,False,True,,94954,349.0
1875356,-122.597844154,38.2315158933,MH,116.16,0.0,Petaluma,0.0,0.0,Sonoma,256711.10958,Vacant,,,2.66666666667,56784NANANANA,,True,False,,94954,349.0
1898172,-122.589450162,38.2433644754,MH,43.56,0.0,Petaluma,0.0,0.0,Sonoma,187628.795174,Vacant,,,1.0,56784NANANANA,,False,False,,94954,349.0
1880357,-122.665800023,38.2701658163,M,26.136,24000.0,Petaluma,24000.0,0.0,Sonoma,850.311675445,Industrial,,1985.0,0.6,56784NANANANA,,True,False,IW,94954,349.0
1899116,-122.601501718,38.2525100059,MH,8.0,3828.0,Petaluma,0.0,2.0,Sonoma,7507.52218037,Residential,,1987.0,1.66666666667,56784NANANANA,,False,True,HS,94954,349.0
1934956,-122.654984461,38.2647073938,M,18.0,0.0,Petaluma,0.0,0.0,Sonoma,217813.848216,Office,,1985.0,1.66666666667,56784NAcr4NANA,cr4,False,True,OF,94954,349.0
2000209,-122.624399453,38.2650106568,M,8.0,6774.0,Petaluma,0.0,2.0,Sonoma,11421.8602725,Residential,,1993.0,1.66666666667,56784NANANANA,,False,True,HS,94954,349.0
1875196,-122.603151923,38.2346862859,MH,8.0,2288.0,Petaluma,0.0,2.0,Sonoma,7318.30263963,Residential,,1975.0,1.66666666667,56784NANANANA,,False,True,HS,94954,349.0
1998442,-122.609685461,38.2622033527,M,,0.0,Petaluma,0.0,0.0,Sonoma,1383710.29871,Vacant,,,,56784NANANANA,,False,False,,94954,349.0
1876937,-122.647878192,38.2318054949,M,12.0,2189.0,Petaluma,0.0,2.0,Sonoma,4415.30203812,Residential,,1951.0,1.66666666667,56784NANANANA,,False,True,HM,94952,442.0
1877136,-122.638883492,38.2451248857,M,,0.0,Petaluma,0.0,0.0,Sonoma,152.977043291,Vacant,,,,56784NANANANA,,False,False,,94952,442.0
1876581,-122.643686531,38.2357398299,M,18.0,8328.0,Petaluma,8328.0,0.0,Sonoma,14266.3716362,Office,,1979.0,2.33333333333,56784NAcr4NANA,cr4,False,True,OF,94952,442.0
1875963,-122.644127672,38.2416100319,M,30.0,4450.0,Petaluma,4450.0,0.0,Sonoma,5991.02103561,Retail,,1942.0,2.5,56784NANANANA,,False,True,RS,94952,442.0
1876541,-122.645954594,38.2344597532,M,30.0,5711.0,Petaluma,5711.0,0.0,Sonoma,5027.03409936,Office,,1942.0,2.5,56784NANANANA,,False,True,OF,94952,442.0
1876547,-122.645170932,38.2356274795,M,18.0,4791.0,Petaluma,0.0,3.0,Sonoma,3968.84779434,Residential,,1925.0,2.33333333333,56784NANANANA,,False,True,HS,94952,442.0
1876574,-122.643830162,38.2351216885,M,30.0,7128.0,Petaluma,7128.0,0.0,Sonoma,3509.9111295,Retail,,1924.0,2.5,56784NAb3NANA,b3,False,True,RS,94952,442.0
1878244,-122.634175777,38.2397012573,M,30.0,1344.0,Petaluma,1344.0,0.0,Sonoma,10338.7392703,Retail,pet1,1961.0,2.5,56784PET1cr4NANA,cr4,False,True,RS,94952,442.0
1878394,-122.635731751,38.2389430535,M,30.0,0.0,Petaluma,0.0,0.0,Sonoma,9743.52875501,Office,pet1,1952.0,2.5,56784PET1cr4NANA,cr4,False,True,OF,94952,442.0
1878455,-122.630428793,38.2391501585,M,12.0,0.0,Petaluma,0.0,0.0,Sonoma,334.053834503,Vacant,,,1.66666666667,56784NAcr4NANA,cr4,False,True,,94952,442.0
