parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
631507,-122.309672855,38.0040960822,M,20.0,0.0,Pinole,0.0,0.0,Contra Costa,39399.6876685,Vacant,pin1,,2.66666666667,57288PIN1b3NANA,b3,False,True,,94564,313.0
624784,-122.306264392,38.0017348986,M,1.0,2376.0,Pinole,0.0,2.0,Contra Costa,7287.66767384,Residential,,1968.0,,57288NAb2NANA,b2,False,True,HS,94564,313.0
569469,-122.263238609,37.9814509768,MH,1.0,1808.0,Pinole,0.0,1.0,Contra Costa,65028.4850282,Residential,,1974.0,,57288NANANANA,,False,True,HS,94564,313.0
588737,-122.290392197,37.9877923019,MH,7.2,0.0,Pinole,0.0,0.0,Contra Costa,22911.5973267,Vacant,,,,57288NAb3NANA,b3,False,True,,94803,303.0
625289,-122.295084355,38.0015335891,M,20.0,100342.722222,Pinole,0.0,142.0,Contra Costa,376869.491762,Residential,,1976.0,2.66666666667,57288NAb2NANA,b2,False,True,HM,94564,313.0
642901,-122.296141922,38.0099430224,M,1.0,2512.0,Pinole,0.0,2.0,Contra Costa,5927.25115094,Residential,,1959.0,,57288NAb2NANA,b2,False,True,HS,94564,313.0
573455,-122.27702246,37.9830178851,MH,1.0,2896.0,Pinole,0.0,2.0,Contra Costa,5411.74480151,Residential,,1957.0,,57288NANANANA,,False,True,HS,94564,313.0
577433,-122.276293125,37.9842546078,MH,1.0,3590.0,Pinole,0.0,2.0,Contra Costa,20761.1767731,Residential,,1969.0,,57288NANANANA,,False,True,HS,94564,313.0
590363,-122.287786495,37.9883799605,MH,7.2,5524.0,Pinole,5524.0,0.0,Contra Costa,127743.916587,Office,,1976.0,,57288NANANANA,,False,True,OF,94564,313.0
594097,-122.272970783,37.9897251132,MH,10.0,0.0,Pinole,0.0,0.0,Contra Costa,121372.143796,Vacant,,,,57288NANANANA,,False,True,,94564,313.0
607279,-122.30517376,37.9954176425,M,17.424,900.0,Pinole,900.0,0.0,Contra Costa,1400.00312139,Retail,pin2,1973.0,0.4,57288PIN2NANANA,,True,False,RS,94564,313.0
607621,-122.302981876,37.9947106189,M,17.424,0.0,Pinole,0.0,0.0,Contra Costa,28790.8542133,Vacant,pin2,,0.4,57288PIN2b3NANA,b3,True,False,,94564,313.0
622420,-122.305007568,38.0021803217,M,,0.0,Pinole,0.0,0.0,Contra Costa,4280.72787414,Vacant,,,,57288NAb2NANA,b2,False,False,,94564,313.0
627615,-122.288840094,38.0033574662,M,1.0,0.0,Pinole,0.0,0.0,Contra Costa,8006.20026547,Residential,pin1,1912.0,,57288PIN1b2NANA,b2,False,True,HM,94564,313.0
631426,-122.306405118,38.0043886413,M,,3380.0,Pinole,2000.0,1.0,Contra Costa,73538.5360528,Residential,pin1,1934.0,,57288PIN1b2NANA,b2,True,False,HS,94564,313.0
628966,-122.293269034,38.0038441282,M,35.0,10414.0,Pinole,10414.0,0.0,Contra Costa,18268.9841161,Office,pin1,1980.0,,57288PIN1b2NANA,b2,True,True,OF,94564,313.0
630842,-122.291019805,38.0047833075,M,,2701.0,Pinole,2701.0,0.0,Contra Costa,2772.16804401,Office,pin1,1930.0,,57288PIN1b2NANA,b2,True,False,OF,94564,313.0
594599,-122.284665463,37.9903407891,MH,1.0,2392.0,Pinole,0.0,2.0,Contra Costa,5587.71732142,Residential,,1957.0,,57288NANANANA,,False,True,HS,94564,313.0
595766,-122.309250209,37.9896575933,M,17.424,10500.0,Pinole,10500.0,0.0,Contra Costa,60074.5217492,Retail,,1988.0,0.4,57288NAb3NANA,b3,True,False,RS,94564,313.0
606700,-122.284614311,37.9948445049,MH,20.0,29797.5,Pinole,0.0,29.0,Contra Costa,67420.5905334,Residential,,1988.0,2.66666666667,57288NAb2NANA,b2,False,True,HM,94564,313.0
625526,-122.313392945,38.001513256,M,1.0,2312.0,Pinole,0.0,1.0,Contra Costa,116541.270846,Residential,,1986.0,,57288NAb3NANA,b3,False,True,HS,94564,313.0
629503,-122.301446866,38.0040189229,M,35.0,1233.0,Pinole,1233.0,0.0,Contra Costa,7016.45357931,Retail,pin1,1917.0,,57288PIN1b2NANA,b2,True,True,RS,94564,313.0
630396,-122.296548629,38.0044501772,M,,13896.0,Pinole,13896.0,0.0,Contra Costa,26235.2053585,Retail,pin1,1948.0,,57288PIN1b2NANA,b2,True,False,RS,94564,313.0
632479,-122.290403413,38.0054882706,M,35.0,0.0,Pinole,0.0,0.0,Contra Costa,4232.61359907,Parking,pin1,1915.0,,57288PIN1b2NANA,b2,True,True,PA2,94564,313.0
633478,-122.290878229,38.0058943953,M,,7114.0,Pinole,7114.0,0.0,Contra Costa,9050.84406191,Retail,pin1,1929.0,,57288PIN1b2NANA,b2,True,False,RS,94564,313.0
