parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
652509,-121.956210267,38.0192001549,MH,43.56,0.0,Pittsburg,0.0,0.0,Contra Costa,2076771.73932,Vacant,,,1.0,57456NANANANA,,False,False,,94565,230.0
647050,-121.924226948,38.0168811666,M,,0.0,Pittsburg,0.0,0.0,Contra Costa,5999.46540714,Vacant,,,,57456NANANANA,,False,False,,94565,230.0
647092,-121.924895347,38.0169091058,M,,0.0,Pittsburg,0.0,0.0,Contra Costa,6943.67696882,Vacant,,,,57456NANANANA,,False,False,,94565,230.0
628899,-121.875262048,38.0095031513,S,14.0,0.0,Pittsburg,0.0,0.0,Contra Costa,14552.5775287,Vacant,pit1,,2.33333333333,57456PIT1b2NANA,b2,False,True,,94565,230.0
630317,-121.957651184,38.0090980147,MH,7.0,0.0,Pittsburg,0.0,0.0,Contra Costa,7119.32771079,Vacant,,,1.86666666667,57456NANANANA,,False,True,,94565,230.0
637200,-121.957973141,38.0120630115,MH,7.0,0.0,Pittsburg,0.0,0.0,Contra Costa,7430.44203705,Vacant,,,1.86666666667,57456NANANANA,,False,True,,94565,230.0
596095,-121.866868145,37.9965078656,M,,0.0,Pittsburg,0.0,0.0,Contra Costa,6805.8753024,Vacant,,,,57456NANANANA,,False,False,,94565,230.0
641363,-121.967106375,38.0136844963,MH,7.0,0.0,Pittsburg,0.0,0.0,Contra Costa,3784.3741595,Vacant,,,1.86666666667,57456NANANANA,,False,True,,94565,230.0
627657,-121.957083433,38.0079914634,MH,7.0,0.0,Pittsburg,0.0,0.0,Contra Costa,8041.58379927,Vacant,,,1.86666666667,57456NANANANA,,False,True,,94565,230.0
651660,-121.95487804,38.019786741,MH,25.0,0.0,Pittsburg,0.0,0.0,Contra Costa,301836.479434,Vacant,,,3.0,57456NANANANA,,False,True,,94565,230.0
646646,-121.955525731,38.0162757133,MH,14.0,0.0,Pittsburg,0.0,0.0,Contra Costa,3745.00518467,Vacant,,,2.33333333333,57456NANANANA,,False,True,,94565,230.0
625648,-121.865074263,38.0077389634,M,14.0,0.0,Pittsburg,0.0,0.0,Contra Costa,41064.8912283,Vacant,,,2.33333333333,57456NAb2NANA,b2,False,True,,94565,230.0
653922,-121.886693141,38.0231796397,S,7.0,0.0,Pittsburg,0.0,0.0,Contra Costa,3661.98193681,Vacant,pit1,,1.86666666667,57456PIT1bart3NANA,bart3,False,True,,94565,230.0
635181,-121.959240824,38.0112283845,MH,,0.0,Pittsburg,0.0,0.0,Contra Costa,6904.88241721,Vacant,,,,57456NANANANA,,False,False,,94565,230.0
631837,-121.872919827,38.0096141992,S,25.0,0.0,Pittsburg,0.0,0.0,Contra Costa,291855.963371,Vacant,pit1,,3.0,57456PIT1b2NANA,b2,False,True,,94565,230.0
625496,-121.866820115,38.0075705598,M,14.0,0.0,Pittsburg,0.0,0.0,Contra Costa,41147.8796431,Vacant,,,2.33333333333,57456NAb2NANA,b2,False,True,,94565,230.0
626028,-121.955995951,38.0072613259,MH,,0.0,Pittsburg,0.0,0.0,Contra Costa,8691.86278134,Vacant,,,,57456NANANANA,,False,False,,94565,230.0
635316,-121.957469638,38.0113038723,MH,7.0,0.0,Pittsburg,0.0,0.0,Contra Costa,6597.48100303,Vacant,,,1.86666666667,57456NANANANA,,False,True,,94565,230.0
649447,-121.959635925,38.016100139,MH,,0.0,Pittsburg,0.0,0.0,Contra Costa,271327.850233,Vacant,,,,57456NANANANA,,False,False,,94565,230.0
630947,-121.958441624,38.009350423,MH,7.0,0.0,Pittsburg,0.0,0.0,Contra Costa,6997.74780842,Vacant,,,1.86666666667,57456NANANANA,,False,True,,94565,230.0
647863,-121.954768601,38.0171565493,MH,14.0,0.0,Pittsburg,0.0,0.0,Contra Costa,4541.61607869,Vacant,,,2.33333333333,57456NANANANA,,False,True,,94565,230.0
654821,-121.899895943,38.0236651831,S,7.0,0.0,Pittsburg,0.0,0.0,Contra Costa,15280.3106624,Vacant,,,1.86666666667,57456NANANANA,,False,True,,94565,230.0
628404,-121.958668788,38.0062718032,MH,,0.0,Pittsburg,0.0,0.0,Contra Costa,1697097.6787,Vacant,,,,57456NANANANA,,False,False,,94565,230.0
631123,-121.957425895,38.0094533062,MH,7.0,0.0,Pittsburg,0.0,0.0,Contra Costa,6026.80567502,Vacant,,,1.86666666667,57456NANANANA,,False,True,,94565,230.0
625696,-121.865606349,38.0082282058,M,14.0,0.0,Pittsburg,0.0,0.0,Contra Costa,4043.81758936,Vacant,,,2.33333333333,57456NAb2NANA,b2,False,True,,94565,230.0
647601,-121.924676638,38.017307874,M,,0.0,Pittsburg,0.0,0.0,Contra Costa,6404.47058833,Vacant,,,,57456NANANANA,,False,False,,94565,230.0
656311,-121.899475986,38.0248982372,S,21.78,0.0,Pittsburg,0.0,0.0,Contra Costa,2368.81842903,Vacant,,,0.5,57456NANANANA,,False,False,,94565,230.0
629423,-121.958650835,38.008662587,MH,7.0,0.0,Pittsburg,0.0,0.0,Contra Costa,11776.1163278,Vacant,,,1.86666666667,57456NANANANA,,False,True,,94565,230.0
626802,-121.956570188,38.0075376954,MH,,0.0,Pittsburg,0.0,0.0,Contra Costa,7808.48667901,Vacant,,,,57456NANANANA,,False,False,,94565,230.0
656901,-121.903000724,38.0248320682,S,21.78,0.0,Pittsburg,0.0,0.0,Contra Costa,82726.1331368,Vacant,,,0.5,57456NANANANA,,False,False,,94565,230.0
639230,-121.958031795,38.0129482227,MH,7.0,0.0,Pittsburg,0.0,0.0,Contra Costa,7013.81751515,Vacant,,,1.86666666667,57456NANANANA,,False,True,,94565,230.0
636476,-121.959910432,38.0114038421,MH,,0.0,Pittsburg,0.0,0.0,Contra Costa,96779.1499711,Vacant,,,,57456NANANANA,,False,False,,94565,230.0
642078,-121.955971658,38.0139959959,MH,,0.0,Pittsburg,0.0,0.0,Contra Costa,27829.8450951,Vacant,,,,57456NANANANA,,False,False,,94565,230.0
637834,-121.958281776,38.0124188325,MH,7.0,0.0,Pittsburg,0.0,0.0,Contra Costa,6747.69235619,Vacant,,,1.86666666667,57456NANANANA,,False,True,,94565,230.0
630872,-121.879398733,38.0100599857,S,14.0,0.0,Pittsburg,0.0,0.0,Contra Costa,42971.0623853,Vacant,pit1,,2.33333333333,57456PIT1b2NANA,b2,False,True,,94565,230.0
629654,-121.95801355,38.0088181962,MH,7.0,0.0,Pittsburg,0.0,0.0,Contra Costa,7808.08130744,Vacant,,,1.86666666667,57456NANANANA,,False,True,,94565,230.0
627484,-121.956646774,38.0079364294,MH,7.0,0.0,Pittsburg,0.0,0.0,Contra Costa,9239.25905071,Vacant,,,1.86666666667,57456NANANANA,,False,True,,94565,230.0
639252,-121.959593521,38.0129661536,MH,,0.0,Pittsburg,0.0,0.0,Contra Costa,6643.88067236,Vacant,,,,57456NANANANA,,False,False,,94565,230.0
652839,-121.967957861,38.0189445858,MH,25.0,0.0,Pittsburg,0.0,0.0,Contra Costa,881918.397885,Vacant,,,3.0,57456NANANANA,,False,True,,94565,230.0
