parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
556890,-122.072379379,37.9791368344,M,19.9,108177.0,Pleasant Hill,0.0,107.0,Contra Costa,46805.7043774,Residential,,1986.0,,57764NAb3NANA,b3,False,True,HM,94523,409.0
514342,-122.089329169,37.9627829739,M,3.0,4184.0,Pleasant Hill,0.0,2.0,Contra Costa,3971.55996893,Residential,,1990.0,,57764NANANANA,,False,True,HS,94523,409.0
437923,-122.072807456,37.9334809661,M,17.424,5286.0,Pleasant Hill,5286.0,0.0,Contra Costa,13888.2022206,Office,,1951.0,0.4,57764NANANANA,,False,False,OF,94523,409.0
465374,-122.052021581,37.9455087302,M,17.424,14872.0,Pleasant Hill,0.0,26.0,Contra Costa,39248.3817424,Residential,plh2,1977.0,0.4,57764PLH2NANANA,,True,False,HM,94523,409.0
508179,-122.058224223,37.9611691932,M,,0.0,Pleasant Hill,0.0,0.0,Contra Costa,15937.2146476,Vacant,,,,57764NAb2NANA,b2,False,False,,94523,409.0
456640,-122.069801878,37.9420470921,M,4.5,5404.0,Pleasant Hill,0.0,2.0,Contra Costa,13220.6774456,Residential,,1949.0,,57764NANANANA,,False,True,HS,94523,409.0
497563,-122.078473109,37.956921151,M,19.9,0.0,Pleasant Hill,0.0,0.0,Contra Costa,13526.9369733,Vacant,,,,57764NANANANA,,False,True,,94523,409.0
516836,-122.055684577,37.9637149788,M,17.424,14160.0,Pleasant Hill,14160.0,0.0,Contra Costa,58861.016506,Office,,1991.0,0.4,57764NAb2NANA,b2,False,False,OF,94523,409.0
430692,-122.072322031,37.9339187211,M,17.424,0.0,Pleasant Hill,0.0,0.0,Contra Costa,5819.33840677,Retail,,1965.0,0.4,57764NANANANA,,True,False,RS,94523,409.0
433901,-122.086168709,37.9312738567,M,4.5,2976.0,Pleasant Hill,0.0,2.0,Contra Costa,9957.60398604,Residential,,1953.0,,57764NANANANA,,False,True,HS,94523,409.0
436934,-122.062550161,37.9329651854,M,17.424,0.0,Pleasant Hill,0.0,0.0,Contra Costa,9018.20437172,Parking,,1965.0,0.4,57764NAbart3NANA,bart3,False,False,PA2,94523,409.0
512037,-122.062390124,37.9625002945,M,17.424,18532.0,Pleasant Hill,18532.0,0.0,Contra Costa,13407.0117553,Retail,,1966.0,0.4,57764NAb2NANA,b2,True,False,RS,94523,409.0
492003,-122.086441953,37.9541931635,M,,1386.0,Pleasant Hill,1386.0,0.0,Contra Costa,127317.838844,Office,,1972.0,,57764NANANANA,,False,False,OF,94523,409.0
529342,-122.075648697,37.9690120693,M,6.9,2664.0,Pleasant Hill,0.0,2.0,Contra Costa,2901.69857716,Residential,,1985.0,,57764NANANANA,,False,True,HS,94523,409.0
488303,-122.090225081,37.9532994215,MH,19.9,4212.0,Pleasant Hill,0.0,4.0,Contra Costa,11586.2370347,Residential,,1981.0,,57764NANANANA,,False,True,HS,94523,409.0
490683,-122.081774857,37.9543656016,M,4.5,3884.0,Pleasant Hill,0.0,2.0,Contra Costa,11664.8211183,Residential,,1962.0,,57764NANANANA,,False,True,HS,94523,409.0
504000,-122.05635078,37.9598514414,M,19.9,0.0,Pleasant Hill,0.0,0.0,Contra Costa,3521.67122486,Vacant,,,,57764NAb2NANA,b2,False,True,,94523,409.0
519492,-122.089564649,37.9644383163,M,3.0,7242.0,Pleasant Hill,0.0,1.0,Contra Costa,76086.2956693,Residential,,1939.0,,57764NANANANA,,False,True,HS,94523,409.0
464952,-122.050799562,37.9455943713,M,17.424,0.0,Pleasant Hill,0.0,0.0,Contra Costa,220.005465485,Vacant,,,0.4,57764NANANANA,,True,False,,94518,351.0
443670,-122.058407622,37.9360628789,M,17.424,31672.0,Pleasant Hill,31672.0,0.0,Contra Costa,139420.225523,Office,plh2,1975.0,0.4,57764PLH2NANANA,,False,False,OF,94523,409.0
542262,-122.070973928,37.9745364031,M,19.9,2114.0,Pleasant Hill,0.0,2.0,Contra Costa,8911.78053975,Residential,,1975.0,,57764NAb3NANA,b3,False,True,HS,94523,409.0
425100,-122.07607726,37.9277600602,M,4.5,4750.0,Pleasant Hill,0.0,2.0,Contra Costa,11274.555889,Residential,,1962.0,,57764NANANANA,,False,True,HS,94523,409.0
431506,-122.078925192,37.9303268495,M,4.5,0.0,Pleasant Hill,0.0,0.0,Contra Costa,10664.0392462,Vacant,,,,57764NANANANA,,False,True,,94523,409.0
436998,-122.061423089,37.9328749235,M,17.424,3988.0,Pleasant Hill,3988.0,0.0,Contra Costa,21475.0666337,Retail,plh2,1949.0,0.4,57764PLH2bart3NANA,bart3,True,False,RS,94523,409.0
