parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
386316,-121.813030017,37.6338852863,MH,2.0,0.0,Pleasanton,0.0,0.0,Alameda,179109.648909,Vacant,,,2.0,57792NANANANA,,False,True,,94566,512.0
216870,-121.886524303,37.6670132542,MH,,0.0,Pleasanton,0.0,0.0,Alameda,96371.6511912,Vacant,,,,57792NANANANA,,False,False,,94566,512.0
216871,-121.886426087,37.6668647636,M,8.0,0.0,Pleasanton,0.0,0.0,Alameda,37046.0268949,Vacant,,,2.0,57792NANANANA,,False,True,,94566,512.0
386140,-121.809518436,37.6397442972,MH,2.0,0.0,Pleasanton,0.0,0.0,Alameda,192908.774258,Vacant,,,2.0,57792NANANANA,,False,True,,94566,512.0
369346,-121.888612825,37.6863998886,M,29.0,0.0,Pleasanton,0.0,0.0,Alameda,98673.3876596,Vacant,ple1,,2.66666666667,57792PLE1b2NANA,b2,False,True,,94588,491.0
385816,-121.801354019,37.6416797984,MH,2.0,0.0,Pleasanton,0.0,0.0,Alameda,272362.740889,Vacant,,,2.0,57792NANANANA,,False,True,,94566,512.0
382264,-121.866816635,37.6793666812,M,8.0,0.0,Pleasanton,0.0,0.0,Alameda,25323.6002727,Vacant,,,2.0,57792NAb3NANA,b3,False,True,,94588,491.0
378853,-121.905553761,37.6365985402,MH,87.12,0.0,Pleasanton,0.0,0.0,Alameda,27304.2106882,Vacant,,,2.0,57792NANANANA,,False,False,,94588,491.0
383525,-121.832736085,37.6565408247,MH,,1663.78168077,Pleasanton,0.0,1.0,Alameda,145745.22374,Residential,,1993.0,,57792NANANANA,,False,False,HS,94566,512.0
378343,-121.904815656,37.6584525102,MH,2.0,0.0,Pleasanton,0.0,0.0,Alameda,84775.8116601,Vacant,,,2.0,57792NANANANA,,False,True,,94566,512.0
378919,-121.901791601,37.6442939648,MH,2.0,0.0,Pleasanton,0.0,0.0,Alameda,87015.1343251,Vacant,,,2.0,57792NANANANA,,False,True,,94588,491.0
382189,-121.86950804,37.6812219801,M,8.0,0.0,Pleasanton,0.0,0.0,Alameda,37553.5553971,Vacant,,,2.0,57792NAb3NANA,b3,False,True,,94588,491.0
385751,-121.817126679,37.6436995268,MH,2.0,0.0,Pleasanton,0.0,0.0,Alameda,141446.851973,Vacant,,,2.0,57792NANANANA,,False,True,,94566,512.0
385312,-121.856652648,37.6501983659,MH,0.2,0.0,Pleasanton,0.0,0.0,Alameda,2072694.32359,Vacant,,,,57792NANANANA,,False,True,,94566,512.0
385450,-121.812864922,37.6414140026,MH,2.0,0.0,Pleasanton,0.0,0.0,Alameda,5744236.78628,Parking,,1983.0,2.0,57792NANANANA,,False,True,PA2,94566,512.0
370273,-121.921826913,37.6740299244,MH,2.0,0.0,Pleasanton,0.0,0.0,Alameda,23694.0728596,Vacant,,,2.0,57792NANANANA,,False,True,,94588,491.0
385512,-121.810685915,37.6503642111,MH,2.0,0.0,Pleasanton,0.0,0.0,Alameda,462990.118133,Vacant,,,2.0,57792NANANANA,,False,True,,94566,512.0
374968,-121.880763735,37.6900701059,M,29.0,0.0,Pleasanton,0.0,0.0,Alameda,292792.94626,Vacant,,,2.66666666667,57792NAb2NANA,b2,False,True,,94588,491.0
386178,-121.804023226,37.6382214425,MH,2.0,0.0,Pleasanton,0.0,0.0,Alameda,114989.433429,Vacant,,,2.0,57792NANANANA,,False,True,,94566,512.0
378948,-121.905221392,37.6433436609,MH,2.0,0.0,Pleasanton,0.0,0.0,Alameda,161039.529289,Vacant,,,2.0,57792NANANANA,,False,True,,94588,491.0
367088,-121.940016919,37.6890833715,MH,2.0,0.0,Pleasanton,0.0,0.0,Alameda,3684874.55502,Vacant,,,2.0,57792NANANANA,,False,True,,94588,491.0
369705,-121.8923675,37.6947237711,M,29.0,0.0,Pleasanton,0.0,0.0,Alameda,128275.356374,Vacant,ple1,,2.66666666667,57792PLE1b2NANA,b2,False,True,,94588,491.0
385874,-121.812177113,37.6441096152,MH,2.0,0.0,Pleasanton,0.0,0.0,Alameda,192276.266479,Vacant,,,2.0,57792NANANANA,,False,True,,94566,512.0
386177,-121.80649613,37.6374381349,MH,2.0,0.0,Pleasanton,0.0,0.0,Alameda,117223.293065,Vacant,,,2.0,57792NANANANA,,False,True,,94566,512.0
378726,-121.901759545,37.6476059164,MH,2.0,0.0,Pleasanton,0.0,0.0,Alameda,326607.859448,Vacant,,,2.0,57792NANANANA,,False,True,,94588,491.0
369798,-121.890596405,37.6931182515,M,29.0,0.0,Pleasanton,0.0,0.0,Alameda,154696.722438,Vacant,ple1,,2.66666666667,57792PLE1b2NANA,b2,False,True,,94588,491.0
385974,-121.817587423,37.6396695584,MH,2.0,0.0,Pleasanton,0.0,0.0,Alameda,345611.833827,Vacant,,,2.0,57792NANANANA,,False,True,,94566,512.0
385448,-121.850546191,37.6481098928,MH,0.2,0.0,Pleasanton,0.0,0.0,Alameda,2655959.3357,Vacant,,,,57792NANANANA,,False,True,,94566,512.0
373999,-121.856835376,37.6604344289,MH,29.0,0.0,Pleasanton,0.0,0.0,Alameda,66873.608591,Vacant,,,2.66666666667,57792NANANANA,,False,True,,94566,512.0
368754,-121.882960325,37.6978830225,M,26.136,1024634.0,Pleasanton,1024634.0,0.0,Alameda,2548700.27106,Office,ple1,1989.0,0.6,57792PLE1b2NANA,b2,False,False,OF,94588,491.0
